transaction_id,customer_id,order_datetime,product_id,quantity,price_per_unit,total_amount,payment_method,order_status,coupon_applied
ORD5049,CUST1359,,SKU10174,3,139.93,419.79,credit_card,DELIVERED,False
ORD5056,CUST1473,,SKU10163,3,131.62,394.87, nan ,cancelled, False 
ORD5057,CUST1352,,SKU10142,2,109.23,218.46,credit_card,returned,false
ORD5059,CUST1166,,SKU10196,3,270.31,810.94,bank_transfer, delivered ,False
ORD5061,CUST1117,,sku10008,4,30.09,120.36,credit_card,delivered,TRUE
ord5062,CUST1412,,SKU10080,3,372.79,1118.37,bank_transfer,cancelled, TRUE 
ORD5063,CUST1205,,SKU10068,3,187.8,563.41,,DELIVERED,True
ord5065,CUST1467,,SKU10145,2,64.96,129.91,credit_card,delivered,False
ord5066,CUST1448,,NAN,2,162.88,325.76,credit_card,DELIVERED, False 
ORD5068,CUST1335,,SKU10127,2,185.84,371.68, nan ,RETURNED,True
ORD5070,CUST1234,,SKU10036,3,152.98,458.93999999999994,, returned , False 
ORD5072,CUST1126,,SKU10190,3,18.9,56.699999999999996, credit_card ,DELIVERED,true
ORD5073,CUST1287,,SKU10137,3,54.45,163.35000000000002,bank_transfer, cancelled ,False
ORD5074,CUST1134,,SKU10191,3,90.35,271.04999999999995,paypal, delivered , TRUE 
ORD5075,CUST1299,,SKU10109,4,232.74,930.95,credit_card,delivered,True
ORD5076,CUST1459,,SKU10149,4,235.67,942.68, credit_card ,,FALSE
ORD5078,CUST1112,,SKU10035,2,194.27,388.54,credit_card,,true
ORD5079,CUST1260,,SKU10126,1,171.9,171.9, nan , cancelled ,TRUE
ORD5081,CUST1024,,sku10028,2,235.42,470.84,bank_transfer,returned,False
ORD5082,CUST1078,,SKU10160,4,148.09,592.36,paypal,returned,true
ORD5083,CUST1081,,SKU10174,1,139.93,139.93,paypal,pending,False
NAN,CUST1216,,SKU10152,3,106.57,319.71,credit_card,delivered,False
ORD5085,CUST1032,,SKU10098,2,464.74,929.48,paypal,returned,TRUE
ord5086,CUST1195,,SKU10152,1,106.57,106.57,credit_card, returned ,False
ord5088,CUST1128,,SKU10141,1,209.73,209.73,credit_card,cancelled,False
ord5090,CUST1348,,SKU10184,4,273.5,1094.0, credit_card ,delivered,False
ORD5091,CUST1058,2025-02-18 13:27:05.320506,SKU10174,2,139.93,279.85,paypal,delivered,
ORD5092,CUST1453,,SKU10137,3,54.45,163.35000000000002,credit_card,pending,true
ORD5096,CUST1150,,SKU10111,4,101.51,406.04,credit_card,delivered,FALSE
ORD5097,CUST1080,,SKU10116,4,255.4,1021.6, nan ,returned,False
ORD5104,CUST1152,,SKU10163,1,131.62,131.62,credit_card, delivered , true 
ORD5106,CUST1101,,SKU10039,2,248.67,497.34,credit_card,delivered,
ORD5107,CUST1191,2024-02-04 00:54:20.311913,SKU10195,3,47.36,142.07999999999998,CREDIT_CARD,delivered,False
ORD5108,CUST1082,,SKU10138,3,156.7,470.1,credit_card, delivered ,False
ORD5109,CUST1488,2025-07-25 14:18:03.615540,sku10199,3,73.81,221.43,paypal,DELIVERED,True
ORD5089,cust1440,,SKU10002,3,135.51,406.52,paypal,pending, False 
ORD5112,CUST1306,2024-03-24 21:41:55.723597,SKU10082,2,23.59,47.18, credit_card ,delivered,TRUE
ORD5114,cust1057,,SKU10092,1,157.04,157.04,credit_card,delivered,false
ORD5115,CUST1449,,SKU10078,1,251.19,251.19, CREDIT_CARD , delivered ,
ORD5120,CUST1248,,sku10017,4,80.1,320.4,credit_card,delivered,False
ORD5123,CUST1065,2024-07-12 22:08:12.472522,SKU10168,1,135.35,135.35,wallet,DELIVERED,False
ORD5124,CUST1243,,SKU10140,3,276.59,829.77,CREDIT_CARD,delivered,True
ORD5126,cust1270,,SKU10155,2,214.51,429.01, credit_card ,delivered,FALSE
ORD5127,CUST1216,,SKU10054,1,44.25,44.25, nan ,delivered,FALSE
ORD5128,CUST1475,2024-03-08 07:21:26.635932,SKU10138,3,156.7,470.1, credit_card ,delivered,true
ORD5130,cust1353,,SKU10051,3,153.42,460.25, credit_card ,delivered,true
ord5890,cust1300,,SKU10055,4,81.4,325.6,credit_card,delivered, False 
ORD5133,cust1332,,SKU10095,3,354.56,1063.69,paypal,returned, TRUE 
ORD5134,cust1224,,SKU10132,1,106.15,106.15,wallet,pending,False
ORD5135,CUST1231,,SKU10030,2,125.82,251.64,wallet,DELIVERED,True
ORD5137,CUST1032,,SKU10086,2,191.38,382.77,credit_card,delivered, False 
ORD5138,CUST1010,,SKU10150,1,169.42,169.42,credit_card, delivered ,False
NAN,CUST1283,,SKU10058,3,152.39,457.16,bank_transfer,returned,False
ORD5140,CUST1301,,SKU10056,1,284.2,284.2,,delivered,False
ord5141,CUST1003,,sku10018,4,113.67,454.68,credit_card, DELIVERED ,False
ORD5143,CUST1030,2025-04-15 14:40:41.819263,SKU10058,1,152.39,152.39, paypal ,delivered,TRUE
ORD5144,CUST1034,,SKU10008,1,30.09,30.09,credit_card,delivered,false
ORD5146,CUST1036,2025-10-30 15:28:38.947356,sku10131,4,141.63,566.53, paypal ,,False
ORD5148,NAN,,SKU10124,4,57.61,230.44,credit_card,delivered,False
ORD5152,CUST1295,,SKU10121,1,262.97,262.97,paypal,returned, False 
ORD5153,CUST1124,2024-03-22 11:24:45.253140,SKU10121,4,262.97,1051.88,wallet,returned,true
ord5154,CUST1413,,SKU10104,1,164.86,164.86,CREDIT_CARD,pending,False
ORD5155,CUST1097,,SKU10024,2,25.6,51.2,credit_card,cancelled,True
ORD5156,CUST1049,,SKU10168,4,135.35,541.39,paypal,returned,false
ORD5157,CUST1220,2024-03-30 19:07:13.082338,SKU10090,2,71.43,142.86,wallet, delivered ,False
ORD5158,cust1216,,SKU10105,1,251.59,251.59, credit_card ,delivered,False
ORD5159,CUST1239,,SKU10186,2,421.28,842.55, wallet ,delivered,true
ORD5160,CUST1027,,SKU10172,1,165.93,165.93,paypal,delivered,False
ORD5163,CUST1206,,nan,2,421.28,842.55,credit_card, delivered ,FALSE
ORD5164,CUST1173,,SKU10027,4,42.35,169.4,paypal,DELIVERED,FALSE
ORD5166,cust1097,,sku10137,1,54.45,54.45,credit_card,delivered,False
ORD5168,CUST1216,,SKU10046,4,91.57,366.28,WALLET,delivered,False
ORD5171,CUST1226,,SKU10140,4,276.59,1106.36,PAYPAL,delivered,False
ORD5174,CUST1428,,SKU10003,1,138.09,138.09,bank_transfer, delivered ,False
ORD5176,CUST1474,,SKU10192,1,448.14,448.14,credit_card,cancelled,false
ord5178,CUST1085,,SKU10104,2,164.86,329.72, wallet ,DELIVERED,False
ORD5180,CUST1109,,SKU10102,4,210.31,841.25,bank_transfer,DELIVERED,False
ORD5181,CUST1462,,SKU10015,3,47.49,142.47,credit_card,cancelled,True
ORD5185,CUST1146,,sku10108,2,140.37,280.74,credit_card,DELIVERED,False
ORD5186,CUST1356,,SKU10187,3,252.59,757.76,paypal, returned ,FALSE
ORD5187,CUST1401,,SKU10142,4,109.23,436.93,paypal,DELIVERED,True
ORD5188,CUST1338,2024-08-16 22:07:37.729203,SKU10183,2,162.88,325.76,paypal,pending,False
ORD5189,CUST1249,,SKU10039,1,248.67,248.67, paypal ,delivered,True
ORD5190,CUST1097,,SKU10075,1,139.26,139.26,wallet,DELIVERED, False 
ORD5192,CUST1296,,SKU10188,2,151.48,302.96,credit_card,delivered,False
ORD5194,CUST1382,,SKU10080,3,372.79,1118.37,paypal, delivered , False 
ORD5195,CUST1029,,SKU10012,1,279.38,279.38, credit_card ,DELIVERED,True
ord5196,CUST1299,,SKU10122,4,290.57,1162.28,WALLET,DELIVERED,TRUE
ORD5197,cust1257,,sku10135,1,229.32,229.32,wallet, delivered ,False
ord5198,CUST1080,,SKU10014,1,15.89,15.89,credit_card,delivered,False
ORD5199,CUST1491,,SKU10130,4,12.36,49.44,paypal,delivered,TRUE
ORD5200,CUST1041,2025-07-30 03:50:48.062649,SKU10047,2,55.99,111.98, credit_card ,delivered,true
ORD5202,CUST1034,,SKU10172,3,165.93,497.79,CREDIT_CARD,returned,false
ORD5204,CUST1206,,SKU10030,3,125.82,377.46,bank_transfer, delivered ,False
ord5205,CUST1482,,SKU10145,1,64.96,64.96,credit_card,, True 
ORD5206,CUST1126,,SKU10148,4,127.0,507.99,bank_transfer,delivered,true
ORD5208,CUST1317,,SKU10020,4,22.3,89.2,credit_card,delivered,True
ORD5210,CUST1298,2025-02-20 22:37:54.852637,SKU10144,2,448.58,897.16,paypal,delivered,True
ORD5213,CUST1104,2025-05-07 11:13:13.719396,sku10171,4,106.08,424.32, BANK_TRANSFER ,PENDING,True
ORD5216,CUST1202,2025-03-24 09:47:38.389798,SKU10033,2,437.11,874.22,credit_card,returned,False
ORD5217,CUST1343,,SKU10165,4,29.99,119.95, bank_transfer , DELIVERED ,
ORD5220,CUST1479,,sku10018,2,113.67,227.33,credit_card,delivered,False
ord5221,CUST1004,2025-10-07 06:33:13.049412,SKU10117,3,93.95,281.85,paypal,delivered,false
ORD5222,CUST1318,,SKU10144,1,448.58,448.58, credit_card ,delivered,True
ORD5223,CUST1051,,SKU10018,1,113.67,113.67,NAN,,
ORD5224,CUST1275,,SKU10054,3,44.25,132.75,bank_transfer,delivered, True 
ORD5226,CUST1067,,SKU10089,2,358.61,717.22,PAYPAL,delivered,TRUE
ORD5228,CUST1450,,SKU10062,1,145.6,145.6,credit_card,pending,False
ORD5233,CUST1313,,SKU10167,1,82.19,82.19,credit_card,delivered,NAN
ORD5234,CUST1270,,SKU10002,2,135.51,271.01,credit_card,delivered,False
ORD5235,CUST1341,,SKU10141,1,209.73,209.73,bank_transfer, returned ,true
ORD5236,CUST1153,,SKU10169,4,49.5,198.0,credit_card, delivered ,True
ORD5237,CUST1053,,SKU10034,2,33.0,66.0,credit_card,returned, FALSE 
ORD5238,CUST1135,,SKU10029,3,100.89,302.66,paypal,delivered,
nan,CUST1455,,SKU10027,1,42.35,42.35, credit_card , delivered , true 
ord5240,cust1380,2024-07-12 17:19:06.355825,SKU10141,1,209.73,209.73, credit_card ,pending,false
ORD5241,cust1079,,SKU10069,4,113.04,452.16, wallet ,delivered,True
ORD5243,cust1107,2024-10-30 16:32:26.768187,SKU10183,3,162.88,488.64,CREDIT_CARD, nan ,TRUE
nan,CUST1351,,SKU10162,3,162.12,486.36,credit_card, DELIVERED ,true
ORD5247,CUST1258,,SKU10125,2,77.22,154.44,bank_transfer,delivered,True
ORD5248,CUST1128,,SKU10013,2,263.12,526.24, credit_card ,,False
ORD5251,CUST1022,2024-12-20 14:37:14.038136,SKU10000,2,153.38,306.76,credit_card,delivered, False 
ORD5252,CUST1170,,SKU10197,3,117.74,353.21999999999997,wallet,DELIVERED,True
ORD5254,CUST1134,,SKU10041,1,110.18,110.18, wallet ,delivered,False
ORD5255,CUST1379,,SKU10113,2,13.69,27.38,wallet,delivered,false
ord5257,CUST1218,,SKU10143,3,210.66,631.98, PAYPAL ,delivered,false
ORD5258,CUST1004,,sku10028,1,235.42,235.42,,CANCELLED, FALSE 
ORD5259,CUST1038,,SKU10176,3,306.47,919.4100000000001,wallet,pending,
ORD5263,cust1298,,SKU10141,4,209.73,838.92,CREDIT_CARD,pending, False 
ORD5264,CUST1075,2025-02-09 01:33:06.094629,SKU10110,3,184.51,553.53,wallet, returned , False 
ORD5265,CUST1065,,SKU10010,1,253.32,253.32,paypal,,
ORD5267,CUST1460,2025-10-17 11:33:33.794821,sku10010,3,253.32,759.96,bank_transfer,,False
ORD5269,CUST1107,,SKU10174,1,139.93,139.93,NAN,,False
ORD5272,CUST1399,,SKU10143,2,210.66,421.32,credit_card, returned ,False
ORD5273,CUST1452,,SKU10104,4,164.86,659.45,credit_card,cancelled,False
ord5274,CUST1498,,SKU10158,4,56.33,225.32,credit_card,delivered,False
ORD5275,CUST1383,,SKU10039,1,248.67,248.67, credit_card ,delivered,False
ORD5277,CUST1442,,NAN,3,110.18,330.54,credit_card,delivered,True
ORD5279,CUST1451,,SKU10105,2,251.59,503.18,wallet,delivered, False 
ORD5281,CUST1377,,sku10085,2,99.58,199.15,wallet, DELIVERED ,True
ord5282,CUST1400,2024-05-03 13:43:04.312542,SKU10105,4,251.59,1006.36, paypal ,returned,True
ORD5285,CUST1415,,SKU10063,4,119.19,476.76,credit_card, delivered ,false
ORD5184,CUST1135,,SKU10116,1,255.4,255.4, credit_card ,, FALSE 
ORD5287,CUST1403,,SKU10179,4,69.07,276.28,, returned , False 
ORD5288,CUST1055,,SKU10097,2,304.07,608.14,,returned,False
ORD5291,NAN,,SKU10051,2,153.42,306.83,credit_card,NAN,False
ORD5293,CUST1179,2025-09-06 10:35:40.609949,SKU10078,1,251.19,251.19,WALLET, delivered ,TRUE
ORD5295,CUST1114,,SKU10006,3,211.29,633.87,paypal, returned , true 
ORD5297,CUST1204,,SKU10084,4,49.44,197.76,wallet,,True
ORD5298,CUST1142,,SKU10017,1,80.1,80.1,PAYPAL,DELIVERED,True
ORD5299,CUST1495,2025-07-04 00:22:51.437629,SKU10197,4,117.74,470.96, credit_card ,delivered, TRUE 
ord5302,cust1204,,SKU10173,2,10.04,20.07,paypal,delivered,True
ORD5305,nan,2024-06-06 00:40:15.809161,SKU10066,2,117.13,234.26,NAN,delivered, False 
ORD5306,CUST1091,2024-03-23 18:56:56.822702,SKU10148,2,127.0,254.0,WALLET,delivered,TRUE
ORD5307,CUST1492,,SKU10067,2,298.44,596.89,NAN,delivered, False 
ORD5308,CUST1019,,SKU10027,1,42.35,42.35,credit_card,delivered,True
ORD5309,CUST1305,2025-05-07 06:55:45.712913,SKU10111,4,101.51,406.04,credit_card,returned,FALSE
ORD5314,CUST1197,,SKU10147,2,199.66,399.32,credit_card,cancelled,True
ORD5320,CUST1481,,SKU10189,1,385.05,385.05, paypal ,delivered,True
ORD5321,CUST1377,,SKU10171,4,106.08,424.32,credit_card,delivered,False
ORD5322,CUST1100,,SKU10093,4,41.36,165.44, paypal , delivered ,False
ORD5324,CUST1485,,SKU10170,3,150.16,450.48,bank_transfer,delivered,FALSE
ORD5325,CUST1471,,SKU10084,2,49.44,98.88,,returned,False
ORD5326,CUST1319,,SKU10080,2,372.79,745.58,, DELIVERED , true 
ORD5327,CUST1339,,SKU10031,3,366.25,1098.75,PAYPAL,delivered,False
ORD5328,CUST1368,2025-03-22 20:48:30.643466,SKU10076,3,209.41,628.23,wallet,DELIVERED,True
ORD5331,CUST1167,2024-05-10 15:32:51.141617,SKU10103,1,98.3,98.3,CREDIT_CARD, delivered ,False
ORD5334,CUST1098,,SKU10107,4,56.61,226.44,credit_card,RETURNED,True
nan,CUST1315,,SKU10145,4,64.96,259.83, nan ,, FALSE 
ORD5340,CUST1280,,SKU10000,2,153.38,306.76, CREDIT_CARD ,delivered,False
ord5343,CUST1402,,SKU10148,2,127.0,254.0,credit_card,delivered,False
ord5345,CUST1164,,SKU10119,2,171.45,342.9,bank_transfer, returned ,False
ORD5346,cust1226,,SKU10113,1,13.69,13.69,CREDIT_CARD, delivered ,False
ord5347,CUST1345,,SKU10054,4,44.25,177.0, bank_transfer ,,False
ord5101,CUST1390,2024-11-01 20:39:44.618011,SKU10045,4,89.73,358.91,credit_card,delivered,False
ORD5353,CUST1324,,SKU10158,1,56.33,56.33,credit_card,delivered, True 
ord5354,CUST1171,,nan,2,136.28,272.56,credit_card,delivered, False 
ORD5356,CUST1120,,SKU10172,3,165.93,497.79,NAN,cancelled,False
ORD5357,CUST1158,2025-03-21 23:39:36.180236,SKU10057,4,158.04,632.16,credit_card, delivered , True 
ORD5359,CUST1075,,SKU10006,1,211.29,211.29,credit_card,delivered,False
ord5363,CUST1037,,SKU10116,3,255.4,766.2,wallet,delivered,False
ORD5365,CUST1294,,SKU10049,1,169.49,169.49, credit_card , delivered ,TRUE
ORD5366,CUST1367,2025-01-14 13:36:43.569548,nan,3,15.87,47.61,credit_card,delivered,
ORD5368,CUST1204,,SKU10062,1,145.6,145.6,, cancelled ,true
ORD5369,CUST1075,,SKU10167,1,82.19,82.19,WALLET,delivered,False
ORD5372,nan,,NAN,1,117.74,117.74,credit_card,,TRUE
ORD5373,NAN,,sku10027,3,42.35,127.05, paypal ,DELIVERED,false
ORD5374,CUST1398,2024-01-07 16:58:02.646447,SKU10108,3,140.37,421.12,CREDIT_CARD,delivered, false 
ORD5377,CUST1265,2024-08-10 05:03:29.283719,SKU10118,2,233.87,467.74, credit_card ,delivered,False
ORD5378,CUST1025,,SKU10142,1,109.23,109.23,credit_card,RETURNED,FALSE
ORD5381,CUST1410,,SKU10118,3,233.87,701.61, credit_card ,DELIVERED,False
ORD5383,CUST1286,,SKU10152,3,106.57,319.71,credit_card,PENDING, FALSE 
ORD5384,cust1162,,SKU10193,4,89.05,356.19,credit_card,returned,false
ORD5386,cust1313,,SKU10184,2,273.5,547.0,credit_card, DELIVERED ,
ORD5387,CUST1456,,SKU10129,3,126.19,378.57,credit_card,returned,False
ORD5388,CUST1218,,SKU10140,1,276.59,276.59,credit_card,returned,True
ORD5271,CUST1052,,SKU10090,4,71.43,285.72,credit_card,delivered,False
ORD5392,CUST1384,,SKU10063,2,119.19,238.38,credit_card,delivered,TRUE
ORD5393,CUST1430,,SKU10163,3,131.62,394.87,credit_card,delivered, False 
ord5394,CUST1141,,SKU10196,1,270.31,270.31,paypal, delivered ,false
ORD5395,NAN,2025-09-08 19:42:01.577913,SKU10133,2,230.44,460.88,,delivered, False 
ORD5396,cust1248,,SKU10160,1,148.09,148.09,credit_card, delivered , NAN 
ORD5400,cust1120,,SKU10069,3,113.04,339.12,credit_card,delivered,FALSE
ORD5402,CUST1457,2024-06-24 23:43:45.638811,SKU10138,4,156.7,626.8,credit_card,delivered,False
ORD5403,CUST1041,,SKU10035,3,194.27,582.81, PAYPAL ,delivered,false
ORD5404,cust1077,,sku10059,3,197.12,591.35,credit_card,DELIVERED, False 
ORD5406,CUST1078,,SKU10180,2,297.89,595.78,credit_card,pending,false
ORD5407,CUST1109,,SKU10016,3,29.2,87.6,credit_card,delivered,FALSE
ORD5408,cust1212,,SKU10104,1,164.86,164.86,credit_card, delivered ,
ORD5409,CUST1169,,SKU10138,4,156.7,626.8,credit_card, delivered ,True
ORD5412,CUST1426,2025-09-16 05:04:50.650050,SKU10107,2,56.61,113.22,paypal, DELIVERED ,False
ORD5413,CUST1199,,SKU10197,4,117.74,470.96, credit_card ,delivered,True
ord5414,cust1299,,SKU10178,3,15.87,47.61,paypal,DELIVERED, False 
ORD5415,CUST1010,,SKU10195,1,47.36,47.36,paypal, CANCELLED ,True
ORD5417,CUST1244,,sku10001,3,229.27,687.81,credit_card,delivered, False 
ORD5427,cust1248,,SKU10007,4,41.29,165.16,credit_card,delivered, True 
ORD5429,CUST1342,,SKU10173,2,10.04,20.07,paypal,delivered,FALSE
ORD5430,CUST1408,,SKU10103,1,98.3,98.3,bank_transfer,delivered,True
ORD5432,CUST1430,2024-09-14 03:03:40.047396,SKU10119,3,171.45,514.35, credit_card ,NAN,False
ORD5435,CUST1013,2024-08-25 06:47:58.142014,SKU10100,2,100.05,200.1,PAYPAL,delivered,
ORD5436,CUST1303,,SKU10144,1,448.58,448.58, PAYPAL ,delivered, False 
ORD5439,CUST1219,2024-05-24 09:26:48.297725,SKU10034,4,33.0,132.0,PAYPAL, delivered , False 
ORD5440,CUST1443,,SKU10118,2,233.87,467.74,paypal,returned,false
ORD5443,CUST1167,,SKU10054,2,44.25,88.5,credit_card,,False
ord5445,CUST1172,2024-05-05 15:26:15.879940,SKU10194,1,54.15,54.15,credit_card,, False 
ord5446,CUST1450,,SKU10097,1,304.07,304.07,credit_card,returned,False
ORD5447,CUST1142,,SKU10192,2,448.14,896.28,, delivered ,True
ORD5448,CUST1487,,SKU10107,4,56.61,226.44, CREDIT_CARD ,DELIVERED, True 
ord5449,CUST1129,,SKU10020,2,22.3,44.6, bank_transfer ,delivered,true
ORD5451,cust1383,,SKU10138,2,156.7,313.4, NAN ,delivered,True
ORD5452,CUST1026,,SKU10089,3,358.61,1075.83,credit_card, delivered ,False
ORD5455,CUST1490,2025-09-06 19:01:09.105209,SKU10166,3,37.75,113.25,,pending,True
ORD5456,CUST1020,,sku10193,1,89.05,89.05, paypal , delivered ,False
ORD5458,cust1102,,SKU10005,1,82.33,82.33,PAYPAL,delivered,TRUE
ord5459,CUST1318,,SKU10039,1,248.67,248.67,CREDIT_CARD,delivered,false
ORD5462,CUST1058,,SKU10144,2,448.58,897.16,bank_transfer,DELIVERED,True
ORD5463,CUST1485,,SKU10055,1,81.4,81.4,PAYPAL,cancelled,
ORD5464,cust1238,,SKU10179,4,69.07,276.28,WALLET,delivered,True
ORD5465,nan,,SKU10196,3,270.31,810.94,CREDIT_CARD,delivered,False
ORD5468,CUST1493,,SKU10191,2,90.35,180.7, nan ,returned,TRUE
NAN,CUST1367,2025-03-25 11:30:26.578766,NAN,1,100.89,100.89,credit_card,delivered, False 
ORD5470,cust1398,,sku10041,4,110.18,440.72, paypal ,pending,TRUE
ORD5471,CUST1493,2024-10-30 08:17:23.101284,SKU10079,3,258.64,775.91, bank_transfer ,delivered,False
ORD5472,CUST1055,,sku10148,2,127.0,254.0,credit_card, delivered ,False
nan,CUST1013,,SKU10079,3,258.64,775.91, bank_transfer ,delivered, False 
ord5474,CUST1294,,SKU10173,3,10.04,30.119999999999997, credit_card , delivered ,False
ORD5477,CUST1101,,SKU10019,2,242.9,485.8,CREDIT_CARD,DELIVERED,True
ORD5479,CUST1425,,SKU10160,4,148.09,592.36, bank_transfer ,delivered,FALSE
ORD5480,cust1124,,SKU10026,3,41.51,124.53,paypal,delivered,False
ORD5481,CUST1356,,SKU10197,4,117.74,470.96,PAYPAL,delivered,FALSE
ORD5482,cust1154,,SKU10175,3,196.78,590.33,credit_card, delivered ,False
ORD5485,CUST1400,2024-03-09 16:08:27.504105,sku10010,3,253.32,759.96, CREDIT_CARD , delivered ,
ord5260,CUST1462,,SKU10038,3,5.96,17.88,credit_card,delivered,true
ord5492,CUST1421,,SKU10125,2,77.22,154.44, paypal ,returned,False
ORD5494,CUST1491,,NAN,3,157.04,471.12,credit_card,delivered,False
ORD5495,CUST1325,,SKU10117,4,93.95,375.8,credit_card,,False
ORD5497,CUST1222,,SKU10045,3,89.73,269.18,CREDIT_CARD,delivered,False
ORD5498,CUST1375,2024-01-12 20:50:19.384076,SKU10133,4,230.44,921.76,credit_card,delivered, true 
ORD5501,nan,,SKU10137,2,54.45,108.9,credit_card,delivered,FALSE
ORD5502,CUST1396,,SKU10123,2,186.08,372.16,credit_card,DELIVERED,false
ORD5504,CUST1422,2024-12-03 14:55:17.213232,SKU10187,1,252.59,252.59,credit_card,delivered,FALSE
ORD5506,CUST1165,,SKU10062,2,145.6,291.2, bank_transfer ,delivered,True
ORD5507,CUST1425,2025-02-06 17:32:45.498237,SKU10022,2,345.01,690.02, credit_card ,delivered,False
ord5509,CUST1124,,SKU10192,1,448.14,448.14,, delivered ,True
ORD5512,CUST1194,2024-07-31 00:35:22.526369,SKU10086,4,191.38,765.52,NAN,delivered,True
ord5515,CUST1093,,SKU10124,2,57.61,115.22, credit_card ,delivered,True
ORD5516,CUST1108,,SKU10090,1,71.43,71.43, credit_card ,PENDING,True
ORD5517,CUST1408,2024-02-26 12:41:02.453032,SKU10066,4,117.13,468.52, credit_card , pending ,False
ord5518,CUST1174,,SKU10071,1,179.67,179.67,credit_card, delivered ,False
ORD5523,CUST1043,,nan,3,25.12,75.36,paypal,pending,false
ord5524,CUST1368,,SKU10104,4,164.86,659.45, credit_card , delivered , False 
ORD5525,CUST1250,,SKU10142,1,109.23,109.23, credit_card ,delivered, false 
ORD5527,NAN,,SKU10121,3,262.97,788.91,BANK_TRANSFER,delivered,False
ORD5529,nan,,SKU10114,1,81.05,81.05,credit_card,cancelled,False
ORD5530,CUST1405,,sku10004,1,248.33,248.33,credit_card,pending,False
ord5532,CUST1113,,SKU10103,4,98.3,393.19,paypal, pending , nan 
ORD5533,CUST1354,2024-03-04 05:54:41.085123,SKU10062,3,145.6,436.8,paypal,delivered,False
ORD5534,CUST1156,,SKU10169,3,49.5,148.51,paypal,DELIVERED,True
ORD5536,NAN,,SKU10141,3,209.73,629.19,credit_card,delivered,False
ORD5537,CUST1271,,SKU10088,2,179.45,358.9,BANK_TRANSFER,cancelled,False
ORD5540,CUST1180,,SKU10179,3,69.07,207.20999999999998,credit_card,CANCELLED,True
ORD5541,CUST1232,,SKU10069,1,113.04,113.04,credit_card, DELIVERED , False 
ORD5542,CUST1156,2025-06-23 20:41:01.702164,SKU10064,1,308.52,308.52,,cancelled,False
ORD5543,CUST1118,2025-07-06 21:59:54.815161,SKU10030,3,125.82,377.46,credit_card, pending , False 
ord5544,CUST1369,2025-08-04 16:42:19.650693,SKU10049,2,169.49,338.98,paypal, delivered ,False
ORD5545,CUST1161,2024-10-04 11:14:05.115955,SKU10030,2,125.82,251.64,,,True
ORD5546,CUST1380,2025-04-12 13:39:34.118145,sku10137,2,54.45,108.9,credit_card,delivered,False
ORD5547,CUST1486,,SKU10195,1,47.36,47.36, PAYPAL , cancelled ,FALSE
ORD5548,nan,,SKU10047,4,55.99,223.96,credit_card, delivered ,False
ORD5549,CUST1098,,SKU10055,4,81.4,325.6,paypal,delivered,NAN
ORD5550,cust1378,,SKU10123,2,186.08,372.16,CREDIT_CARD,delivered,FALSE
ORD5552,CUST1301,,SKU10194,2,54.15,108.3, paypal ,delivered,True
ORD5555,CUST1426,,sku10049,4,169.49,677.96,credit_card,delivered,false
ord5556,CUST1151,,NAN,1,152.39,152.39,credit_card,DELIVERED,True
ORD5557,CUST1184,,sku10045,1,89.73,89.73,paypal,delivered,False
ORD5562,CUST1283,,SKU10074,2,245.76,491.52,,pending, False 
