sku,warehouse_location,stock_level,reorder_threshold,supplier,avg_shipping_time_days,return_rate_percent
SKU10070,WH-BER,48.0,56.0,PrimeWholesale,,9.77
NAN,WH-LON,,62.0, FastTrack Logistics ,,11.37
SKU10071,wh-tor,29.0,37.0,UrbanTraders,,6.62
SKU10072,WH-BER,109.0,37.0,PrimeWholesale,,4.24
SKU10073,WH-LON,233.0,28.0,GlobalSupplyCo,,9.02
SKU10073,WH-SYD,197.0,64.0,urbantraders,,4.56
sku10074,WH-TOR,57.0,33.0,FastTrack Logistics,,0.04
SKU10074,wh-ber,226.0,74.0,FastTrack Logistics,,51.97295141887351
SKU10075,wh-lon,150.0,55.0,FastTrack Logistics,,12.33
SKU10075,WH-NY,161.0,63.0,URBANTRADERS,,1.5
SKU10076,WH-SYD,237.0,58.0,URBANTRADERS,,4.69
SKU10076,WH-BER,,70.0,FastTrack Logistics,,0.99
SKU10077,WH-NY,15.0,71.0,PrimeWholesale,,11.05
SKU10077,WH-TOR,297.0,77.0,GlobalSupplyCo,,
SKU10078,WH-BER,155.0,65.0,,,5.39
SKU10079,WH-NY,61.0,65.0, PrimeWholesale ,,6.5
SKU10080,WH-SYD,103.0,46.0,FastTrack Logistics,,9.5
SKU10080,WH-LON,177.0,31.0,PrimeWholesale,,6.13
SKU10081,WH-SYD,57.0,,UrbanTraders,,9.27
SKU10081,WH-BER,278.0,, PrimeWholesale ,,4.23
SKU10082,WH-BER,63.0,65.0, urbantraders ,,13.83
SKU10083,NAN,242.0,50.0, GLOBALSUPPLYCO ,,2.21
SKU10084,WH-LON,292.0,68.0, UrbanTraders ,,1.74
nan,WH-LON,138.0,54.0,PrimeWholesale,,5.16
SKU10085,WH-BER,150.0,53.0,,,7.26
SKU10086,WH-NY,59.0,40.0,UrbanTraders,,1.27
SKU10086,WH-LON,278.0,75.0,GlobalSupplyCo,,11.75
SKU10087,wh-tor,8.0,25.0,UrbanTraders,,14.26
nan,WH-NY,88.0,47.0,UrbanTraders,,10.48
SKU10089,WH-SYD,12.0,67.0, UrbanTraders ,,9.1
SKU10006,WH-NY,174.0,30.0,GlobalSupplyCo,,9.11
SKU10090,WH-NY,46.0,44.0,PrimeWholesale,,2.24
SKU10092,wh-syd,119.0,72.0,PrimeWholesale,,0.34
SKU10093,WH-SYD,106.0,34.0,URBANTRADERS,,51.97295141887351
SKU10094,WH-NY,6.0,71.0,primewholesale,,5.3
sku10095,wh-syd,94.0,71.0,urbantraders,,9.16
SKU10095,WH-BER,86.0,,UrbanTraders,,
SKU10096,WH-TOR,139.0,48.0,PrimeWholesale,,0.67
SKU10096,WH-LON,1.0,41.0,FastTrack Logistics,,10.78
SKU10097,WH-SYD,238.0,73.0,UrbanTraders,,2.36
SKU10098,WH-TOR,100.0,28.0,PrimeWholesale,,11.56
SKU10099,WH-LON,220.0,74.0,primewholesale,,6.13
SKU10099,WH-BER,175.0,23.0,FastTrack Logistics,,4.73
sku10100,WH-LON,215.0,67.0,GlobalSupplyCo,,12.45
SKU10100,WH-SYD,,56.0,,,14.04
SKU10101,wh-lon,64.0,28.0, globalsupplyco ,,3.85
SKU10102,wh-ny,123.0,55.0,FastTrack Logistics,,0.44
NAN,WH-TOR,8.0,34.0,GlobalSupplyCo,,6.67
sku10105,WH-NY,1043.4776759096053,48.0,GlobalSupplyCo,,10.8
SKU10105,wh-ber,36.0,33.0, globalsupplyco ,,
SKU10108,WH-TOR,24.0,27.0,FastTrack Logistics,,10.01
SKU10109,WH-TOR,163.0,64.0,FastTrack Logistics,,8.18
SKU10110,wh-lon,165.0,64.0,GlobalSupplyCo,,
SKU10112,WH-SYD,125.0,64.0,GlobalSupplyCo,,8.13
SKU10113,WH-LON,150.0,55.0,FastTrack Logistics,,14.96
SKU10114,WH-SYD,59.0,74.0,globalsupplyco,,4.05
SKU10114,WH-BER,186.0,51.0,FastTrack Logistics,,8.01
SKU10115,WH-TOR,,56.0,FastTrack Logistics,,9.82
sku10116,WH-SYD,222.0,65.0,GlobalSupplyCo,,12.7
SKU10117,WH-TOR,64.0,20.0,GlobalSupplyCo,,2.43
SKU10118,WH-TOR,119.0,47.0,FastTrack Logistics,,11.28
SKU10118,WH-SYD,2.0,,FastTrack Logistics,,
SKU10119,WH-NY,143.0,72.0,UrbanTraders,,51.97295141887351
SKU10120,WH-LON,71.0,29.0,PRIMEWHOLESALE,,3.12
SKU10121,WH-TOR,42.0,217.218167220084,PrimeWholesale,,13.07
SKU10122,WH-LON,271.0,76.0, URBANTRADERS ,,
SKU10123,WH-BER,186.0,34.0,FastTrack Logistics,,51.97295141887351
SKU10123,WH-SYD,239.0,, GLOBALSUPPLYCO ,,11.84
SKU10125,WH-TOR,255.0,29.0,UrbanTraders,,51.97295141887351
SKU10125,WH-LON,218.0,48.0,PrimeWholesale,,13.78
SKU10126,WH-SYD,178.0,,GlobalSupplyCo,,9.13
SKU10126,wh-tor,178.0,56.0,FastTrack Logistics,,6.08
SKU10127,WH-SYD,97.0,69.0,urbantraders,,4.45
SKU10022,WH-BER,274.0,28.0,PRIMEWHOLESALE,,4.1
SKU10128,WH-SYD,51.0,66.0,PrimeWholesale,,13.78
SKU10129,wh-tor,32.0,,FASTTRACK LOGISTICS,,11.41
SKU10130,WH-LON,269.0,23.0,GlobalSupplyCo,,13.3
nan,WH-TOR,90.0,38.0,FASTTRACK LOGISTICS,,0.12
NAN,WH-SYD,36.0,,UrbanTraders,,14.1
sku10131,WH-BER,11.0,60.0,URBANTRADERS,,11.42
SKU10132,WH-BER,,40.0, UrbanTraders ,,13.26
SKU10132,wh-tor,45.0,41.0, urbantraders ,,1.06
SKU10133,WH-TOR,299.0,63.0,FastTrack Logistics,,13.31
SKU10134,WH-LON,285.0,75.0, PrimeWholesale ,,2.71
sku10135,WH-LON,275.0,37.0,NAN,,10.45
sku10136,WH-TOR,161.0,217.218167220084,primewholesale,,4.53
SKU10136,WH-NY,,75.0,UrbanTraders,,
SKU10137,WH-SYD,150.0,74.0,GlobalSupplyCo,,8.47
sku10138,WH-NY,1.0,37.0,FastTrack Logistics,,3.22
SKU10139,WH-BER,115.0,63.0,FastTrack Logistics,,7.8
SKU10140,WH-BER,288.0,41.0,UrbanTraders,,1.32
SKU10140,wh-lon,25.0,66.0,PRIMEWHOLESALE,,14.57
sku10141,wh-ny,75.0,43.0,NAN,,3.77
SKU10141,WH-BER,41.0,51.0,FastTrack Logistics,,2.12
SKU10142,WH-SYD,196.0,24.0,globalsupplyco,,4.72
SKU10142,WH-BER,296.0,66.0,GlobalSupplyCo,,1.18
SKU10143,WH-NY,164.0,68.0,FastTrack Logistics,,0.51
SKU10143,WH-LON,91.0,55.0,GlobalSupplyCo,,2.26
SKU10144,WH-TOR,38.0,49.0,FastTrack Logistics,,11.83
SKU10145,WH-SYD,18.0,56.0,GlobalSupplyCo,,
SKU10145,WH-TOR,100.0,79.0,primewholesale,,11.45
SKU10146,WH-LON,16.0,64.0,FastTrack Logistics,,13.89
SKU10146,wh-ber,252.0,25.0,UrbanTraders,,7.86
SKU10147,WH-TOR,148.0,26.0,PrimeWholesale,,
SKU10148,WH-BER,34.0,55.0,globalsupplyco,,9.92
SKU10149,WH-SYD,296.0,61.0,PRIMEWHOLESALE,,15.0
SKU10150,WH-BER,104.0,66.0, FASTTRACK LOGISTICS ,,7.0
SKU10151,WH-NY,211.0,46.0,globalsupplyco,,6.57
SKU10151,WH-TOR,121.0,32.0,UrbanTraders,,8.98
SKU10152,WH-TOR,295.0,30.0,,,0.18
SKU10153,wh-ny,135.0,28.0,GlobalSupplyCo,,3.55
SKU10153,WH-LON,197.0,46.0,FASTTRACK LOGISTICS,,4.58
SKU10154,WH-SYD,156.0,27.0, globalsupplyco ,,6.99
SKU10155,WH-SYD,23.0,56.0,FastTrack Logistics,,13.67
SKU10156,WH-TOR,1.0,23.0,FASTTRACK LOGISTICS,,0.88
SKU10157,WH-NY,155.0,,,,7.82
SKU10157,wh-syd,111.0,45.0, PrimeWholesale ,,10.9
SKU10158,WH-BER,,72.0,GlobalSupplyCo,,51.97295141887351
nan,wh-lon,59.0,41.0,urbantraders,,11.98
SKU10159,WH-SYD,27.0,29.0,primewholesale,,51.97295141887351
SKU10107,WH-LON,57.0,, UrbanTraders ,,8.91
SKU10160,WH-NY,92.0,34.0,PrimeWholesale,,12.09
sku10161,WH-NY,17.0,217.218167220084,PrimeWholesale,,9.05
SKU10104,WH-LON,1043.4776759096053,50.0,globalsupplyco,,4.95
SKU10163,WH-LON,200.0,73.0,globalsupplyco,,1.17
SKU10164,WH-TOR,244.0,21.0, fasttrack logistics ,,4.86
SKU10165,WH-LON,191.0,63.0,GlobalSupplyCo,,
SKU10165,nan,51.0,21.0,UrbanTraders,,13.28
SKU10166,WH-BER,154.0,76.0, PRIMEWHOLESALE ,,13.61
SKU10166,WH-TOR,10.0,27.0,UrbanTraders,,
SKU10167,wh-syd,276.0,47.0,PrimeWholesale,,13.08
sku10168,WH-TOR,145.0,32.0,PrimeWholesale,,6.14
SKU10168,WH-NY,50.0,42.0,GLOBALSUPPLYCO,,2.59
SKU10169,WH-LON,81.0,33.0,FastTrack Logistics,,3.14
SKU10169,WH-SYD,93.0,78.0,UrbanTraders,,4.53
SKU10171,WH-NY,273.0,35.0,globalsupplyco,,4.58
SKU10172,WH-LON,296.0,217.218167220084,PrimeWholesale,,14.24
SKU10173,WH-SYD,277.0,30.0,GlobalSupplyCo,,7.72
SKU10174,WH-SYD,,65.0,urbantraders,,13.98
SKU10174,WH-TOR,121.0,54.0,GlobalSupplyCo,,2.13
SKU10175,WH-SYD,205.0,217.218167220084,PrimeWholesale,,8.23
sku10176,WH-LON,224.0,48.0, GlobalSupplyCo ,,0.03
SKU10177,WH-BER,,77.0, GLOBALSUPPLYCO ,,51.97295141887351
SKU10178,WH-BER,112.0,49.0,PrimeWholesale,,2.48
SKU10179,WH-BER,287.0,54.0,primewholesale,,4.31
SKU10180,WH-TOR,10.0,79.0,GlobalSupplyCo,,0.66
SKU10180,wh-ber,163.0,217.218167220084,UrbanTraders,,13.69
SKU10181,wh-syd,295.0,61.0,URBANTRADERS,,3.08
SKU10182,wh-ber,52.0,67.0,GlobalSupplyCo,,9.87
SKU10182,WH-SYD,158.0,51.0,,,14.34
SKU10183,WH-LON,92.0,25.0,GlobalSupplyCo,,10.29
SKU10183,WH-NY,,57.0, primewholesale ,,
SKU10184,WH-BER,163.0,49.0,UrbanTraders,,0.59
SKU10185,WH-NY,47.0,24.0,,,3.1
SKU10186,WH-BER,161.0,,PrimeWholesale,,13.31
sku10186,WH-TOR,1043.4776759096053,57.0,UrbanTraders,,51.97295141887351
SKU10187,WH-TOR,170.0,65.0,GlobalSupplyCo,,13.73
sku10187,WH-LON,,28.0,GlobalSupplyCo,,9.69
sku10188,WH-SYD,165.0,,UrbanTraders,,8.28
SKU10188,WH-NY,158.0,64.0,FastTrack Logistics,,7.13
SKU10189,WH-SYD,148.0,36.0,PrimeWholesale,,13.7
SKU10190,wh-syd,86.0,79.0, PRIMEWHOLESALE ,,10.96
sku10190,WH-BER,,39.0,GlobalSupplyCo,,14.59
SKU10191,WH-NY,269.0,56.0,PRIMEWHOLESALE,,8.58
SKU10192,wh-lon,40.0,50.0,URBANTRADERS,,11.13
nan,WH-BER,214.0,50.0,UrbanTraders,,1.08
SKU10193,WH-SYD,110.0,65.0,GlobalSupplyCo,,6.15
SKU10193,WH-LON,30.0,23.0,GLOBALSUPPLYCO,,13.01
SKU10194,WH-TOR,42.0,63.0,UrbanTraders,,2.85
SKU10194,WH-NY,1043.4776759096053,58.0,GlobalSupplyCo,,13.45
SKU10195,wh-lon,28.0,,PrimeWholesale,,5.91
SKU10057,WH-BER,,56.0,PrimeWholesale,,12.26
sku10197,WH-LON,156.0,72.0, FastTrack Logistics ,,0.27
SKU10198,WH-NY,60.0,47.0, GlobalSupplyCo ,,14.72
SKU10199,wh-syd,218.0,47.0,FASTTRACK LOGISTICS,,8.6
