campaign_id,channel,campaign_type,campaign_date,end_date,promo_code,ad_spend,impressions,clicks,conversions,revenue,ctr,conversion_rate
CAMP3087,in_app, new_arrival ,2025-08-30,,SUMMER15,302.94,8935,200,21,2430.48,0.0224,
CAMP3088,in_app,,2024-01-25,2025-10-24,,240.81,48726,2130,122,9214.33,0.0437,0.0573
CAMP3090,in_app,new_arrival,2024-05-03,2025-05-29,BF2025,370.76,27260,1896,106,8051.44,0.0696,0.0559
camp3093,in_app,retargeting,2024-10-25,2024-05-15,WELCOME10,84.42,21131,814,22,2024.45,0.0385,0.027
CAMP3095,google_ads,retargeting,2025-07-22,2024-09-17,,316.41,38892,1343,146,10498.25,0.0345,0.1087
CAMP3096,in_app,SEASONAL_SALE,2024-04-24,2024-11-10,WELCOME10,485.44,33699,1452,39,5715.15,0.0431,0.0269
CAMP3100,social,retargeting,2024-09-25,,NAN,254.53,10965,625,71,5200.21,0.057,0.1136
CAMP3104,in_app,seasonal_sale,2025-05-06,2024-06-29,,62.41,45583,940,92,9155.3,0.0206,0.0979
CAMP3105,in_app,seasonal_sale,2025-04-25,,,120.22,6243,229,24,3558.78,0.0367,0.1048
camp3108,email,new_arrival,2025-04-12,2024-06-10,,479.52,3492,270,47,995.38,0.0773,0.1741
CAMP3109,google_ads,NEW_ARRIVAL,2024-06-27,2024-09-01,,399.8,10231,475,38,2267.66,0.0464,0.08
camp3110,google_ads,NAN,2025-07-04,2024-10-08,,92.54,20191,1098,100,9332.74,0.0544,0.0911
CAMP3112,in_app,SEASONAL_SALE,2025-08-28,2025-11-11,WELCOME10,381.03,42078,1805,95,3094.65,0.0429,0.0526
camp3113,google_ads,new_arrival,2025-08-04,2025-01-21,SUMMER15,432.24,1367,21,0,0.0,0.0154,0.0
CAMP3115,email,retargeting,2024-11-12,2024-06-27,WELCOME10,393.64,34165,2291,212,24215.01,0.0671,0.0925
CAMP3118,in_app, nan ,2024-11-06,, NAN ,376.31,29756,1123,97,7333.29,0.0377,0.0864
CAMP3122,google_ads, brand_awareness ,2024-05-10,2025-01-03,,186.79,44484,2881,126,87556.8156026327,0.0648,0.0437
CAMP3125,google_ads,SEASONAL_SALE,2024-06-24,2024-03-16, NAN ,329.61,38451,1850,120,14736.12,0.0481,0.0649
CAMP3126,google_ads,RETARGETING,2025-10-05,,SUMMER15,142.63,23584,577,18,877.79,0.0245,0.0312
CAMP3128,email,brand_awareness,2024-09-17,,BF2025,308.42,33150,2039,209,26687.58,0.0615,0.1025
CAMP3129,social,seasonal_sale,2025-02-07,2025-08-06,,,9119,123,4,495.47,0.0135,0.0325
CAMP3130,email,NAN,2025-03-02,,WELCOME10,336.42,9634,387,36,4001.52,0.0402,0.093
CAMP3134,nan,seasonal_sale,2025-04-17,2024-11-05,,341.91,43060,2089,102,8472.47,0.0485,0.0488
CAMP3135,email, new_arrival ,2024-02-06,2025-01-25,SUMMER15,332.69,34667,1194,108,5773.46,0.0344,
CAMP3138,social,new_arrival,2025-08-14,2024-11-14,,405.91,3387,142,10,401.77,0.0419,0.0704
camp3144,email,SEASONAL_SALE,2024-07-24,2024-06-12,SUMMER15,128.58,35833,845,107,12173.08,0.0236,0.1266
CAMP3145,email,retargeting,2024-09-18,, nan ,476.25,43331,1543,84,11639.73,0.0356,0.0544
CAMP3146,in_app,seasonal_sale,2024-09-30,,BF2025,184.33,11058,822,29,2364.49,0.0743,0.0353
nan,email,brand_awareness,2025-02-26,2025-05-06,,175.86,4515,262,25,2901.24,0.058,0.0954
CAMP3151,social,seasonal_sale,2025-02-21,,,,43087,1346,54,2418.49,0.0312,0.0401
CAMP3153,email,retargeting,2025-02-08,2024-07-08,,401.06,6258,342,9,1315.3,0.0547,0.0263
CAMP3154,in_app,seasonal_sale,2024-07-23,2024-08-13,SUMMER15,178.98,24557,575,21,2211.07,0.0234,0.0365
nan,google_ads,seasonal_sale,2025-09-10,,,,46091,2333,180,23302.78,0.0506,0.0772
camp3156,google_ads, retargeting ,2025-10-27,2025-05-15,,119.78,37840,2698,150,19437.17,0.0713,0.0556
CAMP3158,nan,brand_awareness,2025-08-08,,BF2025,265.22,42408,1927,234,9149.85,0.0454,0.1214
CAMP3160,social,seasonal_sale,2025-06-20,2024-05-07,WELCOME10,156.36,9921,159,16,453.92,0.016,0.1006
CAMP3163,social,seasonal_sale,2025-05-14,, nan ,1612.48950299938,7332,123,11,1474.77,0.0168,0.0894
CAMP3169,social,retargeting,2025-05-21,2025-05-28, nan ,441.36,9263,330,33,953.36,,
CAMP3171,google_ads,retargeting,2024-10-08,2024-07-23,,192.98,15884,448,44,2331.52,0.0282,0.0982
CAMP3174,in_app,SEASONAL_SALE,2025-07-28,2024-12-13,NAN,59.26,19006,425,40,1811.61,0.0224,0.4808925093678742
CAMP3178,social,new_arrival,2025-09-16,2024-11-03,,351.79,42758,1572,233,20316.17,0.0368,0.1482
CAMP3179,google_ads,new_arrival,2025-01-11,, nan ,479.78,27754,1793,163,13364.69,,0.0909
NAN,email, new_arrival ,2024-07-19,2024-04-03,welcome10,,6291,406,32,2711.25,0.0645,0.0788
CAMP3181,social,retargeting,2024-08-16,2025-11-15,SUMMER15,,8954,679,55,4470.99,0.0758,0.081
NAN,in_app,SEASONAL_SALE,2025-01-20,2024-10-23,bf2025,131.33,19802,607,20,911.0,0.0307,
CAMP3186,google_ads,seasonal_sale,2024-03-19,2024-04-14,SUMMER15,76.97,20979,1492,113,5672.46,0.0711,
CAMP3193,google_ads,retargeting,2025-02-12,2025-08-26,BF2025,137.58,8787,593,22,3296.55,0.0675,0.0371
CAMP3200,social, brand_awareness ,2025-07-02,2025-11-02,,94.9,12801,181,6,666.84,0.0141,0.0331
CAMP3201,in_app,seasonal_sale,2024-10-25,2024-09-23, FREESHIP ,,42184,563,49,3171.13,0.0133,0.087
CAMP3203,social,,2024-07-13,2024-04-11,summer15,418.09,19851,230,32,3375.94,0.0116,0.1391
CAMP3204,email,new_arrival,2025-07-23,2025-06-08, WELCOME10 ,494.71,22539,1695,58,1461.26,0.0752,0.0342
CAMP3206,social, NEW_ARRIVAL ,2024-05-02,2025-05-08,NAN,344.8,38355,533,48,3805.86,0.0139,0.0901
CAMP3207,in_app,brand_awareness,2024-01-03,2024-07-17,NAN,193.58,41771,918,46,6147.12,0.022,0.0501
CAMP3208,email,retargeting,2025-10-13,2025-05-08,welcome10,246.64,31875,539,81,6054.03,0.0169,0.1503
CAMP3209,social, retargeting ,2024-10-16,2025-05-03, nan ,480.42,22954,933,66,2992.75,0.0406,0.0707
CAMP3212,social,brand_awareness,2025-10-01,2024-08-13,FREESHIP,264.9,40219,2219,47,1342.21,0.0552,
CAMP3213,social,NEW_ARRIVAL,2024-09-04,2025-10-16, nan ,315.91,43944,744,50,3990.47,0.0169,0.0672
CAMP3215,social,new_arrival,2025-08-14,,WELCOME10,413.65,13043,130,17,87556.8156026327,0.01,0.1308
CAMP3216,google_ads, seasonal_sale ,2025-10-18,, nan ,419.57,9312,301,24,2459.85,0.0323,0.0797
CAMP3218,in_app,new_arrival,2024-05-22,,,468.21,6805,289,23,587.21,0.0425,
CAMP3220,in_app,,2025-05-17,2024-09-02,BF2025,478.89,9896,702,65,9183.41,0.0709,0.0926
CAMP3221,social,BRAND_AWARENESS,2025-09-06,2024-12-17,WELCOME10,256.58,25815,912,26,3879.96,0.0353,0.0285
CAMP3223,email,SEASONAL_SALE,2024-03-10,,WELCOME10,412.56,38519,710,68,9213.69,0.0184,0.0958
CAMP3226,google_ads, brand_awareness ,2025-06-09,2025-05-16, nan ,287.55,5843,363,43,4424.54,0.0621,0.1185
CAMP3227,email,SEASONAL_SALE,2024-03-26,2024-12-07,,343.6,20968,1038,82,12169.2,0.0495,0.079
CAMP3229,email,new_arrival,2024-07-12,2024-02-13,WELCOME10,323.39,13378,584,18,,0.0437,0.0308
CAMP3230,social,RETARGETING,2024-01-19,2025-09-22,WELCOME10,328.6,42582,3000,194,12295.37,,0.0647
camp3232,in_app,seasonal_sale,2024-09-17,2024-12-15,FREESHIP,207.41,35288,2179,216,4383.06,0.0617,0.0991
CAMP3234,email,seasonal_sale,2025-08-10,2025-03-06,,351.58,2662,168,21,1052.61,0.0631,0.125
CAMP3235,in_app,SEASONAL_SALE,2024-07-02,2025-11-13,,372.77,29441,1503,182,18787.59,0.0511,0.1211
CAMP3236,in_app,brand_awareness,2024-03-28,2025-09-02,,362.48,9422,672,90,8567.83,0.0713,0.1339
CAMP3237,google_ads, seasonal_sale ,2024-09-16,2024-05-04,SUMMER15,97.26,26205,1845,190,27188.07,0.0704,0.103
camp3238,google_ads,new_arrival,2025-03-14,2025-09-21,,305.84,37348,1074,73,9106.09,0.0288,0.068
camp3241,social,new_arrival,2025-05-27,2024-06-25,,145.94,17811,719,38,3675.14,0.0404,0.0529
CAMP3242,google_ads,retargeting,2024-03-11,2025-03-11,,1612.48950299938,42472,806,65,3817.6,0.019,
CAMP3243,social,retargeting,2025-02-28,, nan ,235.33,35043,1662,106,11936.7,0.0474,0.0638
CAMP3244,social,,2025-01-27,2024-04-20,,224.22,34473,2040,191,13222.54,0.0592,0.0936
CAMP3247,in_app,seasonal_sale,2024-01-20,2025-03-26,,148.02,27285,748,92,3541.66,0.0274,0.123
camp3248,email,new_arrival,2024-03-04,,,490.77,13673,382,39,87556.8156026327,0.0279,
CAMP3249,social, seasonal_sale ,2024-07-02,,,478.22,22916,1808,38,3042.76,0.0789,0.021
CAMP3250,social,seasonal_sale,2024-12-13,2024-08-27,FREESHIP,,10734,821,42,3680.11,0.0765,0.0512
CAMP3254,in_app, seasonal_sale ,2024-07-26,2024-01-21,,78.29,15219,1082,58,7454.8,0.0711,0.0536
CAMP3259,social,,2024-01-09,,NAN,122.41,28150,1335,165,16705.61,0.0474,0.1236
CAMP3260,social,brand_awareness,2025-01-14,2024-08-14,SUMMER15,495.58,33252,2245,252,30240.64,0.0675,0.1122
CAMP3261,email,RETARGETING,2024-12-06,2025-07-17,NAN,363.84,6247,404,10,1295.16,0.0647,0.0248
CAMP3263,social,brand_awareness,2024-12-05,2025-01-13,SUMMER15,323.35,43350,1296,47,5019.63,0.0299,0.0363
CAMP3265,in_app, brand_awareness ,2024-03-08,2025-03-25,,,5126,113,7,931.14,0.022,0.0619
CAMP3269,social, nan ,2025-09-01,2024-02-25, WELCOME10 ,130.64,5480,150,13,1731.31,0.0274,0.0867
CAMP3270,in_app,retargeting,2024-10-06,2025-08-06,,369.77,13228,389,9,996.98,0.0294,0.0231
camp3273,social,seasonal_sale,2025-08-30,2024-03-28,,259.97,19895,768,68,2268.62,0.0386,0.0885
CAMP3274,social,brand_awareness,2024-01-27,2025-06-09,SUMMER15,384.84,19435,729,56,7456.18,0.0375,0.0768
NAN,social,brand_awareness,2024-10-04,2025-11-12,,84.46,12677,801,41,4153.37,,0.0512
CAMP3187,in_app,NEW_ARRIVAL,2024-01-13,2024-12-24,SUMMER15,72.92,22796,1274,88,9610.41,,0.0691
CAMP3280,email,RETARGETING,2025-02-25,2025-10-13,,84.07,35818,1955,75,6949.09,0.0546,
CAMP3281,social,retargeting,2025-03-29,2024-07-13,WELCOME10,1612.48950299938,6481,286,36,4827.08,0.0441,
CAMP3282,google_ads,new_arrival,2024-04-09,2025-02-08,,107.26,17052,680,49,1246.67,0.0399,0.0721
CAMP3283,social,new_arrival,2024-04-06,2025-10-31,SUMMER15,496.69,38964,1827,175,3772.14,0.0469,
CAMP3288,email, brand_awareness ,2024-03-23,,,79.37,6269,194,10,977.21,0.0309,0.0515
CAMP3289,social,new_arrival,2025-07-14,2024-08-18,,431.43,3921,189,13,990.34,0.0482,0.0688
CAMP3290,google_ads,brand_awareness,2024-03-19,, nan ,478.33,41345,929,93,6816.05,,0.1001
CAMP3294,in_app,brand_awareness,2024-12-01,, nan ,57.96,6559,172,11,220.64,,0.064
CAMP3297,email,brand_awareness,2025-05-01,2024-05-15,SUMMER15,150.59,41716,1480,242,28579.92,0.0355,
CAMP3298,social, new_arrival ,2024-05-14,2025-09-02,WELCOME10,441.84,20226,989,62,3740.21,0.0489,0.0627
CAMP3299,email, brand_awareness ,2024-10-16,2025-09-28,WELCOME10,320.8,27843,1624,247,19916.66,0.0583,0.4808925093678742
CAMP3300,in_app, BRAND_AWARENESS ,2025-07-23,2024-11-12,bf2025,462.9,9152,560,53,6784.45,0.0612,
CAMP3301,in_app, brand_awareness ,2024-01-19,2025-10-30,WELCOME10,443.13,46093,3464,111,10313.9,0.0752,
CAMP3307,social,BRAND_AWARENESS,2024-12-14,, SUMMER15 ,152.26,26093,1941,93,12040.32,0.0744,0.0479
CAMP3308,social, retargeting ,2025-03-26,2025-09-12, nan ,60.13,23016,259,30,2085.26,0.0113,0.1158
camp3309,email,SEASONAL_SALE,2025-04-12,,NAN,350.41,6724,523,38,87556.8156026327,0.0778,0.0727
CAMP3314,email, retargeting ,2025-03-21,,SUMMER15,150.83,14036,662,60,2882.06,0.0472,0.4808925093678742
CAMP3315,email,NEW_ARRIVAL,2024-04-28,,NAN,142.91,31802,384,40,5047.37,0.2460293779829661,0.1042
CAMP3316,social,brand_awareness,2025-09-06,2024-09-23, SUMMER15 ,,21654,951,104,13850.83,0.0439,0.1094
camp3317,social,retargeting,2024-06-28,2025-05-30,BF2025,457.62,5687,151,15,87556.8156026327,,0.0993
CAMP3318,social,brand_awareness,2025-09-18,2024-09-05,SUMMER15,150.53,43769,1894,50,3750.48,0.0433,0.0264
camp3319,email,NEW_ARRIVAL,2024-03-23,2024-08-25,,472.65,31860,1306,106,13672.4,0.041,0.0812
CAMP3320,google_ads,seasonal_sale,2024-02-11,2024-05-06,NAN,204.91,23752,1399,197,6512.94,0.0589,
CAMP3324,in_app,retargeting,2025-01-08,2024-09-23, nan ,478.05,6971,350,43,2088.03,0.0502,0.1229
CAMP3325,in_app,NAN,2024-05-16,, BF2025 ,124.8,17161,665,65,9138.54,,0.0977
CAMP3326,google_ads, retargeting ,2024-10-13,2024-10-14,WELCOME10,474.87,26435,809,95,11109.91,0.0306,0.1174
CAMP3328,google_ads,retargeting,2024-03-12,,,496.93,1683,121,3,67.94,0.2460293779829661,
CAMP3332,email,brand_awareness,2024-01-28,,NAN,341.31,38515,959,38,1571.93,0.0249,0.0396
nan,google_ads, RETARGETING ,2024-02-21,,WELCOME10,70.65,39319,537,70,5819.26,0.0137,0.1304
CAMP3335,email, retargeting ,2025-04-07,2024-10-09, nan ,312.11,34532,2022,160,6441.45,0.0586,0.0791
CAMP3888,google_ads, new_arrival ,2024-04-25,2025-03-09,,1612.48950299938,14194,368,42,3328.51,0.0259,0.1141
camp3342,social, brand_awareness ,2024-10-15,,,94.06,8531,319,43,3712.62,0.2460293779829661,0.1348
CAMP3346,google_ads,new_arrival,2024-10-04,2025-01-05, nan ,177.55,40330,872,37,5504.62,0.0216,0.0424
CAMP3348,google_ads,seasonal_sale,2025-05-17,,,136.99,24410,1928,47,5127.37,0.079,
CAMP3099,in_app,BRAND_AWARENESS,2025-10-05,, SUMMER15 ,231.95,24442,1530,86,5116.05,,0.0562
CAMP3358,social,retargeting,2025-03-21,2024-04-16,WELCOME10,56.08,19150,1319,57,,0.0689,0.0432
CAMP3361,in_app,new_arrival,2025-03-12,2024-11-05,,487.55,1639,44,3,250.21,0.0268,0.0682
CAMP3362,google_ads, RETARGETING ,2025-04-28,2024-08-18,,,38172,2781,101,,0.0729,0.0363
CAMP3363,social,seasonal_sale,2024-05-14,2025-06-05,SUMMER15,53.09,31190,2190,262,,0.0702,0.1196
CAMP3368,social, new_arrival ,2024-01-25,2025-02-13,NAN,240.61,30812,1030,61,3249.19,0.0334,0.0592
CAMP3330,social,retargeting,2025-09-03,2025-01-22,,116.6,34089,1185,69,7439.58,0.0348,0.0582
camp3371,email,seasonal_sale,2024-04-12,2024-07-24,,313.58,15681,634,79,5463.17,0.0404,
CAMP3372,google_ads,brand_awareness,2025-02-26,2024-12-20,NAN,221.55,49592,2513,161,23300.11,0.0507,0.0641
CAMP3373,social, new_arrival ,2025-06-25,, FREESHIP ,435.57,22274,338,30,953.35,0.0152,0.0888
camp3378,social,brand_awareness,2025-06-03,,FREESHIP,460.57,7816,337,15,437.59,0.0431,0.0445
camp3384,in_app,brand_awareness,2025-01-03,2025-04-25, summer15 ,341.55,8179,239,29,2776.16,0.0292,
camp3385,email, seasonal_sale ,2025-08-07,,SUMMER15,202.88,47531,1563,43,3738.21,0.0329,0.0275
CAMP3386,nan,brand_awareness,2025-09-11,2025-05-02,,157.36,35846,2577,133,11965.45,0.0719,0.0516
CAMP3388,google_ads,new_arrival,2024-04-08,2025-09-14,,68.32,45830,3422,223,9953.66,0.0747,0.0652
CAMP3389,google_ads,RETARGETING,2024-03-01,2024-02-01,SUMMER15,369.03,12390,379,64,8528.53,0.0306,0.1689
CAMP3391,email,seasonal_sale,2025-02-13,2024-10-13,,335.25,44289,1579,66,3680.25,0.0357,0.0418
CAMP3392,social,,2025-05-13,,SUMMER15,382.63,33759,2170,201,12513.23,0.0643,0.0926
camp3401,in_app,brand_awareness,2024-07-31,2024-06-13,SUMMER15,408.98,14932,784,75,2026.02,0.0525,0.0957
CAMP3404,email,retargeting,2024-10-02,2025-06-07,,421.0,6226,224,25,1522.68,0.036,0.1116
CAMP3405,email,seasonal_sale,2025-05-09,2025-10-22,,251.76,35155,1520,79,4460.5,0.0432,0.052
CAMP3407,google_ads,seasonal_sale,2024-06-08,,,249.42,18207,234,16,416.37,0.0129,
CAMP3410,in_app,seasonal_sale,2024-06-25,2025-09-06,SUMMER15,319.78,14031,796,89,9386.71,0.0567,0.1118
camp3040,in_app, retargeting ,2025-03-26,, nan ,484.84,27907,1571,43,1569.76,0.2460293779829661,0.0274
CAMP3419,email,seasonal_sale,2024-04-22,, BF2025 ,260.33,11884,583,39,5388.39,0.0491,0.0669
CAMP3420,in_app,seasonal_sale,2024-01-07,2024-03-20,,331.13,29606,2005,140,12754.36,0.0677,0.0698
CAMP3422,email,retargeting,2024-12-06,2025-04-11, nan ,455.64,19869,628,81,9158.24,0.0316,0.129
CAMP3427,social,brand_awareness,2025-01-24,2024-04-06,SUMMER15,99.01,20052,1342,212,24408.95,0.0669,0.158
CAMP3430,social, brand_awareness ,2025-01-13,2025-02-16,,401.93,6155,81,15,1079.04,0.0132,0.1852
CAMP3431,social, nan ,2025-02-20,,WELCOME10,412.08,4779,186,6,308.44,0.0389,0.0323
camp3432,social,seasonal_sale,2024-08-24,2025-03-12,WELCOME10,138.52,15349,878,69,5374.07,0.0572,0.0786
CAMP3435,google_ads, BRAND_AWARENESS ,2025-03-20,2024-02-11,NAN,341.17,15316,589,64,6547.71,0.0385,0.1087
CAMP3436,social, seasonal_sale ,2024-08-24,,FREESHIP,181.8,23761,504,48,5830.92,0.0212,0.0952
camp3438,in_app,retargeting,2024-09-21,2024-10-15, WELCOME10 ,471.98,27048,1686,85,11067.16,0.0623,0.0504
CAMP3439,in_app, new_arrival ,2024-09-09,,NAN,104.75,36144,2422,218,20207.8,0.067,0.09
CAMP3441,in_app,new_arrival,2025-08-25,,WELCOME10,265.75,2412,109,8,998.48,,0.0734
CAMP3442,social,,2025-08-18,,NAN,163.05,21526,1028,63,4125.53,,0.0613
CAMP3444,google_ads,brand_awareness,2024-10-15,2024-07-05, nan ,69.8,2514,24,0,0.0,0.0095,0.0
CAMP3446,google_ads, retargeting ,2025-09-12,2025-06-27, WELCOME10 ,,9369,602,71,87556.8156026327,0.0643,0.1179
CAMP3447,email,new_arrival,2025-01-26,2024-07-11,WELCOME10,149.79,22827,425,10,1065.0,0.0186,0.0235
CAMP3449,in_app, NEW_ARRIVAL ,2024-06-10,,SUMMER15,345.28,27358,760,77,10177.49,0.0278,0.1013
camp3452,in_app,retargeting,2024-01-25,2024-08-08,,490.62,29143,1768,233,8734.07,0.0607,0.1318
CAMP3453,google_ads,seasonal_sale,2025-01-18,,SUMMER15,330.4,43445,1791,212,,0.0412,0.1184
camp3454,social,new_arrival,2024-07-06,2024-12-18,WELCOME10,364.34,6812,222,24,1031.97,0.0326,0.1081
CAMP3455,google_ads,RETARGETING,2025-01-10,2025-04-25,NAN,208.47,7652,519,75,8382.92,0.0678,0.1445
CAMP3457,in_app,brand_awareness,2025-03-29,,WELCOME10,379.61,13135,437,53,4677.2,0.0333,0.1213
CAMP3459,in_app,seasonal_sale,2025-06-02,2024-12-30,,393.54,25884,1419,186,10817.76,0.0548,0.1311
CAMP3460,social,brand_awareness,2025-09-22,2025-03-30,WELCOME10,416.05,1455,109,5,689.2,0.0749,0.0459
CAMP3462,email,new_arrival,2025-05-22,2024-07-19,,457.18,20191,292,34,2522.96,0.0145,0.1164
CAMP3463,email,BRAND_AWARENESS,2025-09-03,2025-01-03,WELCOME10,370.96,27333,1092,137,17524.75,0.04,0.1255
CAMP3465,in_app,brand_awareness,2024-07-11,,,301.17,6471,477,37,2972.51,0.0737,0.0776
CAMP3467,social, retargeting ,2024-06-05,2025-08-24, BF2025 ,495.18,15837,324,16,1496.03,0.0205,0.0494
CAMP3469,google_ads,brand_awareness,2024-10-15,2024-05-24,,350.07,10589,816,71,2650.02,0.0771,0.4808925093678742
CAMP3473,google_ads,seasonal_sale,2025-02-11,,,310.33,28061,1495,183,5121.41,0.0533,0.1224
CAMP3476,social,retargeting,2024-08-04,,,83.28,24181,1899,44,3131.95,0.0785,0.0232
CAMP3477,in_app,brand_awareness,2024-11-25,2024-10-19,WELCOME10,427.82,37251,578,21,2550.56,0.0155,0.0363
CAMP3478,email, seasonal_sale ,2025-10-12,2025-05-07,,411.57,12173,284,8,87556.8156026327,0.0233,0.0282
CAMP3481,email,RETARGETING,2025-02-23,2024-12-20,SUMMER15,52.15,23365,368,11,1398.73,0.0158,0.0299
camp3485,in_app,retargeting,2025-03-21,2025-09-01,welcome10,154.45,14097,222,10,,,0.045
CAMP3486,google_ads,NEW_ARRIVAL,2024-08-28,2024-09-01, nan ,471.55,20946,607,50,5372.47,0.029,0.0824
CAMP3488,email, new_arrival ,2025-04-17,2024-04-12,WELCOME10,387.21,29698,2225,90,3154.52,0.0749,0.0404
CAMP3489,google_ads,retargeting,2025-09-03,2024-07-14,,464.97,7826,276,9,299.58,0.0353,0.0326
CAMP3491,google_ads,seasonal_sale,2025-05-21,2025-05-11,NAN,463.19,10740,372,38,4901.75,0.0346,0.1022
CAMP3494,social,,2024-01-25,,WELCOME10,482.47,8236,191,26,1091.15,0.0232,
CAMP3495,google_ads,,2025-03-17,,,482.69,25902,1855,114,12074.03,0.0716,0.0615
CAMP3497,email,new_arrival,2024-10-24,,,416.26,46772,529,33,1714.45,0.0113,0.4808925093678742
CAMP3500,social,new_arrival,2024-07-24,2024-02-07,BF2025,169.07,36229,944,96,11508.51,0.0261,0.4808925093678742
CAMP3501,email,retargeting,2025-08-20,2024-04-18, SUMMER15 ,331.82,8054,264,38,1494.95,0.0328,0.1439
CAMP3502,social,RETARGETING,2025-01-18,2025-02-26,SUMMER15,258.28,27582,1676,44,4075.92,0.0608,0.0263
