session_id,customer_id,pageviews,time_spent,device_type,referral_source,cart_additions,checkout_flag
SESS-114,C0023,13,,mobile,social,8,False
SESS-115,C0077,1,,mobile,organic,9,True
SESS-116,C0007,7,,tablet,referral,9,False
SESS-117,C0052,16,,tablet,organic,6,False
SESS-118,C0025,7,,mobile,social,8,False
SESS-119,C0063,18,,tablet,social,9,False
SESS-120,C0094,12,,tablet,paid,6,False
SESS-121,C0023,12,,tablet,organic,5,False
SESS-122,C0061,4,,mobile,social,4,False
SESS-123,C0009,15,,desktop,paid,6,False
SESS-124,C0051,11,,desktop,paid,1,False
SESS-125,C0099,19,,tablet,organic,8,False
SESS-126,C0052,6,,mobile,social,4,False
SESS-127,C0097,1,,tablet,organic,4,True
SESS-128,C0009,7,,desktop,social,5,False
SESS-129,C0089,2,,tablet,social,1,False
SESS-130,C0068,16,,desktop,social,0,False
SESS-131,C0024,13,,desktop,social,2,False
SESS-132,C0095,7,,tablet,referral,6,False
SESS-133,C0096,9,,mobile,paid,3,False
SESS-134,C0026,10,,tablet,paid,5,False
SESS-135,C0051,10,,desktop,organic,7,True
SESS-136,C0059,1,,tablet,social,1,True
SESS-137,C0068,15,,mobile,organic,9,False
SESS-138,C0088,7,,mobile,social,3,True
SESS-139,C0014,14,,desktop,paid,3,True
SESS-140,C0037,10,,mobile,social,4,True
SESS-141,C0060,1,,mobile,paid,6,False
SESS-142,C0051,1,,mobile,referral,8,False
SESS-143,C0071,11,,mobile,paid,6,True
SESS-144,C0034,5,,mobile,paid,3,True
SESS-145,C0096,5,,tablet,organic,4,False
SESS-146,C0031,18,,desktop,organic,6,False
SESS-147,C0099,1,,tablet,referral,0,False
SESS-148,C0066,12,,desktop,organic,0,False
SESS-149,C0081,9,,mobile,organic,7,False
SESS-150,C0095,12,,tablet,organic,6,False
SESS-151,C0042,8,,mobile,social,7,False
SESS-152,C0061,3,,tablet,paid,9,True
SESS-153,C0016,19,,tablet,social,0,False
SESS-154,C0063,7,,mobile,referral,4,False
SESS-155,C0086,6,,desktop,referral,0,False
SESS-156,C0032,8,,mobile,referral,9,False
SESS-157,C0081,12,,mobile,paid,0,False
SESS-158,C0090,17,,tablet,social,3,True
SESS-159,C0053,18,,mobile,paid,6,False
SESS-160,C0043,19,,mobile,paid,4,False
SESS-161,C0011,18,,mobile,organic,3,True
SESS-162,C0096,12,,tablet,referral,8,False
SESS-163,C0084,2,,desktop,referral,7,False
SESS-164,C0022,18,,mobile,paid,3,True
SESS-165,C0030,19,,tablet,referral,9,True
SESS-166,C0030,18,,desktop,social,7,False
SESS-167,C0056,10,,desktop,organic,3,False
SESS-168,C0093,7,,mobile,organic,2,False
SESS-169,C0029,13,,mobile,referral,7,True
SESS-170,C0034,17,,tablet,paid,2,False
SESS-171,C0048,5,,mobile,paid,4,False
SESS-172,C0093,10,,desktop,organic,0,False
SESS-173,C0099,15,,mobile,paid,6,False
SESS-174,C0024,13,,mobile,organic,1,True
SESS-175,C0052,6,,tablet,referral,6,False
SESS-176,C0037,12,,desktop,paid,1,False
SESS-177,C0050,14,,desktop,referral,9,True
SESS-178,C0095,17,,mobile,social,3,True
SESS-179,C0002,15,,desktop,referral,6,True
SESS-180,C0032,17,,desktop,social,8,True
SESS-181,C0075,8,,mobile,referral,4,False
SESS-182,C0055,1,,tablet,paid,8,False
SESS-183,C0078,17,,desktop,organic,1,False
SESS-184,C0100,10,,mobile,referral,3,False
SESS-185,C0068,18,,desktop,social,2,False
SESS-186,C0014,13,,mobile,organic,3,False
SESS-187,C0078,8,,mobile,paid,6,False
SESS-188,C0068,14,,desktop,paid,6,False
SESS-189,C0006,11,,desktop,social,4,False
SESS-190,C0081,10,,desktop,organic,6,False
SESS-191,C0002,16,,mobile,social,8,True
SESS-192,C0050,4,,tablet,referral,2,True
SESS-193,C0043,1,,tablet,organic,1,True
SESS-194,C0025,16,,mobile,referral,9,False
SESS-195,C0078,13,,desktop,organic,0,True
SESS-196,C0087,16,,tablet,social,9,True
SESS-197,C0038,18,,desktop,organic,8,True
SESS-198,C0020,3,,mobile,referral,8,False
SESS-199,C0022,18,,desktop,paid,6,False
SESS-200,C0017,13,,tablet,referral,5,False
