customer_id,signup_date,gender,age_group,location,preferred_channel,lifetime_value,loyalty_tier
C0067,2024-04-07,Male,45-54,Calgary,In-Store,0.0,Bronze
C0068,2024-04-14,Female,35-44,Edmonton,Online,0.0,Platinum
C0069,2024-04-21,Male,18-24,Edmonton,Online,0.0,Bronze
C0070,2024-04-28,Female,18-24,Montreal,Online,0.0,Bronze
C0071,2024-05-05,Female,35-44,Edmonton,Mobile,0.0,Platinum
C0072,2024-05-12,Female,25-34,Toronto,In-Store,0.0,Gold
C0073,2024-05-19,Female,18-24,Vancouver,Mobile,0.0,Silver
C0074,2024-05-26,Female,18-24,Calgary,In-Store,0.0,Silver
C0075,2024-06-02,Male,45-54,Toronto,Online,0.0,Platinum
C0076,2024-06-09,Female,18-24,Calgary,Online,0.0,Gold
C0077,2024-06-16,Female,45-54,Edmonton,In-Store,0.0,Platinum
C0078,2024-06-23,Male,18-24,Vancouver,Online,0.0,Platinum
C0079,2024-06-30,Male,45-54,Calgary,Online,0.0,Bronze
C0080,2024-07-07,Male,35-44,Vancouver,Mobile,0.0,Silver
C0081,2024-07-14,Other,18-24,Montreal,Online,0.0,Platinum
C0082,2024-07-21,Female,25-34,Calgary,Online,0.0,Platinum
C0083,2024-07-28,Female,35-44,Calgary,Mobile,0.0,Platinum
C0084,2024-08-04,Female,25-34,Montreal,Online,0.0,Bronze
C0085,2024-08-11,Male,45-54,Edmonton,In-Store,0.0,Silver
C0086,2024-08-18,Other,35-44,Montreal,Mobile,0.0,Gold
C0087,2024-08-25,Female,18-24,Edmonton,Online,0.0,Platinum
C0088,2024-09-01,Male,35-44,Toronto,Mobile,0.0,Bronze
C0089,2024-09-08,Female,45-54,Montreal,Mobile,0.0,Gold
C0090,2024-09-15,Male,35-44,Toronto,In-Store,0.0,Platinum
C0091,2024-09-22,Male,18-24,Vancouver,Mobile,0.0,Platinum
C0092,2024-09-29,Female,45-54,Vancouver,In-Store,0.0,Gold
C0093,2024-10-06,Male,35-44,Montreal,Mobile,0.0,Silver
C0094,2024-10-13,Male,25-34,Montreal,Mobile,0.0,Platinum
C0095,2024-10-20,Female,35-44,Calgary,Online,0.0,Silver
C0096,2024-10-27,Other,25-34,Edmonton,Online,0.0,Gold
C0097,2024-11-03,Male,35-44,Montreal,In-Store,0.0,Silver
C0098,2024-11-10,Male,35-44,Vancouver,Online,0.0,Bronze
C0099,2024-11-17,Male,35-44,Vancouver,In-Store,0.0,Gold
C0100,2024-11-24,Male,25-34,Edmonton,Online,0.0,Gold
