sku,name,category,brand,color,material,cost_price,retail_price,discount_percent,average_rating,stock_available
SKU10128,Product 128,Books,Orion,White,Cotton,105.17,136.24,5,4.17,432
SKU10129,Product 129,Books,Helios,Green,Leather,61.2,126.19,0,4.37,416
SKU10130,Product 130,Clothing,Acme,Blue,Metal,6.26,12.36,0,4.51,483
SKU10131,Product 131,Beauty,Acme,White,Leather,101.77,177.04,20,4.45,99
SKU10132,Product 132,Books,Helios,Green,Metal,60.7,106.15,0,4.74,145
SKU10133,Product 133,Beauty,Nova,Red,Wood,148.25,329.2,30,3.38,8
SKU10134,Product 134,Sports,Zenith,Green,Plastic,9.67,14.06,0,3.8,61
SKU10135,Product 135,Clothing,Nova,Red,Leather,119.04,269.79,15,4.9,184
SKU10136,Product 136,Books,Acme,White,Leather,188.59,385.35,5,3.79,28
SKU10137,Product 137,Sports,Terra,Gray,Leather,39.01,68.06,20,3.25,380
SKU10138,Product 138,Electronics,Helios,White,Plastic,96.97,174.11,10,4.05,113
SKU10139,Product 139,Electronics,Helios,Black,Cotton,22.83,35.01,5,3.22,461
SKU10140,Product 140,Clothing,Nova,Black,Metal,127.01,276.59,0,3.41,408
SKU10141,Product 141,Books,Terra,Black,Wood,112.35,209.73,0,5.0,142
SKU10142,Product 142,Books,Nova,White,Leather,84.44,136.54,20,4.08,389
SKU10143,Product 143,Books,Zenith,Blue,Plastic,106.67,210.66,0,3.57,119
SKU10144,Product 144,Beauty,Orion,White,Cotton,179.83,448.58,0,4.99,169
SKU10145,Product 145,Sports,Terra,Gray,Metal,43.28,76.42,15,4.93,156
SKU10146,Product 146,Books,Orion,Green,Plastic,9.4,22.53,0,3.88,334
SKU10147,Product 147,Sports,Zenith,White,Wood,173.02,285.23,30,3.52,348
SKU10148,Product 148,Clothing,Orion,White,Wood,117.54,149.41,15,4.68,259
SKU10149,Product 149,Books,Acme,Red,Metal,178.68,261.86,10,4.43,81
SKU10150,Product 150,Clothing,Orion,Red,Leather,121.4,211.77,20,4.37,241
SKU10151,Product 151,Books,Zenith,Red,Wood,162.98,242.11,0,4.79,440
SKU10152,Product 152,Electronics,Orion,White,Cotton,88.79,106.57,0,4.38,432
SKU10153,Product 153,Home & Kitchen,Helios,Blue,Plastic,151.22,361.35,5,3.57,171
SKU10154,Product 154,Clothing,Nova,Green,Cotton,183.04,420.46,0,4.39,230
SKU10155,Product 155,Books,Acme,Green,Leather,116.56,252.36,15,3.61,207
SKU10156,Product 156,Home & Kitchen,Helios,Gray,Cotton,40.25,57.09,20,4.52,74
SKU10157,Product 157,Clothing,Helios,Blue,Cotton,57.42,77.88,5,4.24,269
SKU10158,Product 158,Beauty,Zenith,Blue,Polyester,43.74,56.33,0,3.15,386
SKU10159,Product 159,Books,Nova,Green,Cotton,53.14,113.78,30,4.03,498
SKU10160,Product 160,Beauty,Nova,Black,Metal,64.75,155.88,5,3.69,113
SKU10161,Product 161,Electronics,Terra,Red,Plastic,113.25,199.29,5,3.66,61
SKU10162,Product 162,Books,Acme,Red,Polyester,119.66,162.12,0,4.2,361
SKU10163,Product 163,Electronics,Zenith,Green,Plastic,88.17,164.53,20,3.64,319
SKU10164,Product 164,Home & Kitchen,Acme,Blue,Plastic,125.01,206.7,10,4.55,101
SKU10165,Product 165,Clothing,Terra,Gray,Leather,20.91,35.28,15,3.14,428
SKU10166,Product 166,Sports,Orion,Black,Leather,22.12,44.41,15,4.32,361
SKU10167,Product 167,Electronics,Helios,Green,Polyester,38.51,82.19,0,4.62,209
SKU10168,Product 168,Sports,Acme,Red,Wood,106.03,142.47,5,4.35,441
SKU10169,Product 169,Sports,Helios,White,Leather,46.73,58.24,15,3.99,254
SKU10170,Product 170,Clothing,Zenith,Blue,Leather,60.24,150.16,0,4.9,19
SKU10171,Product 171,Home & Kitchen,Orion,White,Leather,83.06,124.8,15,3.6,57
SKU10172,Product 172,Clothing,Zenith,Gray,Plastic,163.31,207.41,20,3.04,111
SKU10173,Product 173,Books,Orion,Green,Polyester,7.7,11.15,10,3.86,472
SKU10174,Product 174,Electronics,Orion,Red,Plastic,131.63,164.62,15,3.07,312
SKU10175,Product 175,Sports,Helios,Black,Metal,135.43,231.5,15,4.91,485
SKU10176,Product 176,Clothing,Zenith,White,Plastic,160.74,360.55,15,3.42,460
SKU10177,Product 177,Clothing,Zenith,Black,Metal,186.89,307.17,0,4.58,195
SKU10178,Product 178,Clothing,Acme,Gray,Cotton,8.93,15.87,0,4.55,374
SKU10179,Product 179,Electronics,Zenith,Red,Cotton,34.99,72.71,5,3.44,461
SKU10180,Product 180,Home & Kitchen,Acme,White,Metal,177.8,330.99,10,4.24,352
SKU10181,Product 181,Clothing,Nova,Gray,Metal,94.41,219.02,5,3.1,91
SKU10182,Product 182,Electronics,Nova,Black,Plastic,115.1,267.69,15,3.97,51
SKU10183,Product 183,Sports,Nova,Black,Metal,134.29,162.88,0,3.03,292
SKU10184,Product 184,Books,Terra,White,Polyester,137.42,303.89,10,4.84,7
SKU10185,Product 185,Beauty,Zenith,Red,Cotton,186.69,335.85,0,4.95,299
SKU10186,Product 186,Electronics,Terra,Black,Cotton,199.41,495.62,15,3.44,97
SKU10187,Product 187,Beauty,Zenith,Green,Wood,145.43,265.88,5,3.42,235
SKU10188,Product 188,Clothing,Acme,Gray,Metal,61.01,151.48,0,4.51,388
SKU10189,Product 189,Clothing,Terra,White,Leather,176.55,385.05,0,3.51,373
SKU10190,Product 190,Electronics,Terra,Blue,Leather,14.6,22.24,15,4.79,68
SKU10191,Product 191,Beauty,Terra,Blue,Metal,50.06,95.11,5,4.15,414
SKU10192,Product 192,Clothing,Orion,Red,Polyester,179.99,448.14,0,3.7,44
SKU10193,Product 193,Sports,Acme,Green,Leather,54.96,127.21,30,4.67,136
SKU10194,Product 194,Home & Kitchen,Nova,Black,Wood,48.03,63.71,15,3.99,233
SKU10195,Product 195,Home & Kitchen,Acme,Blue,Metal,31.93,67.65,30,4.82,31
SKU10196,Product 196,Clothing,Orion,Red,Polyester,172.53,284.54,5,4.86,288
SKU10197,Product 197,Beauty,Zenith,Gray,Polyester,102.51,123.94,5,3.33,125
SKU10198,Product 198,Books,Acme,Green,Plastic,136.6,235.58,20,3.0,66
SKU10199,Product 199,Clothing,Terra,Green,Polyester,51.62,77.69,5,4.97,29
