sku,warehouse_location,stock_level,reorder_threshold,supplier,avg_shipping_time_days,return_rate_percent
SKU10059,WH-BER,265,41,PrimeWholesale,5.7,9.08
SKU10060,WH-NY,88,47,UrbanTraders,2.3,10.48
SKU10061,WH-TOR,124,57,PrimeWholesale,4.1,5.72
SKU10062,WH-LON,138,50,PrimeWholesale,1.4,1.7
SKU10062,WH-NY,284,65,GlobalSupplyCo,4.2,1.3
SKU10063,WH-TOR,233,29,UrbanTraders,2.6,3.97
SKU10064,WH-TOR,269,48,GlobalSupplyCo,3.4,12.1
SKU10065,WH-TOR,168,40,FastTrack Logistics,6.2,12.56
SKU10066,WH-NY,23,74,GlobalSupplyCo,1.9,10.63
SKU10067,WH-BER,30,72,FastTrack Logistics,4.9,0.6
SKU10067,WH-NY,285,54,GlobalSupplyCo,3.9,14.86
SKU10068,WH-BER,238,74,UrbanTraders,6.7,5.39
SKU10068,WH-LON,271,41,FastTrack Logistics,5.5,4.16
SKU10069,WH-SYD,57,57,UrbanTraders,2.5,4.29
SKU10070,WH-BER,48,56,PrimeWholesale,2.3,9.77
SKU10070,WH-LON,95,62,FastTrack Logistics,3.1,11.37
SKU10071,WH-TOR,29,37,UrbanTraders,2.7,6.62
SKU10072,WH-BER,109,37,PrimeWholesale,4.2,4.24
SKU10073,WH-LON,233,28,GlobalSupplyCo,1.7,9.02
SKU10073,WH-SYD,197,64,UrbanTraders,6.9,4.56
SKU10074,WH-TOR,57,33,FastTrack Logistics,4.1,0.04
SKU10074,WH-BER,226,74,FastTrack Logistics,5.0,4.08
SKU10075,WH-LON,150,55,FastTrack Logistics,2.9,12.33
SKU10075,WH-NY,161,63,UrbanTraders,3.2,1.5
SKU10076,WH-SYD,237,58,UrbanTraders,6.1,4.69
SKU10076,WH-BER,2,70,FastTrack Logistics,3.4,0.99
SKU10077,WH-NY,15,71,PrimeWholesale,4.7,11.05
SKU10077,WH-TOR,297,77,GlobalSupplyCo,6.7,11.75
SKU10078,WH-LON,15,60,UrbanTraders,5.0,4.95
SKU10078,WH-BER,155,65,GlobalSupplyCo,5.3,5.39
SKU10079,WH-NY,61,65,PrimeWholesale,3.5,6.5
SKU10080,WH-SYD,103,46,FastTrack Logistics,3.5,9.5
SKU10080,WH-LON,177,31,PrimeWholesale,6.5,6.13
SKU10081,WH-SYD,57,23,UrbanTraders,2.8,9.27
SKU10081,WH-BER,278,64,PrimeWholesale,2.6,4.23
SKU10082,WH-BER,63,65,UrbanTraders,4.1,13.83
SKU10083,WH-BER,242,50,GlobalSupplyCo,4.7,2.21
SKU10083,WH-NY,269,61,UrbanTraders,4.9,4.43
SKU10084,WH-TOR,71,78,GlobalSupplyCo,1.2,9.07
SKU10084,WH-LON,292,68,UrbanTraders,3.3,1.74
SKU10085,WH-LON,138,54,PrimeWholesale,2.2,5.16
SKU10085,WH-BER,150,53,UrbanTraders,6.1,7.26
SKU10086,WH-NY,59,40,UrbanTraders,6.8,1.27
SKU10086,WH-LON,278,75,GlobalSupplyCo,5.7,11.75
SKU10087,WH-TOR,8,25,UrbanTraders,5.2,14.26
SKU10088,WH-SYD,271,69,FastTrack Logistics,4.9,13.2
SKU10089,WH-SYD,12,67,UrbanTraders,4.9,9.1
SKU10089,WH-LON,129,50,UrbanTraders,5.2,14.63
SKU10090,WH-NY,46,44,PrimeWholesale,6.0,2.24
SKU10091,WH-BER,284,46,GlobalSupplyCo,3.1,10.65
SKU10092,WH-LON,206,31,UrbanTraders,1.1,11.24
SKU10092,WH-SYD,119,72,PrimeWholesale,6.8,0.34
SKU10093,WH-SYD,106,34,UrbanTraders,5.1,6.09
SKU10094,WH-NY,6,71,PrimeWholesale,5.3,5.3
SKU10095,WH-SYD,94,71,UrbanTraders,5.8,9.16
SKU10095,WH-BER,86,78,UrbanTraders,3.0,5.43
SKU10096,WH-TOR,139,48,PrimeWholesale,5.1,0.67
SKU10096,WH-LON,1,41,FastTrack Logistics,4.0,10.78
SKU10097,WH-SYD,238,73,UrbanTraders,5.6,2.36
SKU10098,WH-TOR,100,28,PrimeWholesale,2.2,11.56
SKU10099,WH-LON,220,74,PrimeWholesale,6.5,6.13
SKU10099,WH-BER,175,23,FastTrack Logistics,6.1,4.73
SKU10100,WH-LON,215,67,GlobalSupplyCo,1.9,12.45
SKU10100,WH-SYD,77,56,GlobalSupplyCo,3.1,14.04
SKU10101,WH-LON,64,28,GlobalSupplyCo,2.9,3.85
SKU10102,WH-NY,123,55,FastTrack Logistics,3.3,0.44
SKU10103,WH-TOR,8,34,GlobalSupplyCo,1.6,6.67
SKU10103,WH-NY,26,32,GlobalSupplyCo,2.6,4.54
SKU10104,WH-TOR,217,48,GlobalSupplyCo,1.6,6.23
SKU10104,WH-LON,293,50,GlobalSupplyCo,1.2,4.95
SKU10105,WH-NY,173,48,GlobalSupplyCo,2.2,10.8
SKU10105,WH-BER,36,33,GlobalSupplyCo,3.9,3.73
SKU10106,WH-SYD,295,44,PrimeWholesale,4.2,14.63
SKU10107,WH-LON,57,47,UrbanTraders,3.4,8.91
SKU10108,WH-SYD,288,36,PrimeWholesale,3.4,0.59
SKU10108,WH-TOR,24,27,FastTrack Logistics,3.8,10.01
SKU10109,WH-TOR,163,64,FastTrack Logistics,6.0,8.18
SKU10110,WH-BER,251,62,UrbanTraders,3.3,4.21
SKU10110,WH-LON,165,64,GlobalSupplyCo,4.8,13.22
SKU10111,WH-BER,61,65,GlobalSupplyCo,3.6,14.49
SKU10112,WH-SYD,125,64,GlobalSupplyCo,2.8,8.13
SKU10113,WH-LON,150,55,FastTrack Logistics,4.7,14.96
SKU10113,WH-NY,29,70,FastTrack Logistics,2.3,0.57
SKU10114,WH-SYD,59,74,GlobalSupplyCo,4.3,4.05
SKU10114,WH-BER,186,51,FastTrack Logistics,3.0,8.01
SKU10115,WH-TOR,213,56,FastTrack Logistics,5.3,9.82
SKU10116,WH-SYD,222,65,GlobalSupplyCo,1.1,12.7
SKU10117,WH-TOR,64,20,GlobalSupplyCo,4.0,2.43
SKU10118,WH-TOR,119,47,FastTrack Logistics,3.8,11.28
SKU10118,WH-SYD,2,21,FastTrack Logistics,6.9,12.39
SKU10119,WH-BER,246,67,FastTrack Logistics,4.7,1.73
SKU10119,WH-NY,143,72,UrbanTraders,4.2,0.13
SKU10120,WH-LON,71,29,PrimeWholesale,3.4,3.12
SKU10121,WH-TOR,42,63,PrimeWholesale,2.3,13.07
SKU10122,WH-LON,271,76,UrbanTraders,3.9,1.65
SKU10123,WH-BER,186,34,FastTrack Logistics,5.9,1.89
SKU10123,WH-SYD,239,55,GlobalSupplyCo,3.1,11.84
SKU10124,WH-BER,109,39,UrbanTraders,1.8,10.35
SKU10125,WH-TOR,255,29,UrbanTraders,1.3,12.98
SKU10125,WH-LON,218,48,PrimeWholesale,3.8,13.78
SKU10126,WH-SYD,178,51,GlobalSupplyCo,1.2,9.13
SKU10126,WH-TOR,178,56,FastTrack Logistics,2.3,6.08
SKU10127,WH-SYD,97,69,UrbanTraders,6.3,4.45
SKU10128,WH-LON,62,31,GlobalSupplyCo,2.3,7.99
SKU10128,WH-SYD,51,66,PrimeWholesale,6.8,13.78
SKU10129,WH-TOR,32,47,FastTrack Logistics,3.0,11.41
SKU10130,WH-LON,269,23,GlobalSupplyCo,3.8,13.3
SKU10130,WH-TOR,82,57,GlobalSupplyCo,4.1,9.9
SKU10131,WH-SYD,36,77,UrbanTraders,2.8,14.1
SKU10131,WH-BER,11,60,UrbanTraders,4.8,11.42
SKU10132,WH-BER,95,40,UrbanTraders,2.2,13.26
SKU10132,WH-TOR,45,41,UrbanTraders,1.1,1.06
SKU10133,WH-TOR,299,63,FastTrack Logistics,5.9,13.31
SKU10133,WH-BER,15,65,PrimeWholesale,1.9,8.22
SKU10134,WH-LON,285,75,PrimeWholesale,5.0,2.71
SKU10134,WH-BER,42,56,PrimeWholesale,1.6,0.51
SKU10135,WH-LON,275,37,GlobalSupplyCo,6.7,10.45
SKU10136,WH-TOR,161,55,PrimeWholesale,3.8,4.53
SKU10136,WH-NY,213,75,UrbanTraders,4.8,8.76
SKU10137,WH-BER,207,65,UrbanTraders,3.2,2.32
SKU10137,WH-SYD,150,74,GlobalSupplyCo,6.8,8.47
SKU10138,WH-NY,1,37,FastTrack Logistics,2.1,3.22
SKU10139,WH-BER,115,63,FastTrack Logistics,4.8,7.8
SKU10140,WH-BER,288,41,UrbanTraders,2.7,1.32
SKU10140,WH-LON,25,66,PrimeWholesale,6.4,14.57
SKU10141,WH-NY,75,43,PrimeWholesale,5.2,3.77
SKU10141,WH-BER,41,51,FastTrack Logistics,3.5,2.12
SKU10142,WH-SYD,196,24,GlobalSupplyCo,1.4,4.72
SKU10142,WH-BER,296,66,GlobalSupplyCo,6.5,1.18
SKU10143,WH-NY,164,68,FastTrack Logistics,5.2,0.51
SKU10143,WH-LON,91,55,GlobalSupplyCo,3.7,2.26
SKU10144,WH-TOR,38,49,FastTrack Logistics,3.9,11.83
SKU10145,WH-SYD,18,56,GlobalSupplyCo,1.4,0.65
SKU10145,WH-TOR,100,79,PrimeWholesale,2.5,11.45
SKU10146,WH-LON,16,64,FastTrack Logistics,5.7,13.89
SKU10146,WH-BER,252,25,UrbanTraders,5.3,7.86
SKU10147,WH-TOR,148,26,PrimeWholesale,1.8,4.01
SKU10148,WH-BER,34,55,GlobalSupplyCo,3.1,9.92
SKU10149,WH-SYD,296,61,PrimeWholesale,6.9,15.0
SKU10150,WH-LON,70,58,PrimeWholesale,1.1,0.84
SKU10150,WH-BER,104,66,FastTrack Logistics,4.3,7.0
SKU10151,WH-NY,211,46,GlobalSupplyCo,2.9,6.57
SKU10151,WH-TOR,121,32,UrbanTraders,3.3,8.98
SKU10152,WH-TOR,295,30,GlobalSupplyCo,4.8,0.18
SKU10153,WH-NY,135,28,GlobalSupplyCo,6.9,3.55
SKU10153,WH-LON,197,46,FastTrack Logistics,5.7,4.58
SKU10154,WH-SYD,156,27,GlobalSupplyCo,6.2,6.99
SKU10155,WH-SYD,23,56,FastTrack Logistics,3.8,13.67
SKU10156,WH-TOR,1,23,FastTrack Logistics,5.1,0.88
SKU10157,WH-NY,155,48,GlobalSupplyCo,5.0,7.82
SKU10157,WH-SYD,111,45,PrimeWholesale,5.4,10.9
SKU10158,WH-BER,259,72,GlobalSupplyCo,3.5,12.04
SKU10158,WH-LON,59,41,UrbanTraders,1.2,11.98
SKU10159,WH-SYD,27,29,PrimeWholesale,3.0,11.9
SKU10160,WH-TOR,98,20,PrimeWholesale,4.9,10.53
SKU10160,WH-NY,92,34,PrimeWholesale,3.4,12.09
SKU10161,WH-NY,17,34,PrimeWholesale,4.4,9.05
SKU10162,WH-TOR,110,44,PrimeWholesale,4.8,0.66
SKU10163,WH-TOR,227,38,FastTrack Logistics,1.1,2.68
SKU10163,WH-LON,200,73,GlobalSupplyCo,1.4,1.17
SKU10164,WH-TOR,244,21,FastTrack Logistics,3.9,4.86
SKU10165,WH-LON,191,63,GlobalSupplyCo,6.9,10.88
SKU10165,WH-BER,51,21,UrbanTraders,4.0,13.28
SKU10166,WH-BER,154,76,PrimeWholesale,2.5,13.61
SKU10166,WH-TOR,10,27,UrbanTraders,1.1,4.51
SKU10167,WH-SYD,276,47,PrimeWholesale,2.1,13.08
SKU10168,WH-TOR,145,32,PrimeWholesale,1.7,6.14
SKU10168,WH-NY,50,42,GlobalSupplyCo,5.3,2.59
SKU10169,WH-LON,81,33,FastTrack Logistics,3.2,3.14
SKU10169,WH-SYD,93,78,UrbanTraders,6.2,4.53
SKU10170,WH-BER,263,51,GlobalSupplyCo,3.7,1.95
SKU10170,WH-LON,8,76,FastTrack Logistics,3.6,1.42
SKU10171,WH-NY,273,35,GlobalSupplyCo,1.1,4.58
SKU10172,WH-LON,296,26,PrimeWholesale,4.0,14.24
SKU10173,WH-SYD,277,30,GlobalSupplyCo,4.6,7.72
SKU10174,WH-SYD,251,65,UrbanTraders,3.2,13.98
SKU10174,WH-TOR,121,54,GlobalSupplyCo,4.0,2.13
SKU10175,WH-SYD,205,63,PrimeWholesale,5.2,8.23
SKU10176,WH-LON,224,48,GlobalSupplyCo,6.4,0.03
SKU10177,WH-BER,239,77,GlobalSupplyCo,4.7,11.84
SKU10178,WH-BER,112,49,PrimeWholesale,3.0,2.48
SKU10179,WH-BER,287,54,PrimeWholesale,2.9,4.31
SKU10180,WH-TOR,10,79,GlobalSupplyCo,6.0,0.66
SKU10180,WH-BER,163,52,UrbanTraders,5.7,13.69
SKU10181,WH-SYD,295,61,UrbanTraders,5.6,3.08
SKU10182,WH-BER,52,67,GlobalSupplyCo,3.8,9.87
SKU10182,WH-SYD,158,51,GlobalSupplyCo,5.3,14.34
SKU10183,WH-LON,92,25,GlobalSupplyCo,5.0,10.29
SKU10183,WH-NY,17,57,PrimeWholesale,4.2,2.87
SKU10184,WH-BER,163,49,UrbanTraders,1.4,0.59
SKU10185,WH-LON,212,52,UrbanTraders,2.5,2.24
SKU10185,WH-NY,47,24,GlobalSupplyCo,2.7,3.1
SKU10186,WH-BER,161,39,PrimeWholesale,2.9,13.31
SKU10186,WH-TOR,81,57,UrbanTraders,5.6,10.12
SKU10187,WH-TOR,170,65,GlobalSupplyCo,2.7,13.73
SKU10187,WH-LON,85,28,GlobalSupplyCo,5.5,9.69
SKU10188,WH-SYD,165,58,UrbanTraders,4.4,8.28
SKU10188,WH-NY,158,64,FastTrack Logistics,1.1,7.13
SKU10189,WH-SYD,148,36,PrimeWholesale,4.1,13.7
SKU10190,WH-SYD,86,79,PrimeWholesale,4.2,10.96
SKU10190,WH-BER,58,39,GlobalSupplyCo,2.7,14.59
SKU10191,WH-NY,269,56,PrimeWholesale,2.5,8.58
SKU10192,WH-LON,40,50,UrbanTraders,2.3,11.13
SKU10192,WH-BER,214,50,UrbanTraders,3.5,1.08
SKU10193,WH-SYD,110,65,GlobalSupplyCo,4.3,6.15
SKU10193,WH-LON,30,23,GlobalSupplyCo,6.1,13.01
SKU10194,WH-TOR,42,63,UrbanTraders,2.9,2.85
SKU10194,WH-NY,143,58,GlobalSupplyCo,4.5,13.45
SKU10195,WH-LON,28,37,PrimeWholesale,2.4,5.91
SKU10196,WH-NY,31,39,GlobalSupplyCo,3.2,3.3
SKU10196,WH-TOR,194,32,GlobalSupplyCo,5.5,10.8
SKU10197,WH-LON,156,72,FastTrack Logistics,6.5,0.27
SKU10198,WH-NY,60,47,GlobalSupplyCo,6.4,14.72
SKU10199,WH-SYD,218,47,FastTrack Logistics,1.3,8.6
