event_id,session_id,customer_id,event_datetime,page_type,action,add_to_cart,referral_source
WEB300025,SESS104514,CUST1005,2025-05-14 05:07:03.000000,cart,view_page,False, direct 
WEB300026,SESS101104,CUST1393,2025-11-14 15:35:54.000000,home,view_page,False,paid_ads
WEB300027,SESS102786,CUST1214,2026-01-27 12:25:23.000000,product,,True,email
WEB300028,SESS107752,CUST1031,2025-08-03 00:56:22.000000,product,,False, organic_search 
WEB300029,SESS101874,CUST1059,2025-05-27 06:33:58.000000,checkout,add_to_cart,True,direct
WEB300030,SESS102857,CUST1032,2025-02-26 06:54:37.000000,cart,purchase,False,direct
WEB300031,SESS107248,CUST1375,2025-09-18 09:57:40.000000,search_results,remove_from_cart,False,organic_search
WEB300032,SESS102133,CUST1401,2025-03-11 02:20:34.000000,,remove_from_cart,False,paid_ads
WEB300033,SESS102683,CUST1264,2025-09-08 17:16:39.000000,category,remove_from_cart,False,social
WEB300034,SESS102290,CUST1115,2025-06-19 02:05:58.000000,home,search,False,organic_search
WEB300035,SESS107862,CUST1286,2025-03-12 07:45:07.000000,category,remove_from_cart,False,email
WEB300036,SESS102457, cust1480 ,2025-03-12 23:14:54.000000,,add_to_cart,True,paid_ads
WEB300037,SESS101967,CUST1333,2025-08-01 19:55:21.000000,PRODUCT,remove_from_cart,False,direct
WEB300038,SESS107659,CUST1018,2025-10-05 10:26:26.000000,search_results,purchase,,email
WEB300039,SESS103025,CUST1076,2025-07-21 16:17:08.000000,category,view_page,False,direct
WEB300040,SESS105528,CUST1371,2026-01-23 19:37:33.000000,checkout,search,False, paid_ads 
WEB300041,SESS100403,CUST1228,2025-10-11 21:34:12.000000,search_results,purchase,False,direct
WEB300042,SESS104757,CUST1125,2025-07-25 09:27:05.000000,search_results,search,False,
WEB300043,SESS106511,CUST1367,2025-08-26 12:43:37.000000, home ,remove_from_cart,False,direct
WEB300044,SESS102995,CUST1283,2026-02-09 20:16:31.000000,cart,add_to_cart,True,social
WEB300045,SESS101456,CUST1341,2025-05-26 21:43:03.000000,home,remove_from_cart,False,email
WEB300046,SESS105096,CUST1180,2025-12-14 23:04:55.000000,category, purchase ,False,paid_ads
WEB300047,SESS106254,CUST1032,2025-05-17 12:47:43.000000,category,purchase,False,social
WEB300048,SESS103950,CUST1138,2025-10-17 21:09:14.000000,product,,False,social
WEB300049,SESS102476,CUST1115,2026-02-08 12:35:10.000000,checkout,purchase,False,direct
WEB300050,SESS107865,CUST1471,2026-01-26 05:47:35.000000,, purchase ,False,paid_ads
, sess107497 ,CUST1353,2025-09-19 07:28:37.000000,checkout,remove_from_cart,,direct
WEB300052,SESS104002,CUST1011,2025-10-04 17:36:28.000000,checkout,view_page,False,paid_ads
WEB300053,SESS106759,CUST1467,2026-01-05 00:12:08.000000,search_results,search,,organic_search
WEB300054,SESS102034,CUST1438,2025-09-09 12:27:45.000000,,purchase,False,email
WEB300055,SESS100868,CUST1179,2025-06-27 07:10:51.000000,category,remove_from_cart,False,paid_ads
WEB300056,SESS102919,CUST1310,2025-04-09 10:47:22.000000,cart,add_to_cart,True,organic_search
WEB300057,SESS100340,CUST1048,,category,add_to_cart,True,
WEB300058,SESS103975,CUST1435,2026-01-30 16:16:32.000000,checkout,view_page,False,organic_search
WEB300059,,CUST1163,2026-02-12 07:25:52.000000,product,remove_from_cart,False,
WEB300060,SESS102822,CUST1138,2025-02-26 17:20:29.000000,home,PURCHASE,False,organic_search
WEB300061,SESS106855,CUST1175,2026-01-22 14:09:47.000000,,,False,social
WEB300062, sess105395 ,CUST1339,2025-10-20 17:59:50.000000,checkout,search,False,organic_search
WEB300063,SESS104687,CUST1159,2025-07-27 05:49:27.000000,cart,search,False,direct
WEB300064,SESS104360, cust1121 ,2025-05-22 03:26:50.000000,home,add_to_cart,True,email
,SESS100225,CUST1366,2025-12-06 19:11:45.000000,search_results,remove_from_cart,False,paid_ads
WEB300066,SESS107017,CUST1101,2025-07-11 08:02:44.000000,home,view_page,,organic_search
WEB300067,SESS104648,CUST1327,2025-12-21 22:14:46.000000,home,purchase,False,paid_ads
web300068,SESS102544,CUST1151,2025-11-17 23:06:52.000000, category ,add_to_cart,True,social
WEB300069,SESS101412,CUST1014,2025-06-06 18:05:23.000000,home,search,False,email
WEB300070,SESS105304,CUST1093,2025-08-17 09:29:24.000000,checkout,view_page,False,paid_ads
WEB300071, sess100412 ,CUST1119,2025-09-01 00:44:30.000000,category,add_to_cart,,email
WEB300072,SESS101508,CUST1118,2025-09-08 00:51:56.000000,category,purchase,False,paid_ads
WEB300073,,CUST1328,2025-03-26 03:20:33.000000,checkout,add_to_cart,True,email
WEB300074,SESS100308,CUST1387,2026-01-25 00:09:54.000000,home,purchase,False,DIRECT
WEB300075,SESS107824,CUST1440,2025-12-03 20:20:18.000000,product,search,False,email
WEB300076,SESS101466,CUST1264,2026-02-07 22:34:19.000000,home,remove_from_cart,False,
WEB300077,SESS103462,CUST1015,2025-06-03 19:34:52.000000,search_results,remove_from_cart,False, email 
WEB300078, sess107829 ,CUST1323,2025-08-23 09:39:33.000000,cart,add_to_cart,True,organic_search
WEB300079,SESS101319,CUST1218,2025-09-14 23:53:06.000000,product,purchase,False,social
WEB300080,SESS104631,CUST1240,2025-08-15 04:36:16.000000,checkout,purchase,False,organic_search
WEB300081,SESS105921,CUST1049,2025-02-15 19:09:13.000000,category,add_to_cart,True,paid_ads
WEB300082,SESS100985,CUST1318,2025-08-13 06:17:39.000000,,add_to_cart,True,direct
WEB300083,SESS103791,CUST1008,2025-04-20 23:04:14.000000,product,,False,email
WEB300084,SESS103710,CUST1307,2025-10-02 07:20:27.000000,search_results,purchase,False,organic_search
,sess100388,CUST1281,2025-03-25 03:13:14.000000,search_results,view_page,False,email
WEB300086,SESS103266,CUST1242,2025-07-21 05:45:25.000000,home,remove_from_cart,False,organic_search
WEB300087,SESS104923,CUST1265,2025-04-04 09:35:06.000000,category,purchase,False,email
,SESS103650,CUST1418,2025-06-21 01:20:23.000000,home,purchase,False,organic_search
WEB300089,SESS107452,CUST1160,2026-02-05 00:30:47.000000,search_results,remove_from_cart,False,direct
WEB300090,SESS101453,CUST1495,2025-04-10 04:55:58.000000,product,view_page,False,social
WEB300091,SESS102362,CUST1319,2025-08-05 08:04:00.000000,product,add_to_cart,True,direct
WEB300092,SESS103392,CUST1103,2025-09-09 16:33:26.000000,home,add_to_cart,,organic_search
WEB300093,SESS105834,CUST1145,,checkout,add_to_cart,True,email
WEB300094,SESS103868,CUST1043,2025-04-18 19:23:07.000000,cart,view_page,False,social
WEB300095,,CUST1404,2025-05-30 10:41:47.000000,product,add_to_cart,True,organic_search
WEB300096,SESS107940,CUST1299,2025-11-22 13:55:36.000000,search_results,view_page,False,social
WEB300097,SESS104495,CUST1497,2025-09-20 01:59:27.000000,,add_to_cart,True,social
WEB300098,SESS107962,CUST1103,2025-03-08 14:13:35.000000,product,add_to_cart,True,organic_search
WEB300099,SESS106209,CUST1032,2025-08-29 11:36:34.000000,search_results,remove_from_cart,False,direct
WEB300100,SESS107006,CUST1101,2025-07-28 00:43:50.000000,cart,purchase,False,direct
WEB300101,SESS100543,CUST1423,2025-11-27 22:02:23.000000,cart,search,False,
WEB300102,SESS105687,CUST1103,2025-07-21 16:09:51.000000,category,PURCHASE,False,direct
WEB300103,SESS106627,CUST1417,2025-10-18 03:45:35.000000,cart,add_to_cart,True,direct
WEB300104,SESS101643,CUST1078,2025-09-15 02:26:23.000000,search_results,add_to_cart,True,direct
WEB300105,,CUST1260,2025-02-21 20:32:12.000000,category,purchase,False,organic_search
WEB300106,SESS103059,CUST1419,2025-06-25 15:23:48.000000,category,purchase,False,direct
WEB300107,SESS105443,CUST1298,2025-07-14 14:21:39.000000,,view_page,False,social
WEB300108,SESS105562,CUST1458,2025-08-14 03:59:58.000000,,remove_from_cart,False,social
WEB300109,SESS100671,CUST1230,2025-03-29 03:45:12.000000,category,purchase,False,paid_ads
WEB300110,SESS100089,CUST1498,2025-09-08 19:03:34.000000,product,view_page,False,direct
WEB300111,SESS105023,CUST1137,2025-09-09 18:19:17.000000,category,view_page,False,social
WEB300112,SESS102983,CUST1036,2025-12-28 14:21:45.000000,category,search,False,organic_search
WEB300113,SESS107132,CUST1142,2026-02-04 04:43:37.000000,checkout,add_to_cart,True,direct
WEB300114,SESS100477,CUST1060,2025-07-07 19:47:42.000000,category,purchase,False,email
WEB300115,SESS101353,CUST1383,2026-02-06 05:00:09.000000,cart,add_to_cart,True,social
WEB300116,SESS102178, CUST1335 ,2025-04-07 05:16:01.000000,product,remove_from_cart,False,organic_search
WEB300117,SESS106852,CUST1085,2025-02-24 13:31:12.000000,search_results,purchase,False,email
WEB300118,SESS105945,CUST1083,2025-07-25 10:53:52.000000,category,purchase,False,paid_ads
WEB300119,SESS107698,CUST1134,2025-04-07 04:36:36.000000,search_results,view_page,False,email
WEB300120,SESS100408,CUST1108,2025-10-11 21:31:47.000000,product,view_page,False,organic_search
WEB300121,SESS101415,CUST1497,2025-04-22 10:02:43.000000,cart,view_page,False,organic_search
WEB300122,SESS101903,CUST1251,2025-11-10 06:30:44.000000,cart,,False,paid_ads
WEB300123,SESS105750,CUST1441,2025-03-09 14:10:09.000000,search_results,purchase,False,email
WEB300124,SESS102410,CUST1344,2025-06-20 00:52:54.000000,search_results,search,False,social
WEB300125,SESS104055,CUST1008,2025-04-04 11:18:21.000000,home,view_page,False,paid_ads
WEB300126,SESS106712,CUST1027,2025-04-07 01:38:32.000000,category,view_page,False,direct
WEB300127,SESS101741,CUST1226,2026-01-28 18:03:03.000000,cart,search,False, paid_ads 
, sess103035 ,CUST1015,2025-09-08 12:49:22.000000,home,add_to_cart,True,direct
WEB300129,SESS107506,CUST1310,2025-05-17 18:43:15.000000,product,,False,email
WEB300130,SESS105903,CUST1288,2025-04-22 09:29:17.000000,category,remove_from_cart,False,organic_search
WEB300131,SESS107638, cust1293 ,2025-07-28 05:13:02.000000,cart,search,False,social
WEB300132,SESS100395,CUST1353,2025-06-16 19:58:16.000000,cart,search,False,direct
WEB300133,SESS102906,CUST1440,2025-10-20 06:25:39.000000,cart,,False,direct
WEB300134,SESS106203,CUST1128,2025-11-07 02:37:04.000000,home,purchase,False,organic_search
WEB300135,SESS105833,CUST1063,2025-06-29 00:11:31.000000,search_results,search,False,social
WEB300136,,CUST1281,2025-10-07 12:52:06.000000,checkout,remove_from_cart,False,social
WEB300137,SESS105352,CUST1176,2026-02-01 19:40:42.000000,category,purchase,False,organic_search
,SESS103485,CUST1314,2025-03-05 20:37:01.000000,cart,search,False,email
WEB300139,,CUST1164,2025-07-16 11:24:20.000000,category,purchase,False,organic_search
WEB300140,SESS103194,CUST1328,2025-06-25 05:41:12.000000,product,purchase,,organic_search
WEB300141,SESS105622,CUST1284,2025-11-14 16:12:20.000000,checkout,purchase,False,paid_ads
WEB300142,SESS106931,CUST1069,2025-12-04 04:30:26.000000,cart,add_to_cart,True,paid_ads
WEB300143,,CUST1172,2025-10-29 15:31:26.000000,home,view_page,,organic_search
WEB300144,SESS107560,CUST1437,2025-07-17 08:17:45.000000, category ,view_page,False,direct
WEB300145,SESS105445,CUST1031,2025-07-28 23:28:03.000000,product,remove_from_cart,False,paid_ads
WEB300146,SESS106460,CUST1191,2025-05-14 12:30:35.000000,checkout, purchase ,False,direct
WEB300147,SESS105068,CUST1233,2025-10-11 00:30:59.000000,search_results,purchase,False,email
WEB300148,SESS105907,CUST1451,2025-04-18 19:01:23.000000,search_results,purchase,False,social
WEB300149,SESS105995,CUST1146,2025-12-16 20:15:25.000000,checkout, purchase ,False,social
WEB300150,SESS105859,CUST1271,2025-11-21 22:33:10.000000,checkout,remove_from_cart,False,email
WEB300151,SESS107354,CUST1150,2025-10-01 16:37:14.000000,category,view_page,False,direct
WEB300152,SESS106590,CUST1122,2025-07-03 00:50:07.000000, home ,remove_from_cart,False,paid_ads
WEB300153,SESS100320,CUST1195,2026-02-05 17:04:04.000000,category,add_to_cart,True,paid_ads
WEB300154,SESS104845,CUST1225,2025-03-17 08:24:05.000000,checkout,remove_from_cart,False,email
WEB300155,SESS101118,CUST1049,2025-04-28 14:28:52.000000,home,remove_from_cart,False,direct
WEB300156,SESS106028,CUST1365,2026-01-15 23:51:15.000000,product,,True,email
WEB300157,SESS104443,CUST1135,2025-12-07 23:58:04.000000,search_results,view_page,False,
WEB300158,,CUST1432,2025-03-10 15:57:00.000000,checkout,view_page,False,social
WEB300159,SESS104592,CUST1008,2025-12-10 07:35:39.000000,search_results,remove_from_cart,False,email
WEB300160,SESS106775,CUST1076,2025-09-26 17:42:22.000000,home,search,False,social
WEB300161,SESS102992,CUST1122,2025-02-17 22:06:09.000000,cart,remove_from_cart,False,email
WEB300162,SESS103693,CUST1276,2025-03-11 00:14:24.000000,cart, search ,False,social
WEB300163,SESS103130,CUST1197,2025-03-29 16:19:56.000000,cart,search,False,paid_ads
WEB300164,SESS104182,CUST1430,2025-12-08 09:34:24.000000,product,purchase,False,direct
WEB300165,SESS103900,CUST1385,2025-06-10 10:33:19.000000,category,add_to_cart,True,email
WEB300166,SESS102981,CUST1299,2025-10-31 22:43:01.000000,product,view_page,,organic_search
WEB300167,SESS100902,CUST1340,2025-04-30 00:13:16.000000,search_results,add_to_cart,True,direct
WEB300168,SESS103182,CUST1276,2025-08-31 17:08:37.000000,search_results,purchase,False,organic_search
WEB300169,SESS107559,CUST1479,2025-12-02 23:31:03.000000,product,view_page,False,paid_ads
WEB300170,SESS107134,cust1407,2025-06-02 14:01:56.000000,product,purchase,False,organic_search
,SESS104723,CUST1152,2025-04-12 23:34:03.000000,product,purchase,False,email
WEB300172,SESS103419,CUST1160,2025-09-03 13:10:03.000000,,remove_from_cart,False,direct
WEB300173,SESS106172,CUST1291,2025-12-02 09:30:15.000000,product,purchase,False,email
WEB300174,SESS101414,CUST1403,2025-08-30 00:58:15.000000,product,remove_from_cart,False,organic_search
WEB300175,SESS106698,CUST1229,2025-05-28 03:56:08.000000,category,search,False,organic_search
WEB300176,SESS104799,CUST1449,2025-04-03 12:00:41.000000,search_results,search,False,direct
WEB300177,SESS104550,CUST1205,2026-01-30 05:15:30.000000,cart,remove_from_cart,False,paid_ads
,SESS105424,CUST1019,2025-12-07 01:12:32.000000,home,search,False,social
WEB300179,SESS106387,CUST1312,2025-10-23 18:44:17.000000,category, search ,False,organic_search
WEB300180,SESS104554,CUST1114,2025-07-13 17:43:39.000000,category,,False,direct
 web300181 ,SESS104634,CUST1065,2025-08-25 11:14:19.000000,checkout,purchase,False,paid_ads
WEB300182,SESS104917,CUST1017,2025-12-16 06:30:56.000000,,search,,social
,SESS103624,CUST1134,2025-06-22 17:51:05.000000,home,purchase,False,direct
WEB300184,SESS105388,CUST1356,2025-10-16 19:49:10.000000,search_results,purchase,False,organic_search
WEB300185,SESS107890,CUST1096,2025-02-26 13:07:52.000000, home ,remove_from_cart,False,social
WEB300186,SESS105901,CUST1389,2025-04-08 22:39:49.000000,checkout,search,False,social
WEB300187,SESS102500,CUST1011,2025-04-12 16:01:42.000000,cart,view_page,False,organic_search
WEB300188,SESS101633,CUST1162,2025-08-09 09:14:36.000000,search_results,search,False,paid_ads
WEB300189,SESS104264,CUST1435,2025-12-29 16:20:27.000000,category,view_page,False,social
WEB300190,SESS102124,CUST1269,2025-09-06 05:41:09.000000,search_results,remove_from_cart,False,direct
WEB300191,SESS104422,cust1267,2025-05-30 01:18:37.000000,home,purchase,False,social
WEB300192,SESS105037,CUST1079,2025-02-15 23:22:41.000000,cart,remove_from_cart,False,direct
WEB300193,,CUST1072,2025-02-23 14:48:38.000000,search_results,view_page,False,organic_search
WEB300194,SESS106011,CUST1337,2025-11-16 14:15:51.000000,category,view_page,False,direct
WEB300195,SESS102054,CUST1352,2025-07-05 04:22:04.000000,search_results,view_page,False,direct
WEB300196,SESS103984,CUST1028,2025-07-08 10:07:22.000000,cart,view_page,False,social
WEB300197,SESS103689,CUST1266,2025-07-21 09:32:20.000000,search_results,search,False,social
WEB300198,SESS106138,CUST1423,2025-03-08 03:09:16.000000,checkout,search,False,email
WEB300199,SESS103150,CUST1322,2026-01-29 22:14:39.000000,checkout,search,False,paid_ads
WEB300200,SESS100826,CUST1358,2025-06-06 18:48:52.000000,product,view_page,False,paid_ads
WEB300201,SESS100576,CUST1045,2025-04-23 18:35:11.000000,product,add_to_cart,True,social
WEB300202,SESS102441,CUST1272,2025-10-27 23:18:34.000000,cart,search,False,organic_search
,SESS105561,CUST1322,2025-05-17 17:52:24.000000,cart,search,,social
WEB300204,SESS107358,CUST1247,2025-08-10 22:29:35.000000,product,search,False,email
WEB300205,SESS103815,CUST1250,2025-08-23 02:39:17.000000,cart,remove_from_cart,False,organic_search
WEB300206,,CUST1199,2025-05-15 05:06:57.000000,search_results,search,False,social
WEB300207,SESS104222,CUST1116,2025-09-06 23:06:13.000000,search_results,,,direct
WEB300208,SESS102634,CUST1171,2025-09-18 11:20:53.000000,category,search,False,direct
WEB300209,SESS102337,CUST1378,2025-05-22 07:13:23.000000,product,add_to_cart,True,direct
WEB300210,SESS105558,CUST1351,2026-01-18 11:01:53.000000,home,remove_from_cart,False,organic_search
WEB300211,SESS100799,CUST1031,2025-06-21 11:05:12.000000,cart,add_to_cart,True,direct
,SESS104697,CUST1193,2025-05-07 18:47:33.000000,category,purchase,False,paid_ads
WEB300213,SESS103417,CUST1312,2025-04-04 07:33:50.000000,cart,remove_from_cart,False,email
WEB300214,SESS103348,CUST1472,2025-02-20 00:56:21.000000,cart,search,False,paid_ads
WEB300215,SESS103397,CUST1298,2025-05-27 03:45:02.000000,home,purchase,False,paid_ads
WEB300216,SESS104075,CUST1330,2025-08-14 02:28:01.000000,product,search,False,email
WEB300217,SESS100679,CUST1449,2025-02-21 15:13:58.000000,cart,search,False,email
WEB300218,SESS101322,CUST1240,2025-09-17 13:18:19.000000,cart,purchase,False,
WEB300219,SESS103938,CUST1167,2025-03-23 18:15:43.000000,checkout,search,False,organic_search
WEB300220,SESS100445,CUST1151,2025-08-19 17:16:21.000000,,add_to_cart,True,paid_ads
WEB300221,SESS107810,CUST1446,2025-07-21 04:35:21.000000,cart,add_to_cart,True,email
,SESS102535,CUST1330,2025-10-03 22:44:09.000000,cart, purchase ,False,paid_ads
WEB300223,SESS107120,CUST1492,2025-02-25 10:41:00.000000,home,,False,paid_ads
WEB300224,SESS100700,CUST1159,2025-11-06 06:46:26.000000,product,add_to_cart,True,paid_ads
WEB300225,SESS105288,CUST1357,2025-12-07 08:48:12.000000,search_results,purchase,False,organic_search
WEB300226,SESS103098,CUST1356,2025-03-24 19:08:13.000000,checkout,remove_from_cart,False,paid_ads
WEB300227,SESS105136,CUST1350,2025-10-28 00:38:23.000000,search_results,view_page,False,direct
WEB300228,,CUST1456,2025-03-29 20:47:45.000000,cart,add_to_cart,True,paid_ads
WEB300229,SESS102362,CUST1422,2025-08-14 05:22:09.000000,product,remove_from_cart,False,social
,,CUST1393,2025-10-01 19:01:48.000000,cart,purchase,,
WEB300231,SESS105856,CUST1351,2025-08-20 02:19:57.000000,category,view_page,False,direct
WEB300232,SESS100540,CUST1050,2025-04-08 08:12:29.000000,home,add_to_cart,True,paid_ads
WEB300233,SESS101485,CUST1055,2025-08-23 02:47:23.000000,category,remove_from_cart,False,paid_ads
WEB300234,SESS105639,CUST1238,2025-05-10 08:54:36.000000,home,remove_from_cart,False,direct
WEB300235,SESS100686,CUST1392,2025-08-04 14:24:36.000000,cart,remove_from_cart,False,paid_ads
WEB300236,SESS107918,CUST1314,2025-04-26 13:27:41.000000,cart,remove_from_cart,False,paid_ads
WEB300237,SESS101275,CUST1223,2025-05-12 06:58:41.000000,cart,purchase,False,organic_search
WEB300238,,CUST1355,2025-12-03 14:09:15.000000,search_results,purchase,False,organic_search
WEB300239,SESS102447,CUST1069,2025-03-18 14:55:57.000000,checkout,purchase,False,social
WEB300240,SESS102400,CUST1476,2025-07-06 12:43:19.000000,checkout,add_to_cart,True,organic_search
WEB300241,SESS100437,CUST1170,2025-04-17 15:14:49.000000,checkout,view_page,False,email
WEB300242,SESS105724,CUST1061,2025-11-15 07:10:34.000000,category,remove_from_cart,False,social
WEB300243,SESS101891,CUST1278,2025-10-07 09:27:08.000000,product,view_page,False,direct
WEB300244, sess106165 ,CUST1365,2025-10-11 19:31:33.000000,home,search,False,organic_search
WEB300245,SESS101869,CUST1012,2025-02-24 12:08:03.000000,home,view_page,False,organic_search
WEB300246,SESS105955,CUST1412,2025-05-12 11:05:00.000000,CHECKOUT,remove_from_cart,False,email
WEB300247,SESS102710,CUST1402,2025-04-01 08:09:12.000000,search_results,purchase,False,paid_ads
WEB300248,SESS105346,CUST1335,2025-11-13 02:04:53.000000,search_results,purchase,False,paid_ads
WEB300249,SESS104231,CUST1467,2025-07-14 07:22:28.000000,home,view_page,False,social
WEB300250,sess107965,CUST1483,2025-12-15 05:03:16.000000,product,search,False,paid_ads
WEB300251,SESS104570,CUST1251,2026-01-25 20:58:40.000000,product,purchase,False,organic_search
WEB300252,SESS100308,CUST1489,2025-12-07 07:02:10.000000,search_results,remove_from_cart,False,paid_ads
WEB300253,SESS101206,CUST1258,2026-02-11 15:25:55.000000,home,purchase,False,organic_search
WEB300254,SESS103198,CUST1041,2025-05-16 22:49:56.000000,product,add_to_cart,True,social
WEB300255,SESS100856,CUST1132,2025-03-13 03:40:01.000000,category,add_to_cart,True, organic_search 
WEB300256,SESS106493,CUST1186,2025-11-07 10:57:26.000000,category,remove_from_cart,False,social
WEB300257,SESS100530,CUST1402,2025-07-01 06:24:12.000000,product,add_to_cart,True,email
WEB300258,SESS103457,cust1237,2025-05-01 02:51:18.000000,search_results,purchase,,email
WEB300259,SESS105689,CUST1254,2026-02-12 06:19:31.000000,product,purchase,False,email
WEB300260,SESS103660,CUST1000,2025-06-20 03:15:49.000000,category,add_to_cart,True,EMAIL
WEB300261,SESS101335,CUST1391,2026-01-16 07:22:28.000000,home,add_to_cart,True,email
WEB300262,SESS104786,CUST1066,2025-03-22 05:09:35.000000,category,view_page,False,paid_ads
WEB300263,SESS106479,CUST1363,2025-07-31 15:01:19.000000,search_results, remove_from_cart ,,social
WEB300264,SESS105677,CUST1162,2025-06-22 14:58:41.000000,,ADD_TO_CART,True,social
,SESS106317,CUST1011,2025-08-08 19:01:01.000000,category,view_page,False,direct
WEB300266,SESS106594,CUST1018,2025-05-08 04:48:15.000000,category,view_page,False,paid_ads
WEB300267,SESS105385,CUST1494,2026-01-13 10:32:49.000000,cart,view_page,False,email
WEB300268,SESS103211,CUST1378,2025-09-17 17:33:38.000000,product,purchase,False,organic_search
WEB300269,SESS106920,CUST1229,2025-10-23 21:49:17.000000,cart,view_page,False,email
WEB300270,SESS103916,CUST1165,2025-11-12 19:17:02.000000,product,add_to_cart,True,organic_search
WEB300271,SESS100641,CUST1394,2025-12-23 07:37:46.000000,cart,purchase,False,organic_search
WEB300272,SESS106316,CUST1229,2025-05-01 05:08:57.000000,product,,True,direct
WEB300273,SESS102959,CUST1285,2025-08-19 22:41:42.000000,cart,search,False,organic_search
WEB300274,SESS100471,CUST1112,2025-11-28 22:47:21.000000,search_results,,False,social
WEB300275,SESS106206,CUST1261,2025-08-20 14:22:16.000000,checkout,view_page,False,social
WEB300276,SESS102420,CUST1405,2025-09-16 01:16:14.000000,search_results,add_to_cart,True,paid_ads
WEB300277,SESS100045,CUST1185,2025-03-12 01:42:24.000000,checkout,purchase,False,social
WEB300278,SESS106699,CUST1044,2025-12-18 20:47:45.000000,cart,add_to_cart,True,email
WEB300279,SESS100735,CUST1240,2026-01-19 19:37:18.000000,category,remove_from_cart,False,email
WEB300280,SESS104925,CUST1396,2025-06-30 02:23:07.000000,cart,view_page,False,social
WEB300281,SESS101726,CUST1383,2025-03-13 06:16:54.000000,,view_page,False,social
web300282,,CUST1321,2025-04-25 13:38:02.000000,search_results,remove_from_cart,False,email
WEB300283,SESS102901,CUST1053,2026-01-08 04:46:40.000000,checkout,purchase,False,social
WEB300284,SESS106734,CUST1275,2025-04-24 09:56:39.000000,home, purchase ,False,organic_search
WEB300285,SESS102215,CUST1072,2026-01-30 21:57:29.000000,search_results,REMOVE_FROM_CART,False,direct
WEB300286,SESS101425,CUST1070,2026-02-08 13:46:06.000000,checkout,view_page,False,social
WEB300287,SESS106715,CUST1294,2025-05-31 02:01:54.000000,cart,add_to_cart,True,direct
WEB300288,SESS104216,CUST1034,2025-05-07 03:51:34.000000,checkout,add_to_cart,True,social
WEB300289,SESS106360,CUST1405,,category,search,False,email
WEB300290,SESS103217,CUST1401,2025-03-30 03:07:44.000000,category,REMOVE_FROM_CART,False,direct
WEB300291,SESS104196,CUST1153,2025-03-10 23:47:38.000000,search_results,search,False,email
WEB300292,SESS102157,CUST1418,2025-10-14 05:49:45.000000,search_results,purchase,False,email
WEB300293,SESS104241,CUST1338,2025-05-21 11:07:45.000000,category,add_to_cart,True,organic_search
WEB300294,SESS100274,CUST1245,2025-06-30 10:31:04.000000,product, view_page ,False,direct
WEB300295,SESS100139,CUST1036,2025-05-28 01:50:28.000000,product,add_to_cart,True,paid_ads
WEB300296,SESS104873,cust1441,2026-02-03 15:47:41.000000,category,search,False,organic_search
WEB300297,SESS102767,CUST1251,2025-02-16 00:45:03.000000,cart,search,False,email
WEB300298,SESS105469, cust1037 ,2025-09-30 14:08:44.000000,category,view_page,False,paid_ads
