date,sessions,product_views,add_to_cart,checkout_started,purchases,conversion_rate,cart_abandonment_rate
2025-04-06,26.0,15.0,5.0,1.0,,0.0,1.0
2025-04-07,66.0,44.0,15.0,6.0,4.0,0.0606,0.7333
2025-04-08,46.0,24.0,,3.0,1.0,0.0217,0.875
2025-04-09,46.0,28.0,10.0,3.0,1.0,0.0217,0.9
2025-04-10,43.0,21.0,6.0,2.0,0.0,0.0,
2025-04-11,,37.0,9.0,3.0,2.0,0.0339,0.7778
,57.0,30.0,11.0,5.0,2.0,0.0351,0.8182
2025-04-13,,15.0,3.0,1.0,0.0,0.0,1.0
2025-04-14,44.0,29.0,8.0,3.0,1.0,0.0227,0.875
2025-04-15,65.0,47.0,16.0,8.0,3.0,0.0462,0.8125
2025-04-16,65.0,35.0,11.0,4.0,2.0,0.0308,0.8182
2025-04-17,36.0,,7.0,3.0,1.0,,0.8571
2025-04-18,42.0,31.0,10.0,4.0,2.0,0.0476,0.8
2025-04-19,21.0,15.0,3.0,0.0,0.0,0.0,1.0
2025-04-20,30.0,17.0,6.0,2.0,1.0,0.0333,0.8333
2025-04-21,60.0,34.0,10.0,3.0,1.0,0.0167,0.9
2025-04-22,,40.0,13.0,5.0,3.0,0.0526,0.7692
2025-04-23,43.0,28.0,8.0,3.0,1.0,0.0233,0.875
2025-04-24,33.0,26.0,6.0,3.0,1.0,0.0303,0.8333
2025-04-25,75.0,55.0,18.0,9.0,4.0,0.0533,0.7778
2025-04-26,39.0,21.0,4.0,1.0,,0.0,
2025-04-27,29.0,15.0,3.0,1.0,0.0,0.0,1.0
2025-04-28,74.0,42.0,9.0,2.0,,0.0,1.0
2025-04-29,69.0,50.0,12.0,6.0,2.0,0.029,0.8333
2025-04-30,69.0,49.0,15.0,6.0,4.0,0.058,0.7333
2025-05-01,72.0,39.0,12.0,5.0,3.0,0.0417,0.75
2025-05-02,54.0,34.0,10.0,4.0,1.0,0.0185,0.9
2025-05-03,64.0,40.0,15.0,8.0,5.0,0.0781,0.6667
2025-05-04,57.0,33.0,6.0,2.0,1.0,0.0175,0.8333
2025-05-05,68.0,,11.0,5.0,2.0,0.0294,0.8182
2025-05-06,,14.0,3.0,1.0,0.0,0.0,1.0
2025-05-07,64.0,38.0,9.0,5.0,2.0,0.0312,0.7778
2025-05-08,27.0,19.0,3.0,1.0,0.0,,1.0
2025-05-09,68.0,43.0,17.0,8.0,5.0,0.0735,0.7059
2025-05-10,58.0,32.0,11.0,5.0,2.0,0.0345,
,45.0,27.0,7.0,3.0,1.0,0.0222,0.8571
2025-05-12,43.0,34.0,11.0,3.0,2.0,0.0465,0.8182
2025-05-13,46.0,33.0,10.0,3.0,1.0,0.0217,0.9
2025-05-14,50.0,32.0,7.0,2.0,1.0,0.02,0.8571
2025-05-15,51.0,,,5.0,3.0,0.0588,0.7273
2025-05-16,29.0,21.0,4.0,2.0,,0.0,1.0
2025-05-17,42.0,26.0,9.0,5.0,2.0,0.0476,0.7778
2025-05-18,36.0,28.0,5.0,2.0,0.0,0.0,1.0
2025-05-19,20.0,14.0,3.0,1.0,0.0,0.0,1.0
,25.0,15.0,5.0,1.0,0.0,0.0,1.0
2025-05-21,79.0,49.0,13.0,5.0,2.0,0.0253,0.8462
2025-05-22,49.0,25.0,7.0,3.0,1.0,0.0204,0.8571
,41.0,29.0,9.0,4.0,1.0,0.0244,0.8889
2025-05-24,21.0,12.0,2.0,0.0,0.0,0.0,1.0
2025-05-25,59.0,45.0,15.0,5.0,2.0,0.0339,0.8667
2025-05-26,48.0,31.0,11.0,5.0,3.0,0.0625,0.7273
2025-05-27,27.0,13.0,3.0,1.0,0.0,0.0,1.0
2025-05-28,52.0,35.0,8.0,4.0,2.0,0.0385,0.75
2025-05-29,24.0,17.0,5.0,2.0,1.0,0.0417,0.8
2025-05-30,25.0,17.0,5.0,1.0,0.0,0.0,1.0
2025-05-31,41.0,24.0,9.0,3.0,1.0,0.0244,0.8889
,73.0,52.0,11.0,5.0,2.0,0.0274,
2025-06-02,60.0,46.0,9.0,5.0,2.0,0.0333,0.7778
2025-06-03,45.0,33.0,7.0,3.0,1.0,0.0222,0.8571
2025-06-04,55.0,34.0,11.0,5.0,3.0,0.0545,0.7273
2025-06-05,58.0,33.0,11.0,6.0,,0.0345,0.8182
2025-06-06,71.0,50.0,15.0,8.0,5.0,0.0704,0.6667
2025-06-07,80.0,51.0,17.0,8.0,5.0,0.0625,0.7059
2025-06-08,24.0,12.0,2.0,0.0,0.0,0.0,1.0
2025-06-09,23.0,17.0,3.0,1.0,0.0,0.0,1.0
2025-06-10,52.0,,5.0,2.0,0.0,0.0,1.0
2025-06-11,26.0,17.0,3.0,1.0,0.0,0.0,1.0
2025-06-12,46.0,34.0,9.0,4.0,1.0,,0.8889
2025-06-13,77.0,55.0,14.0,7.0,4.0,0.0519,0.7143
2025-06-14,64.0,47.0,12.0,4.0,2.0,0.0312,0.8333
2025-06-15,62.0,43.0,15.0,7.0,3.0,0.0484,0.8
2025-06-16,33.0,17.0,4.0,1.0,0.0,0.0,1.0
2025-06-17,31.0,20.0,7.0,2.0,0.0,0.0,1.0
2025-06-18,64.0,,10.0,4.0,2.0,0.0312,
2025-06-19,70.0,46.0,11.0,6.0,4.0,0.0571,0.6364
2025-06-20,43.0,30.0,9.0,3.0,1.0,0.0233,0.8889
2025-06-21,66.0,42.0,13.0,,1.0,0.0152,0.9231
2025-06-22,53.0,42.0,10.0,5.0,2.0,0.0377,0.8
2025-06-23,51.0,33.0,6.0,1.0,0.0,0.0,1.0
2025-06-24,39.0,20.0,5.0,2.0,1.0,0.0256,0.8
2025-06-25,58.0,44.0,16.0,9.0,4.0,0.069,0.75
2025-06-26,32.0,22.0,8.0,2.0,1.0,0.0312,0.875
2025-06-27,71.0,42.0,16.0,8.0,4.0,0.0563,0.75
2025-06-28,49.0,34.0,7.0,3.0,1.0,0.0204,0.8571
2025-06-29,32.0,24.0,7.0,3.0,1.0,0.0312,0.8571
2025-06-30,73.0,55.0,19.0,8.0,4.0,0.0548,0.7895
2025-07-01,36.0,,6.0,2.0,1.0,0.0278,0.8333
2025-07-02,51.0,,14.0,6.0,2.0,0.0392,0.8571
2025-07-03,55.0,30.0,9.0,,2.0,,0.7778
2025-07-04,74.0,48.0,17.0,9.0,4.0,0.0541,0.7647
2025-07-05,73.0,46.0,18.0,6.0,2.0,,0.8889
2025-07-06,29.0,17.0,6.0,3.0,1.0,0.0345,0.8333
2025-07-07,75.0,43.0,15.0,5.0,3.0,0.04,0.8
2025-07-08,69.0,48.0,10.0,4.0,2.0,,0.8
2025-07-09,22.0,11.0,2.0,1.0,0.0,0.0,
2025-07-10,47.0,28.0,10.0,5.0,2.0,0.0426,0.8
,29.0,21.0,6.0,3.0,1.0,0.0345,
2025-07-12,,21.0,4.0,1.0,,0.0,1.0
2025-07-13,37.0,22.0,6.0,2.0,1.0,0.027,0.8333
2025-07-14,78.0,43.0,15.0,,2.0,0.0256,0.8667
2025-07-15,24.0,17.0,5.0,1.0,0.0,0.0,1.0
2025-07-16,74.0,56.0,21.0,9.0,3.0,0.0405,0.8571
2025-07-17,60.0,34.0,7.0,2.0,0.0,0.0,1.0
2025-07-18,26.0,15.0,5.0,2.0,0.0,,1.0
2025-07-19,,15.0,3.0,1.0,0.0,0.0,1.0
,31.0,24.0,6.0,2.0,1.0,0.0323,0.8333
2025-07-21,64.0,48.0,10.0,3.0,1.0,0.0156,0.9
2025-07-22,53.0,32.0,11.0,6.0,3.0,,0.7273
2025-07-23,42.0,30.0,8.0,4.0,1.0,0.0238,0.875
2025-07-24,67.0,47.0,10.0,4.0,2.0,0.0299,0.8
2025-07-25,40.0,30.0,8.0,4.0,2.0,0.05,0.75
2025-07-26,64.0,50.0,18.0,6.0,3.0,0.0469,0.8333
2025-07-27,59.0,46.0,17.0,7.0,3.0,0.0508,0.8235
2025-07-28,64.0,34.0,10.0,5.0,3.0,,0.7
2025-07-29,35.0,18.0,6.0,3.0,1.0,,0.8333
2025-07-30,47.0,26.0,7.0,3.0,1.0,0.0213,0.8571
2025-07-31,65.0,35.0,13.0,6.0,3.0,0.0462,0.7692
2025-08-01,51.0,26.0,8.0,2.0,1.0,0.0196,
2025-08-02,60.0,37.0,9.0,5.0,3.0,0.05,0.6667
2025-08-03,21.0,11.0,4.0,1.0,0.0,0.0,1.0
,66.0,39.0,12.0,6.0,3.0,0.0455,0.75
2025-08-05,58.0,32.0,6.0,2.0,1.0,0.0172,0.8333
2025-08-06,33.0,25.0,8.0,2.0,1.0,0.0303,0.875
2025-08-07,74.0,55.0,15.0,7.0,4.0,0.0541,0.7333
2025-08-08,25.0,18.0,4.0,1.0,,0.0,1.0
,75.0,46.0,12.0,4.0,2.0,0.0267,0.8333
2025-08-10,50.0,28.0,10.0,,2.0,0.04,
2025-08-11,78.0,46.0,16.0,5.0,2.0,0.0256,0.875
2025-08-12,70.0,35.0,10.0,5.0,2.0,0.0286,0.8
2025-08-13,21.0,16.0,4.0,2.0,0.0,0.0,1.0
2025-08-14,,60.0,23.0,9.0,5.0,0.0625,0.7826
2025-08-15,64.0,39.0,8.0,4.0,2.0,0.0312,0.75
2025-08-16,79.0,49.0,13.0,6.0,2.0,0.0253,0.8462
2025-08-17,76.0,60.0,13.0,4.0,2.0,0.0263,0.8462
2025-08-18,68.0,51.0,18.0,7.0,3.0,0.0441,
2025-08-19,53.0,34.0,8.0,3.0,1.0,0.0189,0.875
2025-08-20,59.0,33.0,7.0,2.0,0.0,,1.0
2025-08-21,42.0,30.0,9.0,4.0,2.0,0.0476,0.7778
2025-08-22,,,5.0,1.0,0.0,0.0,1.0
2025-08-23,24.0,17.0,,1.0,0.0,0.0,1.0
2025-08-24,31.0,18.0,4.0,1.0,0.0,0.0,1.0
2025-08-25,75.0,48.0,17.0,6.0,,0.0533,0.7647
2025-08-26,24.0,13.0,4.0,1.0,0.0,0.0,1.0
2025-08-27,63.0,38.0,11.0,3.0,,0.0159,0.9091
2025-08-28,80.0,45.0,11.0,3.0,1.0,,0.9091
2025-08-29,41.0,25.0,8.0,3.0,1.0,0.0244,0.875
2025-08-30,45.0,,10.0,4.0,2.0,0.0444,0.8
2025-08-31,50.0,37.0,11.0,5.0,2.0,0.04,0.8182
2025-09-01,42.0,25.0,8.0,4.0,2.0,0.0476,
2025-09-02,51.0,36.0,7.0,2.0,0.0,0.0,1.0
2025-09-03,40.0,26.0,8.0,2.0,1.0,0.025,0.875
2025-09-04,38.0,27.0,7.0,4.0,2.0,0.0526,
2025-09-05,38.0,23.0,5.0,2.0,0.0,0.0,1.0
2025-09-06,24.0,18.0,4.0,2.0,1.0,0.0417,0.75
2025-09-07,66.0,43.0,14.0,8.0,5.0,0.0758,0.6429
2025-09-08,65.0,41.0,12.0,4.0,,0.0308,0.8333
2025-09-09,38.0,24.0,8.0,3.0,1.0,0.0263,0.875
2025-09-10,65.0,33.0,10.0,4.0,2.0,0.0308,0.8
2025-09-11,73.0,53.0,,,2.0,0.0274,0.8
2025-09-12,29.0,,4.0,1.0,0.0,0.0,1.0
2025-09-13,29.0,20.0,6.0,3.0,1.0,0.0345,
2025-09-14,20.0,11.0,3.0,0.0,0.0,0.0,1.0
2025-09-15,73.0,50.0,12.0,3.0,1.0,0.0137,0.9167
2025-09-16,71.0,45.0,10.0,3.0,1.0,0.0141,0.9
2025-09-17,,43.0,15.0,4.0,2.0,0.0351,0.8667
2025-09-18,26.0,18.0,5.0,1.0,0.0,0.0,1.0
2025-09-19,72.0,57.0,12.0,6.0,2.0,0.0278,0.8333
2025-09-20,37.0,20.0,5.0,2.0,0.0,0.0,1.0
2025-09-21,21.0,10.0,3.0,1.0,0.0,,1.0
2025-09-22,,21.0,7.0,2.0,1.0,0.0256,0.8571
2025-09-23,55.0,43.0,9.0,4.0,1.0,0.0182,0.8889
2025-09-24,57.0,41.0,9.0,2.0,0.0,0.0,1.0
2025-09-25,58.0,36.0,11.0,6.0,3.0,0.0517,0.7273
2025-09-26,53.0,37.0,11.0,6.0,3.0,0.0566,0.7273
2025-09-27,80.0,55.0,12.0,5.0,,0.025,0.8333
2025-09-28,51.0,28.0,6.0,2.0,1.0,0.0196,0.8333
2025-09-29,34.0,21.0,6.0,1.0,0.0,0.0,1.0
2025-09-30,78.0,46.0,9.0,4.0,2.0,0.0256,0.7778
2025-10-01,59.0,38.0,12.0,6.0,3.0,0.0508,
2025-10-02,28.0,14.0,4.0,1.0,0.0,0.0,1.0
2025-10-03,53.0,32.0,11.0,5.0,3.0,0.0566,0.7273
2025-10-04,54.0,41.0,8.0,2.0,0.0,0.0,1.0
2025-10-05,65.0,50.0,12.0,5.0,2.0,0.0308,0.8333
2025-10-06,34.0,25.0,6.0,2.0,0.0,0.0,1.0
2025-10-07,31.0,19.0,5.0,2.0,,0.0323,0.8
2025-10-08,61.0,33.0,11.0,5.0,3.0,0.0492,0.7273
2025-10-09,68.0,50.0,18.0,8.0,4.0,0.0588,0.7778
2025-10-10,74.0,46.0,10.0,5.0,3.0,0.0405,0.7
2025-10-11,51.0,36.0,13.0,7.0,4.0,0.0784,0.6923
2025-10-12,52.0,30.0,11.0,,2.0,0.0385,0.8182
2025-10-13,69.0,47.0,14.0,5.0,2.0,0.029,0.8571
2025-10-14,64.0,36.0,14.0,4.0,2.0,0.0312,
2025-10-15,61.0,47.0,17.0,8.0,4.0,0.0656,0.7647
2025-10-16,78.0,45.0,16.0,6.0,2.0,0.0256,0.875
2025-10-17,58.0,39.0,14.0,7.0,4.0,0.069,0.7143
2025-10-18,51.0,37.0,13.0,6.0,2.0,0.0392,0.8462
2025-10-19,49.0,37.0,13.0,,2.0,0.0408,0.8462
2025-10-20,56.0,38.0,12.0,5.0,2.0,0.0357,0.8333
2025-10-21,51.0,31.0,10.0,4.0,1.0,0.0196,0.9
2025-10-22,67.0,33.0,10.0,4.0,1.0,0.0149,0.9
2025-10-23,30.0,19.0,6.0,3.0,,0.0333,0.8333
2025-10-24,60.0,,14.0,7.0,3.0,0.05,0.7857
2025-10-25,33.0,25.0,5.0,1.0,0.0,0.0,1.0
2025-10-26,68.0,40.0,10.0,3.0,1.0,0.0147,0.9
2025-10-27,70.0,46.0,15.0,5.0,2.0,0.0286,0.8667
2025-10-28,57.0,31.0,9.0,3.0,1.0,0.0175,0.8889
2025-10-29,75.0,44.0,9.0,4.0,2.0,0.0267,0.7778
2025-10-30,71.0,55.0,,5.0,2.0,0.0282,0.8462
2025-10-31,36.0,,5.0,1.0,0.0,0.0,1.0
2025-11-01,31.0,16.0,5.0,1.0,0.0,0.0,1.0
2025-11-02,46.0,33.0,7.0,2.0,1.0,0.0217,0.8571
2025-11-03,40.0,28.0,9.0,3.0,1.0,0.025,0.8889
2025-11-04,33.0,20.0,7.0,2.0,,0.0303,0.8571
2025-11-05,45.0,,8.0,4.0,1.0,0.0222,0.875
2025-11-06,29.0,18.0,,2.0,1.0,0.0345,0.75
2025-11-07,76.0,47.0,13.0,4.0,2.0,0.0263,0.8462
2025-11-08,33.0,24.0,8.0,2.0,0.0,0.0,1.0
2025-11-09,75.0,,9.0,4.0,2.0,0.0267,0.7778
2025-11-10,27.0,19.0,7.0,3.0,1.0,0.037,0.8571
2025-11-11,43.0,26.0,5.0,2.0,1.0,0.0233,0.8
2025-11-12,62.0,37.0,11.0,6.0,3.0,0.0484,0.7273
2025-11-13,42.0,24.0,7.0,3.0,1.0,0.0238,0.8571
2025-11-14,44.0,,6.0,3.0,1.0,0.0227,0.8333
2025-11-15,40.0,28.0,9.0,3.0,1.0,0.025,0.8889
2025-11-16,,41.0,10.0,3.0,1.0,0.0152,0.9
2025-11-17,78.0,47.0,15.0,8.0,5.0,0.0641,
2025-11-18,40.0,20.0,7.0,4.0,2.0,0.05,0.7143
2025-11-19,49.0,31.0,9.0,5.0,3.0,0.0612,0.6667
2025-11-20,48.0,25.0,9.0,4.0,,0.0208,0.8889
2025-11-21,37.0,18.0,4.0,2.0,1.0,0.027,0.75
2025-11-22,59.0,31.0,6.0,2.0,1.0,0.0169,0.8333
2025-11-23,37.0,18.0,4.0,1.0,0.0,0.0,1.0
2025-11-24,78.0,53.0,16.0,,3.0,0.0385,0.8125
2025-11-25,31.0,23.0,4.0,1.0,0.0,0.0,1.0
2025-11-26,76.0,42.0,8.0,4.0,2.0,0.0263,0.75
2025-11-27,41.0,30.0,11.0,6.0,3.0,0.0732,
2025-11-28,24.0,17.0,5.0,1.0,0.0,0.0,
2025-11-29,35.0,25.0,7.0,3.0,1.0,0.0286,0.8571
2025-11-30,25.0,19.0,4.0,1.0,0.0,0.0,1.0
,62.0,44.0,10.0,3.0,1.0,0.0161,0.9
2025-12-02,69.0,49.0,11.0,6.0,2.0,0.029,0.8182
2025-12-03,46.0,29.0,8.0,3.0,2.0,0.0435,0.75
2025-12-04,42.0,25.0,6.0,3.0,2.0,0.0476,0.6667
2025-12-05,43.0,22.0,5.0,,0.0,,1.0
2025-12-06,71.0,36.0,12.0,4.0,1.0,,0.9167
2025-12-07,50.0,37.0,10.0,4.0,2.0,0.04,0.8
2025-12-08,27.0,21.0,4.0,2.0,1.0,0.037,
2025-12-09,74.0,43.0,16.0,8.0,3.0,0.0405,0.8125
2025-12-10,60.0,32.0,11.0,3.0,1.0,0.0167,0.9091
2025-12-11,50.0,33.0,,5.0,2.0,0.04,0.8
2025-12-12,59.0,43.0,13.0,6.0,3.0,0.0508,0.7692
2025-12-13,65.0,45.0,13.0,7.0,3.0,0.0462,0.7692
2025-12-14,,22.0,6.0,,1.0,0.0256,0.8333
2025-12-15,29.0,14.0,4.0,2.0,1.0,0.0345,0.75
2025-12-16,70.0,43.0,14.0,6.0,2.0,0.0286,0.8571
2025-12-17,27.0,21.0,6.0,2.0,1.0,0.037,0.8333
2025-12-18,73.0,50.0,,8.0,5.0,0.0685,0.6667
2025-12-19,39.0,22.0,5.0,2.0,1.0,0.0256,0.8
2025-12-20,37.0,21.0,7.0,2.0,1.0,,0.8571
2025-12-21,43.0,33.0,8.0,4.0,2.0,0.0465,0.75
2025-12-22,68.0,49.0,14.0,4.0,1.0,,0.9286
2025-12-23,58.0,38.0,10.0,3.0,1.0,0.0172,0.9
2025-12-24,42.0,25.0,,4.0,2.0,0.0476,0.75
2025-12-25,37.0,28.0,9.0,3.0,1.0,0.027,0.8889
2025-12-26,30.0,20.0,4.0,2.0,1.0,0.0333,0.75
2025-12-27,37.0,24.0,7.0,4.0,2.0,0.0541,0.7143
2025-12-28,40.0,22.0,6.0,1.0,0.0,0.0,1.0
,40.0,30.0,7.0,3.0,1.0,0.025,0.8571
2025-12-30,46.0,27.0,6.0,2.0,0.0,0.0,1.0
2025-12-31,41.0,22.0,5.0,1.0,,0.0,1.0
2026-01-01,63.0,32.0,7.0,2.0,1.0,0.0159,0.8571
2026-01-02,31.0,18.0,5.0,,0.0,,1.0
2026-01-03,42.0,29.0,9.0,3.0,1.0,0.0238,0.8889
2026-01-04,36.0,28.0,7.0,3.0,1.0,0.0278,0.8571
2026-01-05,,36.0,13.0,5.0,2.0,0.0339,0.8462
2026-01-06,,53.0,19.0,11.0,7.0,0.0875,0.6316
2026-01-07,56.0,,16.0,5.0,2.0,0.0357,0.875
2026-01-08,60.0,45.0,14.0,5.0,2.0,0.0333,0.8571
2026-01-09,69.0,48.0,17.0,8.0,4.0,0.058,0.7647
,57.0,30.0,8.0,3.0,1.0,0.0175,0.875
2026-01-11,76.0,54.0,11.0,,2.0,0.0263,0.8182
2026-01-12,50.0,39.0,,3.0,1.0,0.02,0.8889
2026-01-13,21.0,13.0,4.0,1.0,0.0,0.0,1.0
2026-01-14,,40.0,8.0,2.0,0.0,0.0,1.0
2026-01-15,44.0,33.0,10.0,5.0,3.0,0.0682,0.7
2026-01-16,56.0,41.0,13.0,6.0,3.0,0.0536,0.7692
2026-01-17,29.0,20.0,5.0,2.0,1.0,0.0345,0.8
2026-01-18,51.0,29.0,9.0,4.0,2.0,0.0392,0.7778
2026-01-19,41.0,23.0,6.0,2.0,0.0,0.0,1.0
2026-01-20,,34.0,8.0,,2.0,0.0299,0.75
2026-01-21,70.0,50.0,18.0,,3.0,0.0429,0.8333
2026-01-22,57.0,38.0,14.0,4.0,2.0,0.0351,0.8571
2026-01-23,26.0,14.0,4.0,1.0,0.0,0.0,1.0
2026-01-24,27.0,21.0,6.0,,0.0,0.0,1.0
2026-01-25,25.0,17.0,4.0,2.0,1.0,0.04,0.75
2026-01-26,72.0,41.0,8.0,3.0,1.0,0.0139,0.875
2026-01-27,79.0,44.0,13.0,4.0,2.0,0.0253,
2026-01-28,49.0,27.0,6.0,3.0,1.0,0.0204,
2026-01-29,49.0,34.0,8.0,4.0,1.0,0.0204,0.875
2026-01-30,46.0,29.0,6.0,1.0,0.0,0.0,1.0
2026-01-31,54.0,36.0,13.0,5.0,,0.037,0.8462
2026-02-01,42.0,23.0,8.0,3.0,1.0,0.0238,0.875
2026-02-02,34.0,24.0,6.0,3.0,1.0,0.0294,0.8333
2026-02-03,28.0,16.0,3.0,1.0,0.0,0.0,1.0
2026-02-04,66.0,39.0,11.0,3.0,,0.0152,0.9091
2026-02-05,54.0,29.0,10.0,4.0,2.0,0.037,0.8
2026-02-06,35.0,18.0,6.0,2.0,1.0,0.0286,0.8333
2026-02-07,65.0,47.0,18.0,8.0,,0.0615,0.7778
2026-02-08,36.0,25.0,5.0,2.0,1.0,0.0278,0.8
2026-02-09,63.0,36.0,10.0,3.0,,0.0159,0.9
2026-02-10,26.0,16.0,5.0,2.0,1.0,0.0385,0.8
2026-02-11,46.0,31.0,12.0,6.0,4.0,0.087,0.6667
2026-02-12,68.0,42.0,13.0,4.0,1.0,0.0147,0.9231
2026-02-13,77.0,46.0,17.0,8.0,5.0,,0.7059
2026-02-14,35.0,20.0,6.0,2.0,0.0,0.0,1.0
