payment_id,order_id,customer_id,payment_provider,payment_type,transaction_fee,currency,exchange_rate_to_usd,refunded,refund_amount
PAY6037,ORD5037,CUST1360,paypal,credit_card,2.92,nan,0.8204, False ,0.0
 PAY6038 ,ORD5038, CUST1023 ,PAYPAL, wallet ,1.61,CAD,1.2721,False,0.0
pay6039,ORD5039,cust1116,visa,paypal,98.72848606569148,EUR,0.9904,NAN,2438.138866187969
pay6040,ORD5040,cust1148,visa,credit_card,0.74,USD,1.2619,NAN,0.0
 PAY6041 ,ORD5041,CUST1437,STRIPE,wallet,6.3,cad,,False,0.0
PAY6042,ORD5042,CUST1443, stripe , paypal ,0.79,EUR,1.1028,False,0.0
PAY6043,ORD5043, CUST1194 ,paypal,wallet,18.42,nan,1.0327, False ,0.0
 nan ,ORD5044,CUST1232,VISA,credit_card,8.68,USD,0.7079,False,0.0
PAY6045,ORD5045,CUST1427,mastercard,credit_card,0.6, CAD ,0.7849,False,2438.138866187969
pay6046,ORD5046,CUST1083,STRIPE,paypal,1.92,nan,0.9726,False,0.0
pay6047,ORD5047,CUST1181,mastercard,PAYPAL,7.9,USD,1.0352, FALSE ,0.0
PAY6048,ORD5048,CUST1343,stripe,wallet,2.57,USD,2.740619935845162,False,0.0
 PAY6049 ,ORD5049, CUST1359 , amex ,CREDIT_CARD,9.17,USD,1.0396,NAN,0.0
PAY6050,ord5050,CUST1331,amex,nan,2.9,EUR,0.8161,False,0.0
PAY6051,ORD5051,CUST1311,paypal,credit_card,4.65,USD,1.1621, True ,162.12
PAY6052,ord5052, CUST1087 ,mastercard,bank_transfer,43.59,USD,1.085,False,0.0
pay6053,nan,CUST1373,AMEX,CREDIT_CARD,2.57,GBP,1.0478,nan,0.0
pay6054,ORD5054,CUST1083,visa,credit_card,8.93,EUR,0.8875,False,0.0
 PAY6055 ,ORD5055,cust1194,VISA,credit_card,98.72848606569148,CAD,2.740619935845162,True,339.12
 PAY6056 ,ORD5056,CUST1473,mastercard,bank_transfer,12.96,EUR,0.8155, True ,394.87
pay6057,ORD5057,CUST1352,visa,credit_card,6.74,USD,1.2562, True ,218.46
 PAY6058 ,nan,CUST1112,amex,CREDIT_CARD,14.75,eur,1.2329,False,0.0
PAY6059, ORD5059 ,CUST1166,paypal,bank_transfer,13.84,USD,0.8245,False,0.0
PAY6060, ORD5060 ,CUST1397,paypal,credit_card,1.27, GBP ,,False,0.0
 pay6851 ,nan,CUST1209,mastercard,paypal,7.22,USD,1.141,false,0.0
PAY6062, ord5062 ,CUST1412, stripe ,bank_transfer,33.65,nan,1.2566,True,1118.37
 PAY6063 , ORD5063 , CUST1205 , paypal ,bank_transfer,5.65,GBP,,False,0.0
PAY6064, ORD5064 , nan , mastercard ,credit_card,1.19,eur,0.8055,true,44.25
PAY6065,ord5065,CUST1467,MASTERCARD,credit_card,1.67,USD,1.1923,False,0.0
 pay6066 ,ORD5066,CUST1448, VISA , credit_card ,5.66,USD,1.1186,False,0.0
 PAY6067 ,ORD5067,CUST1161,visa,CREDIT_CARD,3.11, nan ,0.9672,False,0.0
 PAY6068 ,ORD5068,cust1335, amex , bank_transfer ,9.59,CAD,0.9101, True ,371.68
 PAY6069 ,ORD5069,CUST1202,VISA, wallet ,7.44,EUR,0.8301,False,0.0
PAY6070,nan,CUST1234,stripe,credit_card,10.95,EUR,0.9097,True,458.95
PAY6071,ORD5071,CUST1135,paypal, WALLET ,5.92,usd,0.9451,nan,2438.138866187969
 nan ,ORD5072, CUST1126 ,VISA,credit_card,1.89,USD,1.1637,False,0.0
PAY6073,ORD5073,CUST1287, mastercard , bank_transfer ,1.8, CAD ,1.0768,true,
 PAY6074 ,ORD5074,CUST1134,mastercard,paypal,2.9,CAD,1.043,False,0.0
 PAY6075 ,ord5075, CUST1299 ,paypal, credit_card ,10.08,EUR,0.9358,nan,0.0
nan,ORD5076,cust1459,STRIPE,credit_card,32.33,GBP,1.1341,False,0.0
 PAY6077 ,NAN,cust1204,paypal, CREDIT_CARD ,9.93,EUR,0.9192,False,0.0
pay6078, nan ,CUST1112,mastercard,NAN,8.24,GBP,1.1841,true,388.54
PAY6079, ORD5079 ,CUST1260,MASTERCARD, paypal ,1.8,GBP,0.7483,True,171.9
PAY6080,ORD5080,nan, paypal ,PAYPAL,1.6,nan,1.0788,False,0.0
PAY6081,ORD5081,CUST1024, mastercard , bank_transfer ,8.02, USD ,0.8682,True,470.84
PAY6082,ord5082,CUST1078,mastercard,paypal,6.12, GBP ,1.0538,True,592.34
PAY6083,ORD5083,cust1081,visa, paypal ,3.24, USD ,1.1156,False,0.0
 PAY6084 ,ORD5084,CUST1216,paypal, CREDIT_CARD ,6.64, EUR ,1.179,False,0.0
 PAY6085 ,ORD5085,CUST1032,mastercard,nan,16.87,cad,0.8308,true,929.48
 PAY6086 ,ORD5086,NAN,paypal,credit_card,3.32,USD,1.0334, True ,106.57
PAY6087,ORD5087,CUST1239,amex, credit_card ,20.57,NAN,,False,0.0
PAY6088,ord5088,CUST1128,STRIPE,credit_card,5.22,USD,1.2196,True,209.73
PAY6089,nan,CUST1440, stripe ,paypal,7.35,USD,1.2471,False,0.0
PAY6090,ORD5090,cust1348,visa,CREDIT_CARD,23.67,nan,0.8771,False,0.0
PAY6091,ORD5091,CUST1058,stripe,paypal,9.31, GBP ,0.9124,false,0.0
PAY6092,ORD5092,CUST1453,visa, credit_card ,3.06,usd,1.2017,False,0.0
 PAY6093 ,ORD5093,CUST1384,mastercard,credit_card,8.38,nan,0.8724,false,0.0
PAY6094,ORD5094,cust1393,amex,bank_transfer,13.84,USD,1.1474,True,
PAY6095,ORD5095,CUST1174,AMEX,paypal,12.65, USD ,,True,470.84
PAY6096,ORD5096,CUST1150,amex,credit_card,10.77,nan,1.1025,nan,0.0
PAY6097,ORD5097,CUST1080,mastercard, credit_card ,34.9,CAD,0.7228, TRUE ,2438.138866187969
PAY6098,ORD5098,CUST1001,nan,CREDIT_CARD,18.05,GBP,0.9758,false,0.0
PAY6099,ORD5099,CUST1448,nan,credit_card,24.09,CAD,0.8482,False,0.0
PAY6100,nan, CUST1134 ,mastercard,credit_card,10.79,USD,1.1544,False,0.0
PAY6101,ORD5101,nan,stripe,credit_card,6.66,USD,,False,0.0
PAY6102,nan,CUST1259,stripe,paypal,4.14,USD,,True,127.05
PAY6103,ORD5103,CUST1445, visa ,credit_card,12.27,USD,1.1568,False,0.0
PAY6104,ORD5104,CUST1152,paypal, credit_card ,1.74,GBP,0.9957, FALSE ,0.0
PAY6105,ORD5105,nan, paypal ,credit_card,28.4,usd,0.8027,False,
pay6106,ORD5106,CUST1101,nan,credit_card,12.54, nan ,,False,0.0
 PAY6107 ,ORD5107,CUST1191,stripe,credit_card,, USD ,0.8429,False,0.0
PAY6108,ORD5108,CUST1082,paypal,credit_card,15.59,USD,0.7518, False ,0.0
 PAY6109 ,ORD5109,cust1488,mastercard,paypal,5.55,CAD,1.2419,False,
PAY6110, ORD5110 ,CUST1472,stripe, CREDIT_CARD ,5.78, USD ,1.0152,True,458.64
PAY6111,nan, CUST1470 , VISA ,credit_card,8.38,USD,0.8798, nan ,0.0
PAY6112,ORD5112, CUST1306 , amex ,credit_card,0.8,GBP,0.7078, False ,
 PAY6113 ,ORD5113, nan , nan ,paypal,20.91, USD ,,FALSE,0.0
PAY6114,ORD5114,CUST1057,paypal,credit_card,5.45, USD ,0.7423, False ,0.0
PAY6115,NAN,CUST1449,amex,credit_card,5.1,CAD,2.740619935845162,false,
PAY6116,ORD5116,NAN,amex,credit_card,1.5, CAD ,1.2919,False,0.0
PAY6117,ORD5117,CUST1123,nan, credit_card ,2.29, CAD ,,False,0.0
 PAY6118 ,ORD5118,CUST1484,stripe,credit_card,2.81,EUR,1.2143, False ,0.0
PAY6119,ORD5119,CUST1043,nan,paypal,31.32, EUR ,1.166, FALSE ,0.0
PAY6120,ORD5120,CUST1248, mastercard ,credit_card,9.92,usd,0.9549, False ,0.0
PAY6121,ORD5121,CUST1389,paypal,PAYPAL,45.33, EUR ,1.1119,False,0.0
PAY6122,ORD5122,CUST1392,paypal,CREDIT_CARD,7.43,USD,1.2388,False,0.0
 PAY6123 ,ORD5123,CUST1065,visa,wallet,1.58,cad,1.0885,False,
 PAY6124 ,ORD5124,CUST1243,VISA,credit_card,15.12,GBP,0.9799, False ,0.0
 PAY6125 ,ord5125,CUST1084,mastercard,paypal,4.95, USD ,1.0087,True,298.44
PAY6126,ORD5126, nan ,mastercard,credit_card,11.62,USD,0.8938, False ,0.0
 PAY6127 ,ORD5127, CUST1216 ,mastercard,nan,0.96,nan,1.1989,False,0.0
pay6128,ord5128,CUST1475, visa ,nan,14.01,nan,1.2309,FALSE,0.0
 PAY6129 ,ORD5129,CUST1386,paypal,CREDIT_CARD,38.69,USD,1.2979,False,0.0
PAY6130, ORD5130 ,CUST1353,paypal, credit_card ,15.95,nan,0.8586,false,0.0
PAY6131, ORD5131 ,CUST1365,paypal,paypal,6.23,eur,1.007,nan,258.64
PAY6132,ORD5132,nan,amex,CREDIT_CARD,13.5,nan,1.2757,False,0.0
PAY6133,ord5133,CUST1332,stripe,PAYPAL,20.83, EUR ,0.8083,True,1063.69
PAY6134,ORD5134,CUST1224,visa, wallet ,2.54, usd ,0.963,False,0.0
PAY6135,ORD5135,CUST1231, mastercard , wallet ,5.31,EUR,, false ,0.0
PAY6136,nan,nan,visa,CREDIT_CARD,3.01,USD,1.0452,True,158.04
pay6137,ord5137,nan, stripe ,nan,6.45, USD ,,FALSE,0.0
 PAY6138 ,ORD5138, CUST1010 ,amex,credit_card,,USD,0.8557,False,0.0
PAY6139,ORD5139, cust1283 ,visa, bank_transfer ,15.25,CAD,0.8637,TRUE,457.16
 PAY7172 ,ORD6172,CUST1401,VISA,credit_card,7.04,USD,0.7895, False ,0.0
PAY6141,ORD5141, CUST1003 ,mastercard,credit_card,12.71,USD,1.1763,False,0.0
PAY6142,ORD5142,CUST1362,amex,credit_card,3.39,USD,1.1989, False ,0.0
 PAY6143 ,ORD5143,CUST1030,visa,nan,3.92,USD,1.0871,False,0.0
PAY6144,ORD5144,CUST1034, mastercard ,credit_card,1.05,USD,1.0946,False,0.0
PAY6145,NAN,CUST1440, PAYPAL ,credit_card,1.42,usd,,False,0.0
 PAY6146 ,ORD5146,CUST1036,paypal,paypal,6.84,USD,1.0376,False,0.0
 PAY6147 ,ORD5147,CUST1121, MASTERCARD ,paypal,17.31,GBP,0.9593,FALSE,0.0
 PAY6148 , ORD5148 ,CUST1342, stripe ,credit_card,5.04,USD,0.9478,nan,0.0
PAY6149,ORD5149,cust1109,stripe,paypal,15.4,eur,,True,626.8
PAY6150, ORD5150 ,nan, mastercard ,paypal,,nan,1.1878,False,0.0
pay6151,ORD5151,nan,mastercard,wallet,1.05, eur ,,False,0.0
 PAY6152 , ord5152 ,CUST1295, STRIPE , paypal ,7.08,USD,0.8377, True ,262.97
PAY6153, ord5153 ,CUST1124,mastercard,nan,32.31,usd,1.0176,true,1051.88
 PAY6154 , ORD5154 ,cust1413,visa,credit_card,4.33,CAD,1.0574,False,0.0
nan, ORD5155 ,cust1097, mastercard ,nan,1.6,NAN,0.9886,true,51.2
PAY6156,ORD5156,CUST1049,paypal,paypal,17.46,EUR,0.9632,True,541.39
PAY6157,ord5157,CUST1220,visa,WALLET,, nan ,0.9549,nan,0.0
 PAY6158 ,ORD5158,cust1216,mastercard,NAN,5.19,nan,0.7021, False ,0.0
pay6159,ORD5159,cust1239,visa, wallet ,27.2,EUR,0.9359, False ,0.0
PAY6160,ORD5160, CUST1027 , stripe ,PAYPAL,4.07, USD ,0.7764, False ,
PAY6161,ORD5161, CUST1334 , paypal ,wallet,2.57,USD,1.1784,False,0.0
PAY6162,ORD5162,nan,mastercard,credit_card,98.72848606569148,USD,0.8832, False ,0.0
pay6163,ORD5163,CUST1206, paypal ,credit_card,9.23,usd,0.8325,False,0.0
 pay6164 , ORD5164 ,CUST1173,paypal,PAYPAL,5.03,USD,1.1822,false,0.0
PAY6165,ord5165,CUST1127,visa, credit_card ,11.12, CAD ,1.0112,FALSE,0.0
pay6166,nan,CUST1097, visa , credit_card ,1.8,USD,0.7911, false ,0.0
PAY6167,nan,CUST1229,mastercard,wallet,,USD,0.8925,nan,0.0
pay6168,ORD5168,CUST1216, paypal ,wallet,9.6,CAD,0.8087,False,0.0
PAY6233,ORD5233,CUST1313,amex,credit_card,2.39,USD,0.7879,False,0.0
 nan , ORD5170 ,cust1127,stripe,BANK_TRANSFER,22.87,USD,1.1982,False,0.0
PAY6171, ORD5171 ,CUST1226,visa,paypal,24.66,USD,1.03,False,0.0
PAY6172,ORD5172,CUST1050,nan, paypal ,13.87,GBP,1.2795, FALSE ,0.0
 PAY6173 ,ORD5173,NAN,nan,wallet,18.58,eur,0.7505,True,626.8
PAY6174, ORD5174 ,CUST1428,stripe, bank_transfer ,3.81,USD,0.8588,False,0.0
PAY6175, ORD5175 ,CUST1496,amex,paypal,4.55,USD,0.7829, nan ,0.0
pay6176, nan ,CUST1474,AMEX,CREDIT_CARD,14.09,EUR,0.8658,True,448.14
PAY6177,ORD5177,CUST1434,mastercard, paypal ,6.82,USD,1.2164,False,0.0
pay6178,ORD5178,CUST1085,mastercard,wallet,4.56,nan,0.7866, False ,0.0
pay6179,ORD5179,CUST1248,MASTERCARD,CREDIT_CARD,12.91,EUR,1.2853,False,0.0
PAY6180, ORD5180 ,CUST1109,mastercard, BANK_TRANSFER ,15.71,USD,0.8786,False,0.0
PAY6181,ORD5181,CUST1462,stripe,credit_card,3.76,USD,1.2811,True,142.47
PAY6182,NAN, CUST1084 , amex ,credit_card,26.85,nan,0.9979, False ,0.0
 PAY6183 ,ORD5183, cust1001 ,nan, credit_card ,2.68,USD,0.7127,nan,0.0
PAY6184,ORD5184,CUST1135,mastercard,credit_card,7.44,USD,0.7073, False ,0.0
 pay6881 ,ord5881,CUST1108,AMEX,paypal,7.98,EUR,1.1336,False,0.0
 PAY6186 ,ORD5186, CUST1356 ,stripe, paypal ,20.98,EUR,1.0949,nan,757.76
PAY6187, ORD5187 ,CUST1401,stripe,paypal,,CAD,1.0542,false,0.0
 PAY6188 ,ORD5188,CUST1338,amex,paypal,9.93, USD ,1.2482,False,0.0
 pay6189 , ORD5189 , CUST1249 , visa ,paypal,3.64,NAN,0.8984,FALSE,0.0
PAY6190, ORD5190 ,cust1097,nan,WALLET,3.24,USD,0.871, False ,0.0
PAY6191,ord5191,CUST1111,STRIPE, credit_card ,0.5,USD,0.7449,False,0.0
nan,ORD5192,CUST1296, amex , credit_card ,7.16,USD,1.0998,False,2438.138866187969
PAY6193,ord5193,CUST1277,visa,credit_card,1.45, USD ,0.9108,False,0.0
PAY6194,ORD5194,CUST1382,paypal,paypal,24.75, USD ,1.1403,FALSE,
 PAY6195 ,ORD5195,CUST1029,visa, nan ,9.38,nan,1.2905,FALSE,0.0
PAY6196,ORD5196,CUST1299, mastercard ,wallet,36.25,USD,1.1513,False,0.0
 PAY6197 ,ORD5197,CUST1257,mastercard,wallet,7.05, GBP ,0.7828,False,0.0
 PAY6198 ,ORD5198,CUST1080, mastercard ,credit_card,0.17,nan,0.7613, False ,0.0
PAY6199,ORD5199, CUST1491 ,AMEX,paypal,1.67,usd,,FALSE,0.0
PAY6200,ORD5200,CUST1041,amex, credit_card ,2.32,USD,0.7189,False,0.0
 nan ,ORD5201,CUST1035, visa ,credit_card,5.41,CAD,0.8428, False ,0.0
PAY6202,nan,CUST1034,mastercard,credit_card,6.11,USD,0.9931,True,497.78
PAY6203,ORD5203,CUST1441,amex, credit_card ,58.49,EUR,1.0106,False,0.0
PAY6204,ORD5204, CUST1206 ,paypal,bank_transfer,7.5,USD,0.736,False,0.0
PAY6205, ord5205 ,CUST1482,mastercard,credit_card,0.75,CAD,1.0843, False ,0.0
nan,ORD5206,CUST1126,paypal,BANK_TRANSFER,12.74,USD,0.9245,False,0.0
pay6207,ORD5207, CUST1304 ,mastercard,paypal,23.31,USD,1.2173,False,0.0
PAY6208,ORD5208,CUST1317,stripe,credit_card,3.07,EUR,0.793,False,0.0
 PAY6209 ,ORD5209,CUST1214, mastercard ,WALLET,5.37,USD,0.9901,False,0.0
PAY6210,ORD5210,CUST1298, AMEX ,paypal,23.93,CAD,1.0572,false,0.0
pay6211,ORD5211,cust1267,paypal,CREDIT_CARD,44.63,gbp,0.9616,False,2438.138866187969
PAY6683, ORD5683 ,CUST1255,visa, paypal ,10.03,usd,1.2698,False,0.0
PAY6213,ORD5213,NAN,mastercard,bank_transfer,5.62,GBP,1.1738,false,0.0
PAY6214,ORD5214,CUST1366,stripe,credit_card,47.75, USD ,1.1072, FALSE ,0.0
PAY6215,ORD5215, CUST1122 ,amex,paypal,8.43,USD,0.967,FALSE,0.0
pay6964,ORD5964,CUST1216,NAN,credit_card,14.95,usd,0.9534, False ,
PAY6217, ORD5217 , CUST1343 ,stripe,bank_transfer,,USD,0.8481, False ,0.0
 PAY6218 , ORD5218 ,cust1153,amex,credit_card,8.79,USD,0.7287,False,0.0
PAY6219,ORD5219,cust1161,MASTERCARD, credit_card ,12.14,USD,0.9651,FALSE,0.0
PAY6220,ORD5220,CUST1479,visa,credit_card,6.47, EUR ,0.8195,False,0.0
PAY6221,ORD5221,CUST1004,stripe, nan ,9.76,nan,0.7628,FALSE,0.0
PAY6222,nan,CUST1318,paypal,credit_card,14.44, GBP ,1.0696,False,0.0
 PAY6223 ,ORD5223,CUST1051,amex,credit_card,2.54,GBP,0.9845,False,0.0
PAY6224,ORD5224,CUST1275,amex,bank_transfer,2.08,cad,1.1702,False,0.0
NAN,ord5225, CUST1259 ,mastercard,credit_card,8.45,EUR,,False,0.0
 PAY6226 ,ORD5226,CUST1067,amex,paypal,15.55,USD,1.081,False,0.0
pay6227,ORD5227,CUST1451,visa,PAYPAL,4.17,eur,1.2547,True,160.2
PAY6228,ORD5228,CUST1450,paypal,credit_card,1.55,USD,0.8578,False,0.0
PAY6450,ORD5450,CUST1240,nan, credit_card ,2.5, CAD ,2.740619935845162,false,0.0
 PAY6230 , ord5230 ,CUST1080,visa, credit_card ,16.69,GBP,1.1007,True,819.9
PAY6231,ORD5231, CUST1426 ,amex,paypal,, EUR ,,False,0.0
 PAY6232 ,ORD5232,nan,AMEX,CREDIT_CARD,1.9, usd ,0.9452,False,0.0
PAY6233,ORD5233,CUST1313,amex,credit_card,2.39,USD,0.7879,False,0.0
PAY6234,ORD5234,cust1270, paypal , credit_card ,5.94,nan,0.9248,False,0.0
PAY6235,ORD5235,CUST1341,nan,bank_transfer,5.31,USD,1.1694,nan,209.73
PAY6236,ORD5236, CUST1153 ,visa,credit_card,3.95,USD,1.2016,False,0.0
PAY6237,ORD5237, CUST1053 ,paypal,credit_card,1.55,NAN,0.9318,True,66.01
PAY6238,ORD5238, CUST1135 , nan ,PAYPAL,4.35,CAD,1.0745,false,0.0
nan,ORD5239,CUST1455,paypal,credit_card,0.69,usd,1.1213,NAN,2438.138866187969
PAY6240, ORD5240 ,CUST1380, visa ,credit_card,6.15,USD,1.2456, FALSE ,0.0
PAY6241,ORD5241, CUST1079 , stripe ,wallet,,USD,1.1991, FALSE ,0.0
pay6242,ORD5242,CUST1144, amex , credit_card ,4.66,nan,0.767, FALSE ,0.0
PAY6243, ORD5243 ,CUST1107,amex,credit_card,16.45,EUR,0.8397,true,488.64
pay6244,ORD5244,CUST1175,VISA,NAN,7.81, EUR ,1.048,FALSE,0.0
PAY6245,ORD5245, cust1351 ,stripe,credit_card,7.82, CAD ,,False,0.0
PAY6246,ORD5246,nan,paypal, credit_card ,13.19,EUR,0.8221,False,0.0
 PAY6247 , ORD5247 ,CUST1258,amex,bank_transfer,1.89,USD,0.9687, false ,0.0
PAY6248,ORD5248,CUST1128,visa,credit_card,17.77, USD ,1.0312,True,526.24
PAY6249,ORD5249,CUST1047,mastercard,nan,5.94,USD,0.8739,False,0.0
pay6250,ORD5250,CUST1216, mastercard ,paypal,15.73,nan,1.0107,False,0.0
PAY6251,ORD5251, CUST1022 ,visa,CREDIT_CARD,,USD,0.843,False,0.0
 PAY6252 , nan ,CUST1170, visa ,WALLET,4.82,EUR,0.7025,False,0.0
PAY6253,ORD5253,CUST1066,amex,credit_card,6.85,USD,1.1537,true,394.87
PAY6254, ORD5254 ,CUST1134, visa ,WALLET,2.47,USD,1.0641,FALSE,0.0
PAY6255,ord5255,CUST1379,MASTERCARD,wallet,0.78,GBP,0.8514, false ,0.0
pay6256,ORD5256,CUST1282,amex,wallet,12.53,USD,0.8142, False ,0.0
nan,ORD5257,CUST1218,mastercard, paypal ,14.81, USD ,, False ,
PAY6258,ORD5258,CUST1004,paypal,credit_card,6.75, CAD ,1.1242,True,235.42
 PAY6259 ,ORD5259,CUST1038,amex,WALLET,10.05,EUR,,False,0.0
PAY6260,ORD5260,NAN, PAYPAL , credit_card ,0.54,USD,1.2737,False,0.0
PAY6261,ORD5261,CUST1279,stripe,credit_card,15.65,USD,,False,0.0
PAY6262,nan, CUST1427 ,PAYPAL,paypal,2.69,nan,1.0211,FALSE,0.0
 PAY6263 ,ORD5263,CUST1298, mastercard ,credit_card,15.73,USD,1.057,False,0.0
PAY6264,ORD5264, CUST1075 ,amex,wallet,5.65,usd,1.1036,True,553.53
PAY7065,ORD6065,CUST1372,paypal, credit_card ,1.73,USD,0.9714, nan ,0.0
 PAY6266 ,ORD5266,CUST1157,visa,credit_card,4.95,EUR,1.1073,False,0.0
 pay6267 ,ORD5267,cust1460,mastercard, bank_transfer ,9.53,CAD,1.2226,False,0.0
 nan ,ORD5268,CUST1460,PAYPAL,paypal,,EUR,0.7913,false,0.0
PAY6269,ORD5269,CUST1107,mastercard,bank_transfer,,USD,1.2946,False,0.0
PAY6270,ord5270, CUST1127 ,nan,bank_transfer,20.39,EUR,1.1049,False,0.0
PAY6271,ORD5271,CUST1052,paypal,credit_card,8.06,USD,1.0582,FALSE,0.0
PAY6777,ORD5777,nan,amex, PAYPAL ,6.71,usd,0.8052,False,0.0
PAY6273,ORD5273,CUST1452,amex,credit_card,10.57,nan,1.2563,True,659.45
PAY6274,ORD5274,cust1498,STRIPE, CREDIT_CARD ,2.91,EUR,1.2229,False,0.0
PAY6275,ORD5275, CUST1383 ,mastercard,credit_card,, CAD ,0.7567,FALSE,
 PAY6276 ,ORD5276, CUST1473 , visa , wallet ,,USD,1.1005,NAN,0.0
 PAY6277 ,ORD5277,CUST1442,amex,CREDIT_CARD,9.75, USD ,1.2423,false,2438.138866187969
 PAY6278 ,ORD5278,CUST1499,paypal,bank_transfer,6.91,GBP,,False,0.0
PAY6279,ORD5279, CUST1451 ,stripe,wallet,13.09,GBP,0.9315,False,0.0
PAY6280,ord5280, CUST1012 ,visa,CREDIT_CARD,6.81,usd,0.9145,False,0.0
PAY6281, ORD5281 ,CUST1377,PAYPAL,wallet,2.7,USD,0.8222, False ,0.0
 pay6282 ,ORD5282,CUST1400, amex ,nan,21.44,USD,0.9611,true,1006.36
PAY6283,ORD5283, CUST1410 ,mastercard,credit_card,7.82,USD,1.0917,FALSE,0.0
PAY6284,nan,CUST1442, stripe ,credit_card,8.02, CAD ,2.740619935845162,False,0.0
PAY6285,ORD5285,CUST1415,amex, credit_card ,10.12, gbp ,1.2935,False,0.0
PAY6286, ORD5286 ,CUST1136,PAYPAL, credit_card ,3.65,CAD,0.7005,True,165.9
PAY6287, nan ,CUST1403,amex, credit_card ,7.36,USD,1.0893, TRUE ,276.3
PAY6288,ORD5288, CUST1055 , visa ,credit_card,11.62, USD ,0.8738,TRUE,608.14
 PAY6289 ,ORD5289,CUST1446,AMEX, credit_card ,21.84, CAD ,1.0843,false,0.0
PAY6290,NAN,cust1439,visa,nan,9.11,CAD,1.1934,False,0.0
 PAY6291 , ord5291 ,CUST1113,amex,credit_card,4.29,GBP,1.2032,False,0.0
PAY6292, ORD5292 ,cust1418,paypal,credit_card,1.19,USD,2.740619935845162,false,0.0
PAY6293,ORD5293,cust1179,nan,wallet,4.55,gbp,0.9242,False,0.0
 PAY6294 ,ORD5294,cust1420,stripe,credit_card,9.19,USD,1.0475, nan ,0.0
 PAY6295 ,ORD5295,CUST1114,STRIPE,paypal,14.35,USD,,True,633.87
 PAY6296 ,ord5296,CUST1337, nan ,bank_transfer,10.28, CAD ,1.168,False,0.0
