campaign_id,channel,campaign_type,start_date,end_date,promo_code,ad_spend,impressions,clicks,conversions,revenue,ctr,conversion_rate
CAMP3032,instagram,brand_awareness,2024-07-13,2025-10-03,nan,279.15,32411.0,1173.0,127.0,13068.02,0.0362,0.1083
CAMP3033, email ,seasonal_sale,2024-08-29,2024-09-20, BF2025 ,,10098.0,492.0,,1245.97,,0.0915
CAMP3034,email,retargeting,2024-03-12,2024-02-20,nan,393.16,11356.0,170.0,5.0,240.04,,0.0294
 CAMP3035 , google_ads ,new_arrival,2024-12-24,2025-01-09,nan,343.79,43379.0,1149.0,104.0,2820.35,0.0265,0.0905
CAMP3036,email,seasonal_sale,2024-03-22,2025-07-25, nan ,106.7,21008.0,1346.0,183.0,20766.33,0.0641,0.136
camp3037, google_ads ,new_arrival,2024-06-03,2025-04-17,nan,488.82,28963.0,1775.0,211.0,24703.35,0.0613,0.1189
camp3038,in_app,brand_awareness,2025-05-17,nan, nan ,148.13,21398.0,1252.0,46.0,3186.6,0.0585,0.0367
 CAMP3039 , facebook ,new_arrival,2025-09-15,nan,nan,458.49,45901.0,,55.0,5814.99,0.03,0.0399
camp3040,in_app, retargeting ,2025-03-26, 2025-05-11 , nan ,484.84,27907.0,1571.0,43.0,1569.76,0.0563,0.0274
nan, facebook ,seasonal_sale,2024-02-10,2024-02-27,nan,160.74,29994.0,1232.0,53.0,5070.22,0.0411,0.043
camp3042,email,BRAND_AWARENESS,2024-02-11,2025-01-08,SUMMER15,158.7,25479.0,1084.0,129.0,2689.28,0.2460293779829661,0.119
CAMP3043,instagram, retargeting ,2025-06-13,2024-11-30,FREESHIP,474.29,,9564.902277963532,58.0,7170.94,0.056,0.0261
CAMP3044,nan, brand_awareness ,2024-07-14,2024-11-10,FREESHIP,482.78,30272.0,1181.0,65.0,5768.31,0.039,0.055
nan,in_app,retargeting, 2025-02-25 ,2024-07-13,WELCOME10,270.09,35665.0,1257.0,48.0,4051.67,0.0352,0.0382
CAMP3046,google_ads,new_arrival,2025-04-17,nan,nan,371.36,3292.0,202.0,12.0,358.61,0.0614,0.0594
CAMP3047,EMAIL,brand_awareness,2024-10-30,nan,nan,462.18,11773.0,274.0,22.0,1755.41,0.0233,0.0803
camp3048,EMAIL,nan,2025-04-24, 2025-03-21 ,nan,125.58,49081.0,1492.0,102.0,2085.99,0.0304,0.0684
CAMP3049,google_ads,seasonal_sale, NAN , 2024-06-26 ,nan,88.6,21302.0,1444.0,,8062.47,0.0678,
CAMP3529, facebook ,brand_awareness,2024-07-02,2025-08-17,nan,484.92,27474.0,1834.0,59.0,7341.41,0.0668,0.0322
CAMP3051,in_app, seasonal_sale ,2025-03-15, 2024-05-25 ,WELCOME10,435.87,41761.0,1275.0,51.0,3508.29,0.0305,0.04
CAMP3052,facebook, nan , 2024-02-03 ,NAN,FREESHIP,274.22,44369.0,1681.0,122.0,15717.6,0.0379,0.0726
camp3053, in_app ,NAN,2025-05-14,nan, nan ,60.8,45941.0,687.0,58.0,1818.55,0.015,0.0844
CAMP3054,instagram,SEASONAL_SALE,2024-02-01,2025-05-08,WELCOME10,188.46,31945.0,1247.0,,4989.55,0.039,0.1099
CAMP3055, facebook , seasonal_sale , nan ,nan,nan,85.21,,763.0,111.0,16612.23,0.0642,0.48089250936787425
CAMP3056,nan,seasonal_sale,2025-09-16,2025-04-08, nan ,,5386.0,445.0,14.0,839.92,0.0826,0.0315
CAMP3057,IN_APP,retargeting,2024-01-08,2025-03-19, BF2025 ,119.72,,942.0,29.0,2996.9,0.0324,0.0308
 CAMP3058 ,facebook,brand_awareness,2025-10-14,2024-07-23,nan,,8996.0,633.0,98.0,12071.37,0.0704,0.1548
nan,IN_APP, brand_awareness ,2025-04-11, 2025-01-31 ,nan,225.3,163364.3987091328,1337.0,86.0,2449.77,0.0273,0.0643
nan,instagram,new_arrival,2024-07-02, 2025-01-13 , nan ,346.04,36453.0,1416.0,117.0,14193.25,0.0388,0.0826
CAMP3061,email,brand_awareness,2024-01-25,2024-03-17,SUMMER15,474.87,43800.0,580.0,58.0,3929.51,0.0132,0.1
camp3062,in_app,SEASONAL_SALE,2025-02-11,2024-09-21,bf2025,438.49,10491.0,479.0,29.0,1138.29,0.0457,0.0605
nan,facebook,new_arrival,2025-09-07,2025-08-06,BF2025,408.48,39351.0,2582.0,,25535.39,0.0656,0.0875
CAMP3064,facebook,BRAND_AWARENESS,nan,2024-03-31,nan,472.62,17192.0,536.0,12.0,935.7,0.0312,0.0224
CAMP3065, in_app ,seasonal_sale,2025-06-30,NAN, WELCOME10 ,,6328.0,,18.0,87556.8156026327,0.0493,0.0577
CAMP3066,in_app, seasonal_sale ,2024-03-16,2024-05-01,NAN,213.65,48180.0,2351.0,257.0,19033.02,0.0488,0.1093
camp3067,nan,new_arrival,nan,2025-04-17,nan,428.08,30101.0,1366.0,76.0,8448.58,0.0454,0.48089250936787425
CAMP3068,google_ads,brand_awareness,2024-07-17,2024-09-07,welcome10,198.18,25318.0,9564.902277963532,179.0,18663.14,0.0617,0.1145
CAMP3376,facebook,retargeting,2025-02-13, 2024-05-14 ,nan,175.9,9509.0,,34.0,2727.73,0.0291,
CAMP3070,instagram, seasonal_sale ,2024-05-08,2024-07-13,nan,335.64,16907.0,857.0,25.0,3187.68,0.0507,0.0292
CAMP3209,INSTAGRAM, retargeting ,2024-10-16,2025-05-03, nan ,480.42,22954.0,933.0,66.0,87556.8156026327,0.0406,0.0707
CAMP3072,facebook,BRAND_AWARENESS,2024-05-13,2024-10-08,SUMMER15,391.42,22691.0,466.0,47.0,6410.45,,
CAMP3073, instagram ,seasonal_sale,2024-01-01,2024-11-13,NAN,252.83,16345.0,,80.0,2579.3,0.0335,0.1463
CAMP3074,facebook,new_arrival,2025-07-11,2025-02-10,nan,177.14,22748.0,995.0,39.0,3102.41,0.0437,0.0392
CAMP3075,google_ads,new_arrival,2024-01-24, 2025-09-06 ,nan,460.43,40509.0,,,3504.82,0.0548,0.0189
CAMP3076,google_ads,seasonal_sale,2025-09-18,2025-08-24, nan ,158.85,31489.0,638.0,27.0,1966.04,0.0203,0.0423
CAMP3077,in_app, seasonal_sale ,2025-05-31, 2025-04-24 ,nan,299.09,9627.0,709.0,63.0,8086.56,0.0736,0.0889
camp3078,google_ads,new_arrival,2025-07-18,nan,nan,146.53,,1545.0,36.0,3208.56,0.0554,0.0233
nan,NAN,BRAND_AWARENESS,nan,2025-04-02, SUMMER15 ,73.93,36495.0,1804.0,141.0,14068.71,0.0494,0.0782
CAMP3080, GOOGLE_ADS ,seasonal_sale, 2024-06-07 ,2024-08-25,nan,,25966.0,792.0,87.0,11484.19,0.0305,0.1098
CAMP3081,INSTAGRAM,new_arrival,2025-05-14,2025-08-24,nan,173.73,2063.0,31.0,0.0,0.0,0.015,
nan, instagram ,nan, 2025-08-10 ,2025-05-17,WELCOME10,395.92,40170.0,,172.0,8551.21,0.2460293779829661,0.1248
CAMP3083, facebook ,seasonal_sale,2025-09-06, 2024-05-25 ,nan,77.67,12117.0,449.0,46.0,5390.52,0.0371,0.1024
nan,facebook, brand_awareness ,2024-09-18,2025-04-27, BF2025 ,489.04,21195.0,374.0,23.0,2678.98,0.0176,0.0615
CAMP3085,email,nan,2025-09-18,nan,nan,497.13,1401.0,35.0,7.0,576.51,0.025,0.2
 CAMP3086 ,google_ads,brand_awareness,2025-05-03,2025-08-13, SUMMER15 ,150.65,4238.0,175.0,15.0,442.32,0.0413,0.0857
CAMP3087,in_app, new_arrival ,2025-08-30,nan,SUMMER15,302.94,8935.0,200.0,21.0,2430.48,0.0224,
CAMP3088,in_app,nan,2024-01-25,2025-10-24,nan,240.81,48726.0,2130.0,122.0,9214.33,0.0437,0.0573
camp3089, INSTAGRAM ,new_arrival, 2025-07-28 ,2024-05-27,SUMMER15,384.38,28557.0,1809.0,173.0,13868.44,0.0633,0.0956
 CAMP3090 ,in_app,new_arrival,2024-05-03,2025-05-29,BF2025,370.76,27260.0,1896.0,106.0,8051.44,0.0696,0.0559
camp3091,in_app,retargeting,2024-10-16,2024-04-22,nan,364.43,,1685.0,61.0,87556.8156026327,0.0463,0.0362
nan,instagram, brand_awareness ,2025-07-23, 2024-05-13 , NAN ,131.74,6282.0,,37.0,87556.8156026327,0.0412,0.1429
camp3093,in_app,retargeting,2024-10-25,2024-05-15,WELCOME10,84.42,21131.0,814.0,22.0,2024.45,0.0385,0.027
CAMP3094, google_ads ,retargeting,nan, 2024-12-12 ,SUMMER15,277.26,22826.0,1645.0,157.0,,0.0721,0.0954
CAMP3095,google_ads,retargeting,2025-07-22,2024-09-17,nan,316.41,38892.0,1343.0,146.0,10498.25,0.0345,0.1087
 CAMP3096 ,in_app,SEASONAL_SALE,2024-04-24,2024-11-10,WELCOME10,485.44,33699.0,1452.0,39.0,5715.15,0.0431,0.0269
CAMP3097,in_app, nan , 2024-08-04 ,2025-09-23,nan,473.0,30056.0,1283.0,,8779.08,0.0427,0.113
nan,in_app, seasonal_sale ,2025-08-14, 2025-07-08 ,nan,161.19,30954.0,1924.0,92.0,,0.0622,0.0478
CAMP3099, in_app ,BRAND_AWARENESS,2025-10-05, 2024-03-26 , SUMMER15 ,231.95,24442.0,1530.0,86.0,5116.05,,0.0562
CAMP3100, INSTAGRAM ,retargeting,2024-09-25,nan,NAN,254.53,10965.0,625.0,71.0,5200.21,0.057,0.1136
camp3067,nan,new_arrival,nan,2025-04-17,nan,428.08,30101.0,1366.0,76.0,8448.58,0.0454,0.0556
CAMP3102,google_ads,BRAND_AWARENESS,2024-11-19,2025-11-17,FREESHIP,457.77,30655.0,385.0,54.0,1526.39,0.0126,0.1403
CAMP3103,nan, retargeting ,2025-09-16, NAN ,nan,202.4,19345.0,238.0,27.0,3084.68,0.0123,0.1134
 CAMP3104 ,in_app,seasonal_sale,2025-05-06,2024-06-29,nan,62.41,45583.0,940.0,92.0,9155.3,0.0206,0.0979
 CAMP3105 , in_app ,seasonal_sale,2025-04-25, 2025-09-13 ,nan,120.22,6243.0,229.0,24.0,3558.78,0.0367,0.1048
CAMP3106,in_app, new_arrival ,2025-04-02,2024-12-03,nan,478.33,,1659.0,30.0,2297.56,0.057,
CAMP3727,GOOGLE_ADS, retargeting , 2024-05-02 ,2024-10-12,nan,269.65,163364.3987091328,806.0,80.0,2129.95,0.0256,
camp3108,email,new_arrival,2025-04-12,2024-06-10,nan,479.52,3492.0,270.0,47.0,995.38,0.0773,0.1741
CAMP3109, google_ads ,NEW_ARRIVAL,2024-06-27,2024-09-01,nan,399.8,10231.0,475.0,38.0,2267.66,0.0464,0.08
camp3110, google_ads ,NAN,2025-07-04,2024-10-08,nan,92.54,20191.0,1098.0,100.0,9332.74,0.0544,0.0911
CAMP3111,facebook,seasonal_sale,nan,2024-01-27, NAN ,117.77,4088.0,310.0,20.0,2048.24,0.0758,0.0645
CAMP3112,in_app,SEASONAL_SALE,2025-08-28,2025-11-11,WELCOME10,381.03,42078.0,1805.0,95.0,3094.65,0.0429,0.0526
camp3113,google_ads,new_arrival,2025-08-04,2025-01-21,SUMMER15,432.24,1367.0,21.0,0.0,0.0,0.0154,0.0
CAMP3301,in_app, brand_awareness ,2024-01-19,2025-10-30,WELCOME10,443.13,46093.0,3464.0,111.0,10313.9,0.0752,
CAMP3115,email,retargeting,2024-11-12,2024-06-27,WELCOME10,393.64,34165.0,2291.0,212.0,24215.01,0.0671,0.0925
nan,instagram,retargeting, 2025-05-30 ,2025-01-17,freeship,157.6,39419.0,2869.0,312.0,18234.56,0.0728,0.1087
 CAMP3117 ,google_ads,retargeting,2024-12-06,2025-03-30,WELCOME10,182.75,30493.0,1394.0,,15867.1,0.0457,0.0954
 CAMP3118 ,in_app, nan ,2024-11-06, 2025-08-26 , NAN ,376.31,29756.0,1123.0,97.0,7333.29,0.0377,0.0864
 CAMP3119 ,nan, new_arrival , 2024-09-18 ,2025-02-17, nan ,80.66,3371.0,57.0,2.0,184.43,0.0169,0.0351
CAMP3120,instagram,new_arrival,2024-06-18,nan,BF2025,310.79,30230.0,1761.0,,5874.55,0.0583,0.0642
CAMP3121, in_app ,retargeting,nan, 2024-04-14 , NAN ,,9985.0,375.0,22.0,1799.23,0.0376,0.0587
CAMP3122, google_ads , brand_awareness ,2024-05-10,2025-01-03,nan,186.79,44484.0,2881.0,126.0,87556.8156026327,0.0648,0.0437
 CAMP3123 ,facebook, seasonal_sale , 2024-06-01 ,2024-05-17, nan ,77.19,16739.0,1074.0,53.0,2798.85,0.0642,0.0493
 CAMP3124 ,in_app, brand_awareness ,nan, 2025-08-25 ,nan,205.23,49699.0,2823.0,168.0,22231.3,0.0568,0.0595
 CAMP3125 ,google_ads,SEASONAL_SALE,2024-06-24,2024-03-16, NAN ,329.61,38451.0,1850.0,120.0,14736.12,0.0481,0.0649
CAMP3126,google_ads,RETARGETING,2025-10-05, 2025-09-12 ,SUMMER15,142.63,23584.0,577.0,18.0,877.79,0.0245,0.0312
CAMP3127, facebook , brand_awareness ,nan,2024-02-19,summer15,1612.48950299938,4726.0,50.0,1.0,73.34,0.0106,0.02
CAMP3128,email,brand_awareness,2024-09-17, 2025-06-04 ,BF2025,308.42,33150.0,2039.0,209.0,26687.58,0.0615,0.1025
 CAMP3129 , instagram ,seasonal_sale,2025-02-07,2025-08-06,nan,,9119.0,123.0,4.0,495.47,0.0135,0.0325
 CAMP3130 ,email,NAN,2025-03-02,nan,WELCOME10,336.42,9634.0,387.0,36.0,4001.52,0.0402,0.093
camp3131,email,new_arrival,2024-01-30,2025-02-12,SUMMER15,54.06,49670.0,,86.0,11057.95,0.0529,0.0327
CAMP3132, email ,seasonal_sale,2025-02-01,2025-03-04, NAN ,1612.48950299938,14805.0,9564.902277963532,,87556.8156026327,0.0247,0.1151
CAMP3133, google_ads ,brand_awareness,2025-01-08,2024-06-07,nan,93.22,,1066.0,31.0,3208.6,0.0404,0.0291
CAMP3134, nan ,seasonal_sale,2025-04-17,2024-11-05,nan,341.91,43060.0,2089.0,102.0,8472.47,0.0485,0.0488
 CAMP3135 , EMAIL , new_arrival ,2024-02-06,2025-01-25,SUMMER15,332.69,34667.0,1194.0,108.0,5773.46,0.0344,
CAMP3136,nan,retargeting,2024-04-28,2025-05-26,nan,454.65,49241.0,2880.0,98.0,6992.73,0.0585,0.034
CAMP3137,in_app, retargeting , 2025-04-15 ,2024-12-08,nan,243.03,42343.0,1452.0,169.0,12024.55,,0.1164
CAMP3138,instagram,new_arrival,2025-08-14,2024-11-14,nan,405.91,3387.0,142.0,10.0,401.77,0.0419,0.0704
CAMP3139, google_ads ,brand_awareness, 2025-05-07 ,2025-07-08,FREESHIP,424.03,7190.0,437.0,39.0,3412.21,0.0608,0.0892
CAMP3140,google_ads,nan,2025-07-23,2024-07-08,BF2025,328.13,24968.0,,83.0,11566.24,0.0572,0.0581
CAMP3141,instagram,SEASONAL_SALE, 2025-09-11 ,2025-11-12,nan,208.67,41041.0,2115.0,142.0,16245.03,0.0515,0.0671
CAMP3142,instagram,retargeting, 2024-03-04 ,2024-12-15,nan,418.79,42005.0,2410.0,934.6249131116298,15851.38,0.0574,0.0959
CAMP3468,in_app,seasonal_sale,2024-09-05,2024-12-18,nan,330.34,34855.0,2397.0,347.0,32007.23,0.0688,0.1448
 camp3144 ,email,SEASONAL_SALE,2024-07-24,2024-06-12,SUMMER15,128.58,35833.0,845.0,107.0,12173.08,0.0236,0.1266
CAMP3145,email,retargeting,2024-09-18, 2024-04-08 , nan ,476.25,43331.0,1543.0,84.0,11639.73,0.0356,0.0544
CAMP3146, IN_APP ,seasonal_sale,2024-09-30, 2025-03-21 ,BF2025,184.33,11058.0,822.0,29.0,2364.49,0.0743,0.0353
CAMP3147,google_ads,NAN,2025-03-31,2024-08-27,nan,157.93,,2734.0,292.0,27126.18,0.0617,
 nan ,FACEBOOK,RETARGETING,2024-08-16,2025-05-29,WELCOME10,113.45,,1745.0,239.0,,0.0479,0.137
 CAMP3149 ,facebook,new_arrival,2024-09-17,2024-10-18,nan,238.35,,,172.0,11998.23,0.0656,0.1226
 nan ,email,brand_awareness,2025-02-26,2025-05-06,nan,175.86,4515.0,262.0,25.0,2901.24,0.058,0.0954
CAMP3151,facebook,seasonal_sale,2025-02-21, 2025-02-21 ,nan,,43087.0,1346.0,54.0,2418.49,0.0312,0.0401
CAMP3872,instagram,brand_awareness, 2024-03-23 ,2024-08-02,nan,427.68,35730.0,670.0,11.0,1363.03,0.0188,0.0164
CAMP3153,EMAIL,retargeting,2025-02-08,2024-07-08,nan,401.06,6258.0,342.0,9.0,1315.3,0.0547,0.0263
 CAMP3154 ,in_app,seasonal_sale,2024-07-23,2024-08-13,SUMMER15,178.98,24557.0,575.0,21.0,2211.07,0.0234,0.0365
 nan ,GOOGLE_ADS,seasonal_sale,2025-09-10,nan,nan,,46091.0,2333.0,180.0,23302.78,0.0506,0.0772
camp3156,google_ads, retargeting ,2025-10-27,2025-05-15,nan,119.78,37840.0,2698.0,150.0,19437.17,0.0713,0.0556
 CAMP3157 ,instagram,retargeting, 2025-04-15 ,nan,WELCOME10,476.78,23011.0,637.0,51.0,2129.68,0.0277,0.0801
CAMP3158, NAN ,brand_awareness,2025-08-08,nan,BF2025,265.22,42408.0,1927.0,234.0,9149.85,0.0454,0.1214
nan,INSTAGRAM,SEASONAL_SALE,2025-04-10,2024-08-06,BF2025,125.39,41602.0,2471.0,175.0,21486.77,0.0594,
CAMP3160,facebook,seasonal_sale,2025-06-20,2024-05-07,WELCOME10,156.36,9921.0,159.0,16.0,453.92,0.016,0.1006
nan,IN_APP,nan,2024-05-08,2024-09-14,nan,417.94,8223.0,100.0,10.0,436.69,,0.1
CAMP3162, google_ads ,new_arrival,nan, 2024-03-16 ,NAN,245.29,24161.0,1455.0,174.0,21674.84,0.0602,0.1196
CAMP3163, facebook ,seasonal_sale,2025-05-14, 2024-04-02 , nan ,1612.48950299938,7332.0,123.0,11.0,1474.77,0.0168,0.0894
nan,instagram,brand_awareness,2024-05-05,2025-02-15,BF2025,189.61,8317.0,,,3802.0,0.2460293779829661,
nan,nan, new_arrival ,2024-07-19,2024-04-19,SUMMER15,248.22,43683.0,2699.0,372.0,,0.0618,0.1378
CAMP3166,facebook,brand_awareness, 2024-06-03 ,nan,BF2025,184.91,18636.0,802.0,128.0,8702.42,0.043,0.1596
CAMP3167,google_ads,brand_awareness,2025-06-29,2024-06-05, nan ,278.79,37111.0,988.0,934.6249131116298,6632.75,0.0266,0.082
 CAMP3168 ,instagram,seasonal_sale,2024-03-20,nan,SUMMER15,338.45,28132.0,1923.0,934.6249131116298,5044.44,0.0684,0.0296
 CAMP3169 ,instagram,retargeting,2025-05-21,2025-05-28, nan ,441.36,9263.0,330.0,33.0,953.36,,
nan,nan,retargeting,2025-10-29, 2024-12-16 ,FREESHIP,144.13,18945.0,861.0,58.0,3743.47,0.0454,0.0674
CAMP3171,google_ads,retargeting,2024-10-08,2024-07-23,nan,192.98,15884.0,448.0,44.0,2331.52,0.0282,0.0982
CAMP3172,facebook, retargeting , 2024-05-18 ,nan,NAN,322.45,22804.0,9564.902277963532,52.0,4456.79,0.0626,0.0364
nan,in_app,retargeting, 2025-02-25 ,2024-07-13,WELCOME10,270.09,35665.0,1257.0,48.0,4051.67,0.0352,0.0382
CAMP3174,in_app,SEASONAL_SALE,2025-07-28,2024-12-13,NAN,59.26,19006.0,425.0,40.0,1811.61,0.0224,0.48089250936787425
NAN,nan,nan,2025-08-13,2025-07-12,WELCOME10,391.67,27453.0,2104.0,199.0,14625.42,0.0766,0.0946
CAMP3176,nan,brand_awareness,2025-02-26, 2024-02-26 ,nan,480.9,32404.0,2431.0,225.0,8644.58,0.075,0.0926
camp3177,nan, brand_awareness ,2024-09-24, 2025-04-01 , SUMMER15 ,351.55,23467.0,9564.902277963532,89.0,6527.29,0.0748,0.0507
 CAMP3178 , FACEBOOK ,new_arrival,2025-09-16,2024-11-03,nan,351.79,42758.0,1572.0,233.0,20316.17,0.0368,0.1482
CAMP3179,google_ads,new_arrival,2025-01-11,NAN, nan ,479.78,27754.0,1793.0,163.0,13364.69,,0.0909
 NAN ,email, new_arrival ,2024-07-19,2024-04-03,welcome10,,6291.0,406.0,32.0,2711.25,0.0645,0.0788
 CAMP3181 ,FACEBOOK,retargeting,2024-08-16,2025-11-15,SUMMER15,,8954.0,679.0,55.0,4470.99,0.0758,0.081
nan,in_app,retargeting,2024-11-01,2025-09-07,nan,483.71,15008.0,1166.0,107.0,5257.98,,0.0918
NAN, IN_APP ,SEASONAL_SALE,2025-01-20,2024-10-23,bf2025,131.33,19802.0,607.0,20.0,911.0,0.0307,
CAMP3184,nan,seasonal_sale,2025-04-01,2024-07-15,NAN,220.66,46078.0,2917.0,,12342.62,0.0633,
CAMP3185,google_ads, seasonal_sale ,2025-08-19,2025-09-18,nan,462.55,33747.0,2430.0,356.0,13659.95,0.072,0.1465
CAMP3186,google_ads,seasonal_sale,2024-03-19,2024-04-14,SUMMER15,76.97,20979.0,1492.0,113.0,5672.46,0.0711,
CAMP3187, in_app ,NEW_ARRIVAL,2024-01-13,2024-12-24,SUMMER15,72.92,22796.0,1274.0,88.0,9610.41,,0.0691
CAMP3188,google_ads,brand_awareness, 2025-03-19 ,2024-06-12,nan,155.34,9882.0,581.0,46.0,2159.33,0.0588,0.0792
NAN,email,NEW_ARRIVAL, nan ,2024-06-05, SUMMER15 ,196.76,16620.0,1126.0,146.0,13057.6,0.0677,0.1297
CAMP3578,EMAIL,brand_awareness, 2025-08-08 ,2024-12-02,nan,255.92,2240.0,68.0,5.0,318.73,0.0304,0.0735
CAMP3191,instagram, nan , 2024-10-23 ,NAN,NAN,66.93,40262.0,1415.0,195.0,15583.56,0.0351,
CAMP3192, in_app ,new_arrival,2025-10-08,2025-10-04, nan ,168.83,41562.0,2385.0,303.0,,0.0574,0.127
CAMP3193,google_ads,retargeting,2025-02-12,2025-08-26,BF2025,137.58,8787.0,593.0,22.0,3296.55,0.0675,0.0371
camp3194,in_app,new_arrival, 2024-02-28 ,2024-04-14,nan,83.94,5648.0,,10.0,1228.49,0.0221,0.08
 CAMP3235 ,in_app,SEASONAL_SALE,2024-07-02,2025-11-13,nan,372.77,29441.0,1503.0,182.0,18787.59,0.0511,0.1211
 CAMP3196 ,EMAIL,nan,NAN,2024-08-07, nan ,223.05,,1095.0,48.0,5131.83,0.0219,
 nan ,google_ads,SEASONAL_SALE,2025-03-26,2025-10-22,nan,178.95,41123.0,9564.902277963532,206.0,5763.57,0.0555,
CAMP3198,nan, brand_awareness ,2024-03-07, 2024-12-25 ,NAN,88.48,20098.0,424.0,25.0,,0.0211,0.059
CAMP3199,facebook,seasonal_sale, 2024-11-05 ,2024-06-12,SUMMER15,298.97,,2215.0,124.0,9485.91,0.0462,
CAMP3200,facebook, brand_awareness ,2025-07-02,2025-11-02,nan,94.9,12801.0,181.0,6.0,666.84,0.0141,0.0331
 CAMP3201 ,in_app,seasonal_sale,2024-10-25,2024-09-23, FREESHIP ,,42184.0,563.0,49.0,3171.13,0.0133,0.087
CAMP3202,nan, brand_awareness ,2024-11-23,2025-02-06,nan,214.43,23069.0,9564.902277963532,117.0,5984.39,0.0469,0.108
