event_id,session_id,customer_id,event_type,event_datetime,sku,quantity,unit_price
EVT200037,SESS100017,CUST1400,page_view,2026-01-21 09:10:34.000000,,,
EVT200038,SESS100017,CUST1400, product_view ,2026-01-21 09:11:25.000000,SKU10025,,262.36
EVT200039,SESS100018,CUST1473,page_view,2025-02-24 13:53:14.000000,,,
EVT200040,SESS100018,CUST1473,product_view,2025-02-24 13:53:21.000000,SKU10125,,275.43
EVT200041,SESS100019,CUST1232,page_view,2025-03-28 07:52:12.000000,,,
EVT200042,SESS100019,CUST1232,product_view,2025-03-28 07:53:06.000000,,,75.09
EVT200043,SESS100020,CUST1291,page_view,2025-07-10 19:19:59.000000,,,
EVT200044,SESS100020,CUST1291,product_view,2025-07-10 19:20:41.000000,SKU10055,,86.25
EVT200045,SESS100021,CUST1134,,2025-03-21 10:33:46.000000,,,
EVT200046,SESS100021,CUST1134,product_view,2025-03-21 10:34:38.000000,SKU10140,,
EVT200047,SESS100021,CUST1134,add_to_cart,2025-03-21 10:35:23.000000,SKU10140,4.0,321.34
EVT200048,SESS100022,CUST1370,page_view,2025-04-13 23:16:41.000000,,,
EVT200049,,,product_view,2025-04-13 23:17:01.000000,SKU10113,,104.71
EVT200050,SESS100023,CUST1245,page_view,,,,
EVT200051,SESS100024,CUST1419,page_view,2025-02-26 07:54:05.000000,,,
EVT200052,SESS100024,CUST1419,product_view,2025-02-26 07:54:16.000000,SKU10141,,104.19
EVT200053,SESS100025,CUST1211,page_view,2026-02-11 02:56:18.000000,,,
EVT200054,,CUST1211,product_view,2026-02-11 02:56:42.000000,SKU10093,,338.04
EVT200055,SESS100025,CUST1211,add_to_cart,2026-02-11 02:58:12.000000,SKU10093,3.0,338.04
EVT200056,SESS100026,CUST1089,page_view,2025-07-14 15:38:02.000000,,,
EVT200057,SESS100027,CUST1218,page_view,2025-04-13 06:58:42.000000,,,
EVT200058,SESS100027,CUST1218,product_view,2025-04-13 06:58:58.000000,SKU10104,,24.71
EVT200059,SESS100027,CUST1218, add_to_cart ,2025-04-13 07:00:03.000000,SKU10104,2.0,24.71
EVT200060,SESS100027,CUST1218,begin_checkout,2025-04-13 07:03:27.000000,SKU10104,2.0,24.71
EVT200061,SESS100027,CUST1218,purchase,2025-04-13 07:05:59.000000,SKU10104,2.0,24.71
EVT200062,SESS100028,CUST1108,page_view,2025-12-28 14:33:24.000000,,,
EVT200063,,CUST1108,product_view,2025-12-28 14:33:44.000000,SKU10127,,50.76
EVT200064,SESS100028,CUST1108,add_to_cart,2025-12-28 14:34:50.000000,SKU10127,3.0,50.76
EVT200065,,CUST1108, begin_checkout ,2025-12-28 14:34:59.000000,SKU10127,3.0,50.76
EVT200066,SESS100029,CUST1143,page_view,2025-11-22 07:09:35.000000,,,
EVT200067,SESS100029,CUST1143,product_view,2025-11-22 07:09:50.000000,SKU10153,,328.51
EVT200068,SESS100030,CUST1487,,2025-06-13 23:23:13.000000,,,
EVT200069,SESS100031,CUST1141,page_view,2025-10-25 16:38:25.000000,,,
EVT200070,SESS100032,CUST1075,page_view,2026-02-11 22:08:07.000000,,,
EVT200071,SESS100033,,page_view,2025-10-22 15:28:49.000000,,,
EVT200072,SESS100033,CUST1102,product_view,2025-10-22 15:29:09.000000,SKU10038,,239.32
EVT200073,SESS100033,CUST1102,add_to_cart,2025-10-22 15:30:53.000000,SKU10038,4.0,239.32
EVT200074,SESS100033,CUST1102,begin_checkout,,SKU10038,4.0,239.32
EVT200075,SESS100035,CUST1488,page_view,2025-05-10 12:20:09.000000,,,
EVT200076,SESS100035,CUST1488,product_view,2025-05-10 12:21:03.000000,SKU10133,,240.79
EVT200077,SESS100036,CUST1328,page_view,2025-07-01 19:12:01.000000,,,
EVT200078,SESS100036,CUST1328, product_view ,2025-07-01 19:12:44.000000,SKU10049,,127.03
EVT200079,SESS100037,CUST1250,page_view,2025-07-19 05:12:19.000000,,,
EVT200080,SESS100037,CUST1250,product_view,2025-07-19 05:12:40.000000,SKU10044,,126.15
EVT200081,SESS100037,CUST1250, add_to_cart ,2025-07-19 05:14:41.000000,SKU10044,3.0,126.15
EVT200082,SESS100037,CUST1250,begin_checkout,2025-07-19 05:15:15.000000,SKU10044,3.0,126.15
EVT200083,SESS100038,CUST1298,page_view,2025-10-18 11:47:17.000000,,,
EVT200084,SESS100039,,page_view,2025-03-28 05:12:32.000000,,,
EVT200085,SESS100041,CUST1352,page_view,2025-03-09 06:22:22.000000,,,
EVT200086,SESS100041,CUST1352,product_view,,SKU10164,,420.68
EVT200087,SESS100041,CUST1352,add_to_cart,2025-03-09 06:24:47.000000,SKU10164,3.0,420.68
EVT200088,SESS100041,CUST1352,begin_checkout,2025-03-09 06:27:08.000000,SKU10164,3.0,420.68
EVT200089,SESS100042,CUST1303,page_view,2026-02-12 11:24:37.000000,,,
EVT200090,SESS100044,CUST1331,page_view,2025-08-18 12:45:39.000000,,,
EVT200091,SESS100044,CUST1331,product_view,,SKU10116,,247.1
EVT200092,SESS100044,CUST1331,add_to_cart,2025-08-18 12:47:02.000000,SKU10116,3.0,247.1
EVT200093,,,page_view,2026-01-26 20:18:28.000000,,,
EVT200094,SESS100046,,product_view,,SKU10181,,93.27
EVT200095,SESS100047,CUST1316,page_view,,,,
EVT200096,SESS100047,CUST1316,product_view,2025-08-14 22:59:28.000000,SKU10097,,133.61
EVT200097,SESS100048,CUST1479,page_view,2026-02-08 14:12:32.000000,,,
EVT200098,,CUST1479,product_view,,SKU10015,,
EVT200099,SESS100049,,page_view,2025-03-05 13:00:39.000000,,,
EVT200100,SESS100049,CUST1119,product_view,2025-03-05 13:00:50.000000,SKU10081,,313.85
EVT200101,SESS100050,CUST1161,page_view,2026-01-30 05:30:13.000000,,,
EVT200102,SESS100051,CUST1059,page_view,2025-05-05 05:47:39.000000,,,
EVT200103,SESS100051,CUST1059,product_view,2025-05-05 05:48:20.000000,SKU10049,,127.03
EVT200104,SESS100053,CUST1417,page_view,2025-12-31 01:26:34.000000,,,
EVT200105,SESS100054,CUST1171,page_view,2025-03-09 16:45:08.000000,,,
EVT200106,SESS100055,CUST1056,page_view,2025-05-09 16:51:10.000000,,,
EVT200107,SESS100056,CUST1028,page_view,2025-03-17 09:16:10.000000,,,
EVT200108,SESS100056,CUST1028,product_view,,SKU10089,,168.99
EVT200109,SESS100057,CUST1086,page_view,2025-10-30 01:31:06.000000,,,
EVT200110,SESS100057,CUST1086,product_view,2025-10-30 01:31:14.000000,SKU10044,,126.15
EVT200111,SESS100058,CUST1207,page_view,2025-07-04 17:12:51.000000,,,
EVT200112,,CUST1099,page_view,2025-08-09 07:04:10.000000,,,
EVT200113,,CUST1099,product_view,2025-08-09 07:04:34.000000,,,461.22
EVT200114,SESS100059,CUST1099,add_to_cart,2025-08-09 07:05:41.000000,SKU10009,3.0,461.22
EVT200115,SESS100059,CUST1099,begin_checkout,2025-08-09 07:08:57.000000,SKU10009,3.0,461.22
EVT200116,SESS100059,CUST1099,purchase,2025-08-09 07:09:11.000000,SKU10009,3.0,461.22
EVT200117,SESS100060,CUST1189,page_view,2025-03-27 05:19:59.000000,,,
EVT200118,SESS100060,CUST1189,product_view,2025-03-27 05:20:59.000000,SKU10117,,
EVT200119,SESS100060,CUST1189,add_to_cart,2025-03-27 05:21:15.000000,SKU10117,4.0,186.06
,SESS100062,,page_view,2025-11-07 18:39:01.000000,,,
EVT200121,SESS100062,CUST1269,product_view,2025-11-07 18:39:45.000000,SKU10079,,105.96
EVT200122,SESS100062,CUST1269,add_to_cart,2025-11-07 18:41:19.000000,SKU10079,4.0,105.96
EVT200123,SESS100062,CUST1269,begin_checkout,2025-11-07 18:43:38.000000,SKU10079,4.0,105.96
EVT200124,SESS100063,CUST1471,page_view,2025-07-20 02:22:31.000000,,,
EVT200125,,CUST1382,page_view,2025-12-27 11:46:57.000000,,,
EVT200126,SESS100064,CUST1382,product_view,2025-12-27 11:47:13.000000,SKU10067,,171.82
EVT200127,SESS100064,CUST1382,add_to_cart,2025-12-27 11:48:24.000000,SKU10067,4.0,171.82
EVT200128,SESS100064,CUST1382,begin_checkout,2025-12-27 11:50:05.000000,SKU10067,4.0,171.82
EVT200129,SESS100065,CUST1453,page_view,2026-01-11 11:48:56.000000,,,
EVT200130,SESS100065,CUST1453,product_view,2026-01-11 11:49:28.000000,SKU10073,,269.39
,SESS100065,CUST1453,add_to_cart,2026-01-11 11:51:11.000000,SKU10073,,269.39
EVT200132,SESS100066,,page_view,2025-06-21 21:13:18.000000,,,
EVT200133,SESS100066,,product_view,,,,127.53
EVT200134,,,add_to_cart,2025-06-21 21:14:42.000000,SKU10145,2.0,127.53
EVT200135,SESS100066,,begin_checkout,2025-06-21 21:17:10.000000,SKU10145,2.0,127.53
EVT200136,SESS100067,CUST1167,page_view,2025-12-13 00:11:07.000000,,,
EVT200137,SESS100067,CUST1167,product_view,2025-12-13 00:11:42.000000,SKU10055,,86.25
EVT200138,SESS100068,CUST1487,page_view,2026-01-22 17:57:33.000000,,,
EVT200139,SESS100068,CUST1487,product_view,2026-01-22 17:57:40.000000,SKU10031,,213.97
EVT200140,SESS100068,CUST1487,add_to_cart,2026-01-22 18:00:06.000000,SKU10031,4.0,213.97
EVT200141,SESS100070,CUST1031,page_view,2025-08-09 04:34:27.000000,,,
EVT200142,SESS100070,CUST1031,product_view,2025-08-09 04:34:51.000000,SKU10007,,
EVT200143,SESS100071,CUST1485,page_view,2025-12-27 02:06:04.000000,,,
EVT200144,SESS100071,CUST1485,product_view,2025-12-27 02:06:56.000000,SKU10194,,546.65
EVT200145,SESS100071,CUST1485,add_to_cart,2025-12-27 02:08:19.000000,,4.0,546.65
EVT200146,SESS100071,,begin_checkout,2025-12-27 02:09:14.000000,SKU10194,4.0,546.65
EVT200147,SESS100072,CUST1033,page_view,2025-09-08 04:37:35.000000,,,
EVT200148,SESS100072,CUST1033,product_view,2025-09-08 04:37:52.000000,SKU10173,,121.81
EVT200149,SESS100073,CUST1237,PAGE_VIEW,2025-07-24 03:09:41.000000,,,
EVT200150,SESS100073,CUST1237,product_view,2025-07-24 03:10:05.000000,SKU10123,,254.08
EVT200151,SESS100074,CUST1326,page_view,2026-01-18 19:50:54.000000,,,
EVT200152,SESS100074,CUST1326,product_view,2026-01-18 19:51:46.000000,SKU10092,,94.26
EVT200153,SESS100075,CUST1033,page_view,2025-12-08 21:22:35.000000,,,
EVT200154,SESS100075,CUST1033,product_view,2025-12-08 21:23:30.000000,SKU10136,,111.64
EVT200155,SESS100075,CUST1033,,2025-12-08 21:25:15.000000,SKU10136,4.0,111.64
EVT200156,SESS100076,CUST1335,page_view,2025-06-28 08:22:27.000000,,,
EVT200157,SESS100077,CUST1074,page_view,2025-08-12 03:13:00.000000,,,
,SESS100078,CUST1317,page_view,2025-11-28 04:20:41.000000,,,
EVT200159,SESS100078,CUST1317,product_view,2025-11-28 04:20:52.000000,SKU10045,,210.29
EVT200160,SESS100078,CUST1317,add_to_cart,2025-11-28 04:22:34.000000,SKU10045,1.0,210.29
EVT200161,SESS100078,CUST1317,begin_checkout,2025-11-28 04:24:46.000000,SKU10045,1.0,210.29
EVT200162,SESS100079,CUST1008,page_view,2026-02-03 20:37:54.000000,,,
EVT200163,SESS100079,CUST1008,product_view,2026-02-03 20:38:45.000000,SKU10109,,314.75
EVT200164,SESS100080,CUST1015,page_view,2025-03-30 21:13:32.000000,,,
EVT200165,SESS100080,CUST1015,product_view,2025-03-30 21:14:05.000000,SKU10180,,75.86
EVT200166,SESS100081,CUST1415,page_view,2025-04-04 22:50:02.000000,,,
EVT200167,SESS100081,CUST1415,product_view,2025-04-04 22:50:13.000000,SKU10007,,327.49
EVT200168,SESS100082,CUST1364,page_view,2025-12-17 01:05:14.000000,,,
EVT200169,SESS100083,CUST1066,page_view,2025-10-28 16:50:45.000000,,,
EVT200170,SESS100083,CUST1066,product_view,2025-10-28 16:50:52.000000,SKU10097,,133.61
EVT200171,SESS100083,CUST1066,,2025-10-28 16:52:30.000000,SKU10097,1.0,133.61
EVT200172,SESS100084,CUST1168,page_view,2025-03-26 09:08:54.000000,,,
evt200173,SESS100085,CUST1158,page_view,2025-03-30 13:10:28.000000,,,
EVT200174,SESS100085,,product_view,2025-03-30 13:10:46.000000,SKU10045,,210.29
EVT200175,SESS100086,CUST1342,page_view,2025-09-05 09:36:57.000000,,,
EVT200176,SESS100086,CUST1342,product_view,2025-09-05 09:37:46.000000,SKU10066,,270.66
EVT200177,SESS100087,CUST1352,page_view,2025-05-08 14:34:18.000000,,,
EVT200178,SESS100088,CUST1313,page_view,2025-10-07 19:17:32.000000,,,
EVT200179,SESS100089,CUST1278,page_view,2025-06-07 19:44:43.000000,,,
EVT200180,SESS100089,CUST1278,product_view,2025-06-07 19:45:03.000000,SKU10156,,53.83
EVT200181,SESS100089,CUST1278,add_to_cart,2025-06-07 19:46:58.000000,SKU10156,1.0,53.83
EVT200182,SESS100090,CUST1057,page_view,2026-01-08 05:28:49.000000,,,
EVT200183,SESS100090,CUST1057,product_view,2026-01-08 05:29:35.000000,SKU10046,,66.01
,SESS100091,CUST1160,page_view,2026-02-05 16:50:46.000000,,,
EVT200185,SESS100091,CUST1160,product_view,2026-02-05 16:50:56.000000,SKU10004,,537.17
EVT200186,SESS100091,CUST1160,add_to_cart,2026-02-05 16:52:40.000000,SKU10004,2.0,537.17
EVT200187,SESS100092,CUST1487,page_view,,,,
EVT200188,SESS100092,CUST1487,product_view,2025-06-25 16:57:55.000000,SKU10152,,274.03
EVT200189,SESS100092,CUST1487,add_to_cart,2025-06-25 17:00:19.000000,SKU10152,3.0,274.03
EVT200190,SESS100092,CUST1487,begin_checkout,2025-06-25 17:01:10.000000, SKU10152 ,3.0,274.03
EVT200191,SESS100093,CUST1168,page_view,2025-12-01 03:22:16.000000,,,
EVT200192,SESS100093,CUST1168,product_view,2025-12-01 03:22:38.000000,SKU10115,,37.83
EVT200193,SESS100095,CUST1367,page_view,2025-06-30 09:55:27.000000,,,
EVT200194,SESS100095,CUST1367,product_view,2025-06-30 09:55:59.000000,,,122.32
EVT200195,SESS100095,CUST1367,add_to_cart,2025-06-30 09:58:04.000000,SKU10072,,122.32
EVT200196,SESS100095,CUST1367,begin_checkout,2025-06-30 09:58:32.000000, sku10072 ,3.0,122.32
EVT200197,SESS100096,CUST1421,page_view,2026-01-21 16:17:31.000000,,,
EVT200198,SESS100096,CUST1421,product_view,2026-01-21 16:18:04.000000,SKU10179,,205.59
EVT200199,SESS100097,CUST1435,page_view,2025-11-15 17:10:16.000000,,,
EVT200200,SESS100098,CUST1114,page_view,2025-02-18 05:06:30.000000,,,
EVT200201,SESS100098,CUST1114,product_view,2025-02-18 05:07:08.000000,SKU10047,,403.03
EVT200202,SESS100098, cust1114 ,add_to_cart,2025-02-18 05:08:41.000000,SKU10047,3.0,403.03
EVT200203,SESS100098,CUST1114,begin_checkout,2025-02-18 05:10:33.000000,SKU10047,3.0,403.03
EVT200204,SESS100098,CUST1114,purchase,2025-02-18 05:14:37.000000,SKU10047,3.0,403.03
EVT200205,SESS100099,CUST1368,page_view,2026-02-07 05:46:25.000000,,,
EVT200206,SESS100100,CUST1103,page_view,2025-02-23 06:16:49.000000,,,
EVT200207,SESS100100,CUST1103,product_view,2025-02-23 06:17:31.000000,SKU10003,,
EVT200208,SESS100103,CUST1076,page_view,2025-12-03 12:35:37.000000,,,
EVT200209,SESS100103,CUST1076,product_view,2025-12-03 12:36:18.000000,SKU10124,,117.56
 EVT200210 ,SESS100104,CUST1052,page_view,2025-03-28 21:32:17.000000,,,
EVT200211,SESS100104,CUST1052,product_view,2025-03-28 21:33:00.000000,SKU10042,,473.53
EVT200212,SESS100106,CUST1349,page_view,2025-07-16 09:38:40.000000,,,
EVT200213,SESS100106,,product_view,2025-07-16 09:38:49.000000,SKU10021,,435.93
EVT200214,SESS100106,CUST1349,add_to_cart,,SKU10021,2.0,435.93
EVT200215,SESS100106,CUST1349,begin_checkout,2025-07-16 09:43:12.000000,SKU10021,2.0,435.93
EVT200216,SESS100107,,page_view,2026-01-01 10:02:59.000000,,,
EVT200217,SESS100107,CUST1077,product_view,2026-01-01 10:03:28.000000,SKU10122,,65.89
EVT200218,SESS100107,CUST1077,add_to_cart,2026-01-01 10:04:47.000000,SKU10122,3.0,65.89
EVT200219,SESS100107,CUST1077,begin_checkout,2026-01-01 10:06:28.000000,SKU10122,,65.89
EVT200220,SESS100107,CUST1077,purchase,2026-01-01 10:09:40.000000,SKU10122,3.0,65.89
EVT200221,SESS100108,CUST1189,page_view,2025-06-17 15:31:49.000000,,,
EVT200222,SESS100108,CUST1189,product_view,,SKU10173,,121.81
EVT200223,SESS100109,,page_view,2025-12-24 19:05:20.000000,,,
EVT200224,SESS100109,CUST1090,product_view,2025-12-24 19:06:06.000000,SKU10020,,
EVT200225,SESS100110,CUST1261,page_view,2025-06-08 05:41:04.000000,,,
EVT200226,SESS100110,CUST1261,product_view,2025-06-08 05:41:55.000000,SKU10001,,216.68
EVT200227,SESS100111,CUST1119,page_view,2025-09-25 22:51:21.000000,,,
EVT200228,SESS100111,CUST1119,product_view,2025-09-25 22:51:56.000000,SKU10073,,269.39
EVT200229,SESS100111,CUST1119,add_to_cart,2025-09-25 22:53:14.000000,SKU10073,2.0,269.39
EVT200230,SESS100112,CUST1316,,2025-03-30 04:44:19.000000,,,
EVT200231,SESS100112,CUST1316,product_view,2025-03-30 04:44:29.000000,SKU10128,,133.03
EVT200232,SESS100112,CUST1316,add_to_cart,2025-03-30 04:46:36.000000, SKU10128 ,1.0,133.03
EVT200233,SESS100112,CUST1316,begin_checkout,2025-03-30 04:47:26.000000,SKU10128,1.0,133.03
EVT200234,SESS100114,CUST1147,page_view,2025-11-07 18:06:35.000000,,,
EVT200235,SESS100114,CUST1147,product_view,2025-11-07 18:07:13.000000,SKU10143,,138.79
EVT200236,SESS100114,CUST1147,add_to_cart,2025-11-07 18:09:04.000000,SKU10143,1.0,138.79
EVT200237,SESS100115,CUST1429,page_view,2026-01-10 06:40:17.000000,,,
EVT200238,SESS100115,CUST1429,product_view,,SKU10003,,82.31
EVT200239,SESS100116,,page_view,2025-09-12 08:32:34.000000,,,
EVT200240,SESS100116,,product_view,2025-09-12 08:32:58.000000,SKU10160,,274.32
EVT200241,SESS100116,,add_to_cart,2025-09-12 08:35:20.000000,SKU10160,2.0,274.32
EVT200242,SESS100117,CUST1220,page_view,2025-06-16 00:04:25.000000,,,
EVT200243,SESS100117,CUST1220, product_view ,2025-06-16 00:04:47.000000,SKU10013,,175.39
EVT200244,SESS100118,CUST1470,page_view,,,,
,SESS100118,CUST1470,product_view,2025-02-27 07:32:06.000000,SKU10082,,69.48
EVT200246,SESS100119,CUST1283,page_view,2025-11-19 19:21:37.000000,,,
EVT200247,SESS100119,CUST1283,product_view,2025-11-19 19:21:48.000000,,,19.04
EVT200248,SESS100120,CUST1178,page_view,2025-05-17 21:15:15.000000,,,
EVT200249,SESS100120,,product_view,2025-05-17 21:15:36.000000,SKU10025,,262.36
EVT200250,SESS100121,CUST1096,page_view,2025-07-18 02:35:41.000000,,,
,SESS100121,CUST1096,product_view,2025-07-18 02:35:58.000000,SKU10089,,168.99
,SESS100122,CUST1084,page_view,2025-09-27 13:02:28.000000,,,
EVT200253,SESS100123,,page_view,2025-03-20 17:47:13.000000,,,
EVT200254,SESS100123,,product_view,,SKU10059,,226.78
EVT200255,SESS100123,,add_to_cart,2025-03-20 17:48:17.000000,SKU10059,2.0,226.78
EVT200256,SESS100123,,begin_checkout,2025-03-20 17:51:40.000000,SKU10059,2.0,226.78
EVT200257,SESS100124,CUST1132,page_view,2025-02-15 23:30:12.000000,,,
,SESS100125,CUST1167,page_view,2025-05-02 03:32:08.000000,,,
EVT200259,SESS100127,CUST1082,page_view,2025-12-07 08:55:46.000000,,,
EVT200260,SESS100128,CUST1281,page_view,2025-11-04 12:44:21.000000,,,
EVT200261,SESS100129,CUST1337,page_view,2025-07-14 04:58:45.000000,,,
EVT200262,SESS100129,cust1337,product_view,2025-07-14 04:59:03.000000,SKU10007,,327.49
EVT200263,SESS100132,CUST1369,page_view,2025-03-30 16:38:03.000000,,,
EVT200264,SESS100132,CUST1369,product_view,2025-03-30 16:38:31.000000,SKU10008,,373.85
EVT200265,SESS100132,CUST1369,add_to_cart,2025-03-30 16:39:23.000000,SKU10008,2.0,373.85
EVT200266,SESS100133,CUST1216,,,,,
EVT200267,SESS100133,CUST1216,product_view,2025-11-18 20:51:58.000000,SKU10164,,420.68
EVT200268,SESS100133,CUST1216,add_to_cart,2025-11-18 20:53:38.000000,SKU10164,3.0,420.68
EVT200269,SESS100134,CUST1131,page_view,2025-09-17 07:14:16.000000,,,
evt200270,SESS100134,CUST1131,product_view,2025-09-17 07:14:41.000000,SKU10048,,505.2
EVT200271, SESS100134 , CUST1131 ,add_to_cart,2025-09-17 07:16:20.000000,SKU10048,4.0,505.2
EVT200272,SESS100136,CUST1098,page_view,2026-01-26 02:58:50.000000,,,
EVT200273,SESS100137,CUST1072,page_view,2025-02-18 23:52:10.000000,,,
EVT200274,SESS100138,cust1274,page_view,,,,
EVT200275,SESS100138,cust1274,,2026-02-06 17:15:36.000000,SKU10029,,456.3
EVT200276, SESS100138 ,cust1274,add_to_cart,2026-02-06 17:18:00.000000,sku10029,2.0,456.3
EVT200277,SESS100139,CUST1220,page_view,2025-08-08 20:27:58.000000,,,
EVT200278, sess100140 ,,,2025-03-27 02:42:33.000000,,,
,SESS100140,CUST1256,product_view,2025-03-27 02:42:59.000000,SKU10003,,82.31
EVT200280,SESS100142,CUST1115,page_view,2025-12-25 02:32:53.000000,,,
EVT200281,SESS100142,CUST1115,product_view,2025-12-25 02:33:29.000000,SKU10043,,57.95
EVT200282,SESS100142,CUST1115,add_to_cart,2025-12-25 02:34:15.000000,SKU10043,1.0,57.95
EVT200283,SESS100143,CUST1486,page_view,2025-09-18 14:54:22.000000,,,
EVT200284,SESS100144,CUST1045,page_view,2025-04-18 03:55:07.000000,,,
EVT200285,SESS100145,CUST1000,page_view,2025-08-30 09:08:44.000000,,,
EVT200286,SESS100145,CUST1000,product_view,,SKU10067,,171.82
EVT200287,SESS100146,CUST1160,page_view,2026-01-23 13:55:29.000000,,,
EVT200288,SESS100146,CUST1160,product_view,2026-01-23 13:56:17.000000,SKU10026,,354.92
EVT200289,SESS100146, cust1160 ,add_to_cart,2026-01-23 13:56:31.000000,SKU10026,3.0,
EVT200290,SESS100147,CUST1180,page_view,2025-06-05 04:05:19.000000,,,
,SESS100147,CUST1180,product_view,2025-06-05 04:05:28.000000,SKU10127,,50.76
EVT200292,,cust1343,page_view,2025-05-15 12:20:14.000000,,,
 evt200293 ,SESS100149, CUST1007 ,page_view,2025-07-14 02:29:49.000000,,,
EVT200294,SESS100150,,page_view,2025-10-17 11:52:50.000000,,,
EVT200295,SESS100150,,product_view,2025-10-17 11:53:24.000000,SKU10197,,274.21
EVT200296,SESS100150,,add_to_cart,2025-10-17 11:54:57.000000,SKU10197,4.0,274.21
EVT200297,SESS100150,,begin_checkout,2025-10-17 11:56:42.000000,SKU10197,4.0,274.21
EVT200298,SESS100151,CUST1112,page_view,2025-11-21 12:58:53.000000,,,
EVT200299,SESS100151,CUST1112,product_view,2025-11-21 12:59:15.000000,SKU10178,,364.59
EVT200300,SESS100151,CUST1112,add_to_cart,2025-11-21 13:01:11.000000,SKU10178,1.0,364.59
EVT200301,sess100152,CUST1425,page_view,2025-11-04 07:14:25.000000,,,
EVT200302,,CUST1425,product_view,,SKU10051,,57.19
EVT200303,SESS100153,CUST1154,page_view,2025-08-02 06:33:56.000000,,,
EVT200304,SESS100153,CUST1154,product_view,2025-08-02 06:34:38.000000,SKU10084,,310.58
EVT200305,SESS100153,CUST1154,add_to_cart,2025-08-02 06:36:01.000000,,2.0,310.58
EVT200306,SESS100154,CUST1089,page_view,2025-07-05 17:55:57.000000,,,
EVT200307,SESS100155,cust1314,page_view,2025-12-07 08:10:46.000000,,,
EVT200308,SESS100155,,product_view,2025-12-07 08:10:55.000000,SKU10002,,170.48
,SESS100155,CUST1314,add_to_cart,2025-12-07 08:12:45.000000,SKU10002,4.0,170.48
EVT200310,SESS100157,CUST1010,page_view,2026-02-11 20:40:23.000000,,,
EVT200311,SESS100158,CUST1047,page_view,2025-08-06 16:50:21.000000,,,
