sku,product_name,category,brand,cost_price,retail_price,profit_margin,discount_percent,average_rating
,Shark Steam Mop S1000,Home,Shark,176.92,383.13,0.5382,0.0,2.59
SKU10108,Hanes Comfort Crew Socks 6pk,clothing,Hanes,131.84,272.62,0.5164,25.0,3.41
SKU10109,NYX Soft Matte Lip Cream, beauty ,NYX,164.48,314.75,0.4774,0.0,3.59
SKU10110,Cuisinart 14-Cup Food Processor,,,37.23,,0.5318,30.0,3.39
SKU10111,Patagonia Down Jacket,,Patagonia,23.96,46.14,0.4807,5.0,4.88
SKU10112,Garnier Micellar Cleansing Water,Beauty,Garnier,,377.03,0.6574,0.0,4.52
SKU10113,Nerf Elite 2.0 Eaglepoint, toys ,Nerf,82.52,160.22,,0.0,2.99
SKU10114,Calphalon Classic 10pc Cookware,Home,Calphalon,50.79,104.71,0.5149,0.0,4.98
SKU10115,RXBar Protein Bar Variety 12pk,Food,RXBar,77.79,220.39,0.647,30.0,3.16
SKU10116,LEGO Creator 3-in-1 Treehouse,,LEGO,21.86,37.83,0.4222,0.0,2.33
SKU10117,Tillamook Sharp Cheddar 2lb,Food,Tillamook,160.75,247.1,0.3495,5.0,4.3
SKU10118,Trader Joe's Everything Seasoning,Food,Trader Joe's,100.39,186.06,0.4604,15.0,3.19
SKU10119,Nintendo Switch Joy-Con Set,Toys,Nintendo,179.17,,0.6608,0.0,2.98
SKU10120,1984 by George Orwell,Books,Signet,137.69,194.69,0.2928,,4.8
SKU10121,Aquaphor Healing Ointment,Beauty,Aquaphor,11.15,20.55,0.4574,0.0,2.02
SKU10122,OXO Good Grips Cutting Board,Home,,21.93,37.91,0.4215,0.0,1.33
SKU10123,Fitbit Inspire 3 Band,Sports,,7.01,10.64,0.3412,0.0,4.74
SKU10124,Under Armour Tech 2.0 Tee,Clothing,Under Armour,36.74,65.89,0.4424,15.0,2.71
SKU10125,Zara Oversized Blazer,Clothing,ZARA,118.8,254.08,0.5324,25.0,4.23
SKU10126,Nivea Soft Moisturizing Cream,Beauty,Nivea,86.63,117.56,0.2631,20.0,3.23
SKU10127,Reebok Classic Leather,,Reebok,91.99,275.43,0.666,15.0,
SKU10128,H&M Slim Fit Chinos,Clothing,H&M,107.29,187.97,0.4292,30.0,1.04
SKU10129,Play-Doh 10-Pack Bundle,Toys,Play-Doh,33.49,50.76,0.3402,30.0,
SKU10130,Starbucks Pike Place K-Cups 72,Food,Starbucks,67.5,133.03,0.4926,5.0,3.69
SKU10131,Revlon ColorStay Eyeliner,,Revlon,61.09,159.71,0.6175,20.0,3.4
SKU10132,Converse Chuck Taylor All Star,Clothing,Converse,184.27,507.51,0.6369,25.0,3.05
SKU10133,Logitech MX Master 3S Mouse,Electronics,Logitech,128.12,221.35,0.4212,10.0,4.74
SKU10134,Project Hail Mary by Andy Weir,Books,Ballantine,135.59,219.68,0.3828,0.0,4.21
SKU10135,Ghirardelli Dark Chocolate Squares,Food,Ghirardelli,128.52,240.79,0.4663,25.0,2.5
SKU10136,Hydro Flask 32oz Wide Mouth,Sports,Hydro Flask,54.69,117.12,0.533,30.0,3.33
SKU10137,Nature Valley Granola Bars 48ct,,Nature Valley,15.63,42.83,0.6351,10.0,1.43
SKU10138, Lenovo Tab M10 Plus ,Electronics,Lenovo,,111.64,0.5701,10.0,4.71
SKU10139,iRobot Roomba i3+ Robot Vacuum,Home,iRobot,162.86,246.2,0.3385,5.0,4.38
SKU10140,,Sports,Schwinn,20.99,52.71,,25.0,1.6
SKU10141,Levi's 501 Original Jeans,Clothing,Levi's,91.23,150.47,0.3937,0.0,
SKU10142,UNO Card Game Classic,Toys,Mattel,187.38,321.34,0.4169,0.0,2.81
SKU10143,Crayola 120ct Crayon Box,Toys,Crayola,37.87,104.19,0.6365,30.0,3.4
SKU10144,Perfect Fitness Ab Roller,Sports,Perfect Fitness,62.16,171.53,0.6376,10.0,4.48
SKU10145,Disney Princess Dress-Up Set,Toys,Disney,87.54,138.79,0.3693,0.0,4.23
SKU10146,Fitbit Charge 6 Tracker, electronics ,Fitbit,6.71,18.48,0.6369,10.0,3.05
,Kodiak Cakes Pancake Mix 24oz,Food,Kodiak,53.4,127.53,0.5813,0.0,1.27
SKU10148,VTech KidiZoom Camera Pix,Toys,VTech,145.08,373.42,0.6115,10.0,3.09
SKU10149,Pyrex Glass Measuring Cup Set,Home,Pyrex,43.75,58.07,0.2466,20.0,4.1
SKU10150,Brita Standard Water Filter,Home,Brita,77.46,127.65,0.3932,0.0,2.66
SKU10151,,Beauty,Aveeno,98.04,283.12,0.6537,25.0,1.27
SKU10152,Skinny Pop Popcorn 12pk,Food,skinny pop,124.52,235.31,0.4708,15.0,2.14
SKU10153,Garmin Forerunner 55 Watch,, garmin ,133.82,274.03,0.5117,10.0,1.58
SKU10154,Vaseline Intensive Care Lotion,Beauty,Vaseline,198.13,328.51,0.3969,0.0,1.65
SKU10155,To Kill a Mockingbird by Harper Lee,Books,Grand Central,96.44,282.19,0.6582,30.0,
SKU10156,Philips Hue Starter Kit 4-Pack,Home,Philips,99.26,184.41,0.4617,30.0,2.2
SKU10157,Tommy Hilfiger Polo Shirt,Clothing,Tommy Hilfiger,24.23,53.83,0.5499,15.0,2.65
SKU10158,Calvin Klein Boxer Briefs 3-Pack,Clothing,Calvin Klein,195.78,365.61,0.4645,15.0,1.47
SKU10159,Philips Hue Smart Bulb A19,Electronics,Philips,,30.46,0.3053,0.0,1.6
SKU10160,Rubik's Cube 3x3 Original,Toys,Rubik's,141.5,344.17,0.5889,0.0,1.16
SKU10161,Google Chromecast HD,Electronics,Google,125.01,274.32,0.5443,10.0,1.55
SKU10162,Ralph Lauren Oxford Shirt,Clothing,,190.58,347.02,0.4508,20.0,2.67
SKU10163,Urban Decay All Nighter Spray,Beauty,Urban Decay,145.94,259.8,0.4383,,3.75
SKU10164,The Midnight Library by Matt Haig,Books,Viking,42.34,59.8,0.292,0.0,4.36
SKU10165,Lodge Cast Iron Skillet 12in,Home,Lodge,151.55,420.68,0.6397,0.0,1.03
,Razor A Kick Scooter,Toys,Razor,155.32,368.67,0.5787,15.0,4.2
,Blue Diamond Almonds 16oz,Food,Blue Diamond,,291.26,0.5728,20.0,4.08
SKU10168,Adidas Ultraboost 22 Shoes,Clothing,Adidas,86.36,,0.5211,5.0,4.69
SKU10169,Barbie Dreamhouse 2024 Edition,Toys,Mattel,51.6,67.28,0.2331,0.0,4.83
SKU10170,Kindle Paperwhite 11th Gen,Electronics,AMAZON,46.62,113.02,0.5875,10.0,4.12
SKU10171,Magna-Tiles Clear Colors 32pc,Toys,Magna-Tiles,37.96,68.21,0.4435,10.0,
SKU10172,Wilson NCAA Official Basketball,Sports,Wilson,51.71,135.67,0.6189,10.0,4.86
SKU10173,Nike Training Gloves Unisex,Sports,Nike,41.91,121.81,0.6559,0.0,4.64
SKU10174,Where the Crawdads Sing,Books,Putnam,80.91,209.27,0.6134,0.0,4.23
SKU10175,BOSE QUIETCOMFORT EARBUDS,Electronics,Bose,94.28,174.21,0.4588,15.0,1.8
SKU10176,Sapiens by Yuval Noah Harari,Books,Harper,114.48,171.5,,0.0,2.89
SKU10177,Bowflex SelectTech 552 Dumbbell,Sports,Bowflex,134.64,,0.6664,10.0,4.26
SKU10178,Kirkland Mixed Nuts 2.5lb,Food,Kirkland,31.8,69.72,0.5439,0.0,2.45
SKU10179,Champion Reverse Weave Crew,clothing,Champion,163.26,364.59,0.5522,30.0,2.19
SKU10180,Eucerin Advanced Repair Cream,Beauty,Eucerin,98.01,205.59,0.5233,15.0,2.62
SKU10181,Rubbermaid Food Storage 42pc,Home,Rubbermaid,29.7,75.86,0.6085,30.0,1.95
SKU10182,JBL Flip 6 Bluetooth Speaker,Electronics,JBL,31.56,93.27,0.6616,20.0,4.64
SKU10183,Yoga Mat Pro 6mm Non-Slip,Sports,Gaiam,129.96,195.45,0.3351,5.0,
SKU10184,K'NEX Building Set 705pc,Toys,K'NEX,25.86,42.69,0.3942,0.0,1.59
SKU10185,Trigger Point GRID Foam Roller,Sports,Trigger Point,189.62,324.76,0.4161,25.0,4.8
SKU10186,The Great Gatsby by Fitzgerald,Books,Scribner,154.97,326.13,0.5248,30.0,1.26
SKU10187,La Roche-Posay Toleriane Cleanser,Beauty,La Roche-Posay,79.99,,0.6641,30.0,3.04
SKU10188,Mueller Sports Ankle Brace,,Mueller,60.15,160.99,0.6264,,4.42
SKU10189,Organic Green Tea Matcha 4oz,Food,Jade Leaf,26.15,47.61,0.4507,20.0,2.0
,Hot Wheels 20-Car Gift Pack,Toys,HOT WHEELS,152.99,337.38,0.5465,25.0,1.91
SKU10191,Lara Bar Variety Pack 18ct,Food,Lara Bar,48.04,79.97,0.3993,15.0,1.39
SKU10192,HEAD Penn Championship Tennis Balls,sports,HEAD,150.55,435.85,0.6546,5.0,1.18
SKU10193,Deep Work by Cal Newport,Books,Grand Central,88.29,,0.4718,15.0,4.01
SKU10194,Instant Pot Duo 7-in-1 6Qt,Home,Instant Pot,62.52,87.79,0.2878,25.0,
SKU10195,Uniqlo Heattech Long Sleeve,Clothing,Uniqlo,78.03,172.15,0.5467,20.0,1.43
SKU10196,Razer DeathAdder V3 Mouse,Electronics,Razer,183.84,546.65,0.6637,25.0,
SKU10197,St. Ives Apricot Scrub,Beauty,St. Ives,84.13,163.08,0.4841,30.0,2.86
SKU10198,Think and Grow Rich by Hill,Books,TarcherPerigee,15.3,24.57,0.3773,5.0,
SKU10199,TP-Link Deco Mesh WiFi 6,Electronics,TP-Link,100.65,274.21,0.6329,0.0,
