sku,stock_quantity,reorder_level,warehouse_location,supplier
SKU10047,271.0,55.0,,Atlas Distribution
SKU10048,446.0,,WH-TOR,CoreFreight
SKU10049,121.0,49.0,WH-TOR,NexGen Logistics
SKU10050,138.0,54.0,WH-MUM,GlobalSupplyCo
SKU10051,159.0,26.0,WH-MUM,GlobalSupplyCo
SKU10052,466.0,26.0,,MegaDistro
SKU10053,104.0,39.0, wh-ny ,Pacific Trading
SKU10054,467.0,66.0,WH-NY,GlobalSupplyCo
SKU10055,395.0,35.0,WH-SYD,UrbanTraders
SKU10056,38.0,79.0,WH-TOR,PrimeWholesale
SKU10057,290.0,64.0,WH-SYD,
SKU10058,354.0,25.0,WH-LON,MegaDistro
SKU10059,253.0,39.0,WH-MUM,FastShip
SKU10060,165.0,28.0,WH-NY,GlobalSupplyCo
SKU10061,352.0,75.0,WH-LON,UrbanTraders
SKU10062,122.0,80.0,WH-MUM,Pinnacle Supply
SKU10063,326.0,75.0,WH-LON,MegaDistro
SKU10064,302.0,21.0,,CoreFreight
SKU10065,434.0,73.0,WH-SYD,FastShip
SKU10066,221.0,38.0,WH-NY,Pacific Trading
SKU10067,209.0,36.0,WH-TOR,UrbanTraders
SKU10068,72.0,71.0,WH-LON,FastShip
SKU10069,432.0,,WH-NY,GlobalSupplyCo
SKU10070,451.0,62.0,WH-MUM,MegaDistro
SKU10071,162.0,28.0,WH-TOR,Pinnacle Supply
SKU10072,402.0,56.0,, fastship 
SKU10073,124.0,29.0,WH-LON,GlobalSupplyCo
SKU10074,214.0,30.0,WH-LA,
SKU10075,282.0,63.0,WH-LA,CoreFreight
SKU10076,252.0,78.0,WH-NY,PrimeWholesale
SKU10077,175.0,43.0,WH-MUM,Pacific Trading
SKU10078,479.0,38.0,,PrimeWholesale
SKU10079,426.0,23.0,WH-LA,
SKU10080,317.0,23.0,WH-SYD,FastShip
SKU10081,465.0,31.0,WH-LON,Atlas Distribution
SKU10082,238.0,64.0,WH-NY,CoreFreight
SKU10083,135.0,25.0, WH-MUM ,NexGen Logistics
SKU10084,491.0,68.0,WH-SYD,MegaDistro
SKU10085,413.0,66.0,WH-SYD,GlobalSupplyCo
SKU10087,212.0,59.0,WH-MUM,UrbanTraders
SKU10088,157.0,75.0,WH-LON,Pinnacle Supply
SKU10089,191.0,63.0,WH-TOR,UrbanTraders
SKU10090,122.0,68.0,WH-NY,Atlas Distribution
SKU10091,419.0,69.0,WH-LA,UrbanTraders
SKU10092,330.0,42.0,WH-LON,CoreFreight
SKU10093,463.0,23.0,WH-MUM,Atlas Distribution
SKU10094,43.0,78.0,WH-LON,NexGen Logistics
SKU10095,130.0,36.0,WH-TOR,NexGen Logistics
SKU10096,125.0,80.0,WH-TOR,FastShip
SKU10097,240.0,31.0,WH-LA,Pacific Trading
SKU10098,357.0,75.0,WH-TOR,CoreFreight
SKU10099,447.0,53.0,WH-LON,NexGen Logistics
SKU10100,271.0,67.0,WH-TOR,Pacific Trading
SKU10101,143.0,32.0,WH-MUM,PrimeWholesale
SKU10102,146.0,74.0,WH-LON,CoreFreight
SKU10103,236.0,47.0,,UrbanTraders
SKU10104,91.0,52.0,WH-LON,PrimeWholesale
SKU10105,429.0,59.0,WH-TOR,UrbanTraders
SKU10106,440.0,67.0,WH-LA,Pacific Trading
SKU10108,426.0,78.0,WH-TOR,CoreFreight
SKU10109,458.0,27.0,WH-LON,UrbanTraders
SKU10110,389.0,79.0,WH-LON,CoreFreight
SKU10111,473.0,38.0,WH-SYD,Pacific Trading
SKU10112,342.0,31.0,WH-LON,Atlas Distribution
SKU10113,489.0,72.0,WH-TOR,CoreFreight
SKU10114,458.0,54.0,WH-MUM,PrimeWholesale
SKU10115,274.0,24.0,WH-LA,PrimeWholesale
SKU10116,342.0,26.0,WH-MUM,MegaDistro
SKU10117,157.0,55.0,WH-SYD,MegaDistro
SKU10118,127.0,73.0,WH-LON,Pacific Trading
SKU10119,432.0,61.0,WH-LON,
SKU10120,492.0,69.0,WH-LA,PrimeWholesale
SKU10121,182.0,67.0,WH-SYD,FastShip
SKU10122,98.0,29.0,WH-TOR,CoreFreight
SKU10123,64.0,50.0,WH-NY,CoreFreight
SKU10124,267.0,36.0,WH-NY,PrimeWholesale
SKU10125,423.0,55.0,WH-LA,Atlas Distribution
SKU10126,177.0,74.0,WH-TOR,GlobalSupplyCo
SKU10127,202.0,,WH-MUM,UrbanTraders
SKU10128,44.0,33.0,,GlobalSupplyCo
SKU10129,135.0,67.0,WH-MUM,UrbanTraders
SKU10130,122.0,41.0, WH-MUM ,Atlas Distribution
SKU10131,357.0,74.0,WH-LON,Atlas Distribution
SKU10132,468.0,26.0,WH-SYD,Atlas Distribution
SKU10133,255.0,32.0,WH-SYD,Atlas Distribution
SKU10134,186.0,68.0,WH-MUM,PrimeWholesale
SKU10135,248.0,80.0, WH-LA ,PrimeWholesale
SKU10136,367.0,59.0,WH-NY,MegaDistro
SKU10137,77.0,22.0,WH-NY,Atlas Distribution
SKU10138,268.0,69.0,WH-MUM,CoreFreight
SKU10139,204.0,27.0,WH-NY,Pacific Trading
SKU10140,46.0,63.0,WH-TOR,PrimeWholesale
SKU10141,159.0,40.0,WH-SYD,PrimeWholesale
SKU10142,48.0,63.0,WH-TOR,NexGen Logistics
SKU10143,125.0,64.0,WH-LON,GlobalSupplyCo
SKU10144,237.0,32.0,WH-LA,CoreFreight
SKU10145,67.0,65.0,WH-NY,NexGen Logistics
SKU10146,246.0,22.0,WH-NY,
SKU10148,110.0,20.0,WH-LA,GlobalSupplyCo
SKU10149,254.0,59.0,WH-LON,Pinnacle Supply
SKU10150,402.0,63.0,WH-LON,Pinnacle Supply
SKU10151,273.0,54.0,WH-NY,UrbanTraders
SKU10152,164.0,73.0,WH-MUM,NexGen Logistics
SKU10153,428.0,37.0,WH-SYD,MegaDistro
SKU10154,41.0,59.0,WH-NY,CoreFreight
SKU10155,470.0,66.0,WH-TOR,Atlas Distribution
SKU10156,19.0,43.0,WH-SYD,GlobalSupplyCo
SKU10157,33.0,78.0,WH-LA,Pinnacle Supply
SKU10158,380.0,28.0,WH-LON,UrbanTraders
SKU10159,170.0,63.0,wh-tor,Atlas Distribution
SKU10160,261.0,,WH-LON,GlobalSupplyCo
SKU10161,130.0,,WH-TOR,CoreFreight
SKU10162,167.0,50.0,WH-LON,MegaDistro
SKU10163,302.0,74.0,WH-SYD, urbantraders 
SKU10164,36.0,46.0,WH-TOR,FastShip
SKU10165,108.0,80.0,WH-MUM,Pinnacle Supply
SKU10168,442.0,70.0,WH-LA,Pacific Trading
SKU10169,288.0,25.0,,Atlas Distribution
SKU10170,97.0,28.0,WH-MUM,UrbanTraders
SKU10171,393.0,22.0,WH-LON,PrimeWholesale
SKU10172,498.0,52.0,WH-SYD,Pinnacle Supply
SKU10173,65.0,63.0,WH-MUM,Atlas Distribution
SKU10174,302.0,56.0,WH-LON,Pacific Trading
SKU10175,189.0,27.0,WH-NY,
SKU10176,365.0,72.0,WH-LA,PrimeWholesale
SKU10177,18.0,,WH-SYD,Pinnacle Supply
SKU10178,81.0,32.0,WH-SYD,Atlas Distribution
SKU10179,206.0,22.0,WH-TOR,Atlas Distribution
SKU10180,44.0,49.0,WH-MUM,CoreFreight
SKU10181,140.0,26.0,,MegaDistro
SKU10182,46.0,61.0,WH-LON,NexGen Logistics
SKU10183,20.0,24.0,WH-LON,pinnacle supply
SKU10184,497.0,43.0,WH-MUM,Pacific Trading
SKU10185,175.0,33.0,WH-TOR,CoreFreight
SKU10186,363.0,61.0,WH-NY,UrbanTraders
SKU10187,343.0,72.0,WH-LA,GlobalSupplyCo
SKU10188,398.0,39.0,WH-SYD,Pacific Trading
SKU10189,284.0,73.0,WH-SYD,
SKU10191,181.0,37.0,WH-TOR,Pacific Trading
 SKU10192 ,180.0,34.0,WH-TOR,GlobalSupplyCo
SKU10193,,53.0,WH-TOR,PrimeWholesale
SKU10194,95.0,80.0,WH-TOR,CoreFreight
SKU10195,250.0,65.0,WH-LA,
SKU10196,415.0,70.0,WH-SYD,FastShip
SKU10197,46.0,33.0,,PrimeWholesale
SKU10198,259.0,57.0,WH-LA,Pacific Trading
SKU10199,487.0,32.0,WH-LA,Atlas Distribution
