session_id,customer_id,session_start,session_end,session_duration_sec,pages_viewed,device_type,landing_page,traffic_source,campaign_name,converted_flag,revenue
SESS100020,CUST1291,2025-07-10 19:19:59.000000,2025-07-10 19:41:15.000000,1276.0,5.0,tablet,new_arrivals,social,Back to School Sale,False,0.0
SESS100021,CUST1134,2025-03-21 10:33:44.000000,2025-03-21 10:43:42.000000,598.0,9.0,,category, referral ,,False,0.0
SESS100022,CUST1370,2025-04-13 23:16:32.000000,2025-04-13 23:24:30.000000,478.0,5.0,mobile,search,social,Winter Warmup Deals,False,0.0
SESS100023,CUST1245,2025-07-03 04:50:44.000000,2025-07-03 05:04:48.000000,844.0,19.0,mobile,,direct,,False,0.0
SESS100024,CUST1419,2025-02-26 07:53:57.000000,2025-02-26 08:03:26.000000,,8.0,tablet,new_arrivals,email,Cyber Monday Deals,,0.0
SESS100025,CUST1211,2026-02-11 02:56:16.000000,2026-02-11 03:01:59.000000,343.0,3.0,tablet,new_arrivals,,Valentine's Day Specials,False,0.0
SESS100026,CUST1089,2025-07-14 15:37:56.000000,2025-07-14 15:43:01.000000,305.0,14.0,mobile,home, email ,Back to School Sale,False,0.0
SESS100027,CUST1218,2025-04-13 06:58:33.000000,2025-04-13 07:20:52.000000,1339.0,8.0,tablet,category,referral,,True,306.38
SESS100028,CUST1108,2025-12-28 14:33:18.000000,2025-12-28 14:34:59.000000,101.0,8.0,mobile,home,referral,,False,0.0
SESS100029,CUST1143,2025-11-22 07:09:26.000000,2025-11-22 07:36:17.000000,1611.0,11.0,mobile,category,paid_search,Valentine's Day Specials,False,0.0
SESS100030,CUST1487,2025-06-13 23:23:03.000000,2025-06-13 23:40:53.000000,,3.0,desktop,product,social,Winter Warmup Deals,True,396.47
SESS100031,CUST1141,2025-10-25 16:38:19.000000,2025-10-25 16:57:24.000000,1145.0,19.0,mobile,,paid_search,Holiday Gift Guide 2026,False,0.0
SESS100032,CUST1075,2026-02-11 22:08:06.000000,2026-02-11 22:12:42.000000,276.0,3.0,desktop,search,direct,,False,0.0
SESS100033,CUST1102,2025-10-22 15:28:39.000000,2025-10-22 15:34:44.000000,365.0,1.0,,new_arrivals,social,Anniversary Special,False,0.0
,CUST1285,2025-03-11 10:06:03.000000,2025-03-11 10:07:23.000000,80.0,12.0,desktop,,direct,,False,0.0
SESS100035,CUST1488,2025-05-10 12:20:04.000000,2025-05-10 12:46:36.000000,1592.0,13.0,tablet,search,referral,,True,496.83
SESS100036,CUST1328,2025-07-01 19:11:51.000000,2025-07-01 19:40:35.000000,,7.0,mobile,product,paid_search,Back to School Sale,False,0.0
SESS100037,CUST1250,2025-07-19 05:12:11.000000,2025-07-19 05:15:48.000000,217.0,, tablet ,deals,organic_search,,False,0.0
SESS100038,CUST1298,2025-10-18 11:47:07.000000,2025-10-18 11:53:51.000000,404.0,3.0,desktop,search,referral,,False,0.0
SESS100039,CUST1337,2025-03-28 05:12:31.000000,2025-03-28 05:38:45.000000,1574.0,20.0,desktop,category,paid_search,,False,0.0
SESS100040,CUST1338,,2025-12-18 23:04:07.000000,1508.0,16.0,mobile,home,referral,,True,41.88
SESS100041,CUST1352,2025-03-09 06:22:20.000000,2025-03-09 06:40:11.000000,1071.0,10.0,tablet,deals,paid_search,Back to School Sale,False,0.0
SESS100042,CUST1303,2026-02-12 11:24:28.000000,2026-02-12 11:47:51.000000,,3.0,tablet,search,social,Easter Weekend Sale,False,0.0
,CUST1129,2025-12-04 00:11:42.000000,2025-12-04 00:36:39.000000,1497.0,14.0,tablet,deals,social,Easter Weekend Sale,False,0.0
SESS100044,CUST1331,2025-08-18 12:45:33.000000,2025-08-18 13:08:11.000000,1358.0,18.0,desktop,category,paid_search,,False,0.0
SESS100045,CUST1448,,2025-02-24 03:39:41.000000,1616.0,12.0,desktop,deals,email,Mid-Year Mega Sale,False,0.0
SESS100046,,2026-01-26 20:18:27.000000,2026-01-26 20:30:48.000000,741.0,14.0,tablet,home,email,Easter Weekend Sale,True,212.25
SESS100047,CUST1316,2025-08-14 22:59:02.000000,2025-08-14 23:24:04.000000,1502.0,1.0,mobile,category,email,Holiday Gift Guide 2026,True,93.13
SESS100048,CUST1479,2026-02-08 14:12:22.000000,2026-02-08 14:22:50.000000,628.0,8.0,desktop,search,email,cyber monday deals,False,0.0
SESS100049,CUST1119,2025-03-05 13:00:30.000000,2025-03-05 13:21:15.000000,1245.0,11.0,tablet,deals,paid_search,Easter Weekend Sale,False,0.0
SESS100050,CUST1161,2026-01-30 05:30:12.000000,,1774.0,17.0,desktop,product,email,Valentine's Day Specials,False,0.0
SESS100051,CUST1059,2025-05-05 05:47:31.000000,,1532.0,15.0,desktop,deals,email,End of Season Clearance,False,0.0
SESS100052,CUST1038,,2025-05-12 13:10:15.000000,1140.0,18.0,desktop,home,paid_search,Spring Clearance,False,0.0
SESS100053,CUST1417,2025-12-31 01:26:31.000000,2025-12-31 01:45:27.000000,1136.0,1.0,mobile,new_arrivals,referral,,,0.0
SESS100054,CUST1171,2025-03-09 16:45:00.000000,2025-03-09 16:50:47.000000,347.0,8.0,tablet,category,organic_search,,True,410.31
SESS100055,CUST1056,2025-05-09 16:51:00.000000,2025-05-09 16:58:28.000000,448.0,,mobile,home,paid_search,Spring Clearance,False,0.0
SESS100056,CUST1028,2025-03-17 09:16:02.000000,,384.0,8.0,tablet,new_arrivals,,,False,0.0
SESS100057,CUST1086,2025-10-30 01:31:02.000000,2025-10-30 01:58:44.000000,1662.0,5.0,desktop,home,email,Summer Blowout 2026,False,0.0
SESS100058,CUST1207,2025-07-04 17:12:47.000000,2025-07-04 17:35:07.000000,,18.0,mobile,new_arrivals,social,Spring Clearance,False,0.0
SESS100059,CUST1099,2025-08-09 07:04:07.000000,2025-08-09 07:24:11.000000,1204.0,3.0,mobile,home,paid_search,Holiday Gift Guide 2026,True,37.87
SESS100060,CUST1189,2025-03-27 05:19:59.000000,2025-03-27 05:40:32.000000,1233.0,20.0,tablet,category,referral,,False,0.0
,CUST1361,2025-06-19 11:18:06.000000,2025-06-19 11:41:59.000000,1433.0,9.0, tablet ,search,social, spring clearance ,False,0.0
SESS100062,CUST1269,2025-11-07 18:38:53.000000,2025-11-07 18:51:18.000000,745.0,3.0,tablet,category,paid_search,Cyber Monday Deals,False,0.0
SESS100063,CUST1471,2025-07-20 02:22:28.000000,2025-07-20 02:34:53.000000,745.0,18.0,mobile,product,direct,,True,332.25
SESS100064,CUST1382,2025-12-27 11:46:53.000000,2025-12-27 11:52:38.000000,,14.0,mobile,new_arrivals,referral,,,0.0
SESS100065,CUST1453,2026-01-11 11:48:54.000000,2026-01-11 11:57:03.000000,489.0,6.0,mobile,search,organic_search,,True,88.64
SESS100066,,2025-06-21 21:13:10.000000,2025-06-21 21:22:36.000000,566.0,18.0,tablet,home,social,Diwali Festive Sale,False,0.0
SESS100067,CUST1167,2025-12-13 00:11:00.000000,2025-12-13 00:36:56.000000,1556.0,4.0,tablet,deals,referral,,True,158.65
SESS100068,CUST1487,2026-01-22 17:57:25.000000,2026-01-22 18:17:18.000000,1193.0,4.0,mobile,deals,direct,,,0.0
SESS100069,CUST1089,,2025-11-16 06:33:13.000000,34.0,2.0,mobile,CATEGORY,paid_search,Christmas Countdown,True,178.28
SESS100070,CUST1031,2025-08-09 04:34:26.000000,2025-08-09 04:48:31.000000,845.0,18.0,tablet,deals,paid_search,Holiday Gift Guide 2026,False,0.0
SESS100071,CUST1485,2025-12-27 02:05:58.000000,2025-12-27 02:32:04.000000,1566.0,13.0,mobile,deals,social,Anniversary Special,False,0.0
SESS100072,CUST1033,2025-09-08 04:37:31.000000,2025-09-08 04:54:17.000000,1006.0,,tablet,search,referral,,True,477.04
SESS100073,CUST1237,2025-07-24 03:09:40.000000,2025-07-24 03:14:09.000000,269.0,15.0, tablet ,search,organic_search,,False,0.0
SESS100074,CUST1326,2026-01-18 19:50:49.000000,2026-01-18 20:03:23.000000,754.0,19.0,MOBILE,product,EMAIL,Mid-Year Mega Sale,False,0.0
SESS100075,CUST1033,2025-12-08 21:22:31.000000,2025-12-08 21:37:57.000000,926.0,19.0,tablet,deals,social,Anniversary Special,False,0.0
SESS100076,CUST1335,2025-06-28 08:22:19.000000,2025-06-28 08:29:51.000000,452.0,13.0,tablet,new_arrivals,direct,,False,0.0
SESS100077,CUST1074,2025-08-12 03:12:58.000000,2025-08-12 03:14:48.000000,110.0,,desktop,category,DIRECT,,False,0.0
SESS100078,CUST1317,2025-11-28 04:20:37.000000,2025-11-28 04:37:17.000000,,9.0,tablet,home,direct,,False,0.0
SESS100079,CUST1008,2026-02-03 20:37:51.000000,2026-02-03 20:50:33.000000,762.0,13.0,desktop,home,direct,,False,0.0
SESS100080,CUST1015,2025-03-30 21:13:23.000000,,1322.0,7.0,desktop,category,referral,,,127.0
SESS100081,CUST1415,2025-04-04 22:50:02.000000,2025-04-04 22:54:31.000000,269.0,11.0,desktop,new_arrivals,DIRECT,,False,0.0
SESS100082,CUST1364,2025-12-17 01:05:11.000000,2025-12-17 01:16:47.000000,696.0,12.0,tablet,product,direct,,,0.0
SESS100083,CUST1066,2025-10-28 16:50:41.000000,2025-10-28 16:57:29.000000,408.0,3.0,mobile,search,social,Black Friday Electronics,False,0.0
SESS100084,CUST1168,2025-03-26 09:08:45.000000,2025-03-26 09:23:06.000000,861.0,4.0,tablet,category,social,Winter Warmup Deals,False,0.0
SESS100085,CUST1158,2025-03-30 13:10:25.000000,2025-03-30 13:39:21.000000,1736.0,15.0,mobile,category,direct,,False,0.0
SESS100086,CUST1342,2025-09-05 09:36:56.000000,2025-09-05 09:57:56.000000,1260.0,,desktop,home,direct,,False,0.0
SESS100087,CUST1352,2025-05-08 14:34:18.000000,2025-05-08 14:45:58.000000,700.0,8.0,desktop,new_arrivals,organic_search,,True,288.79
SESS100088,CUST1313,2025-10-07 19:17:30.000000,2025-10-07 19:37:38.000000,1208.0,9.0,desktop,search,social,Holiday Gift Guide 2026,False,0.0
SESS100089,CUST1278,2025-06-07 19:44:37.000000,2025-06-07 19:54:55.000000,618.0,6.0,tablet,category,social,Christmas Countdown,False,0.0
SESS100090,CUST1057,2026-01-08 05:28:48.000000,2026-01-08 05:49:31.000000,1243.0,2.0,mobile,product,,,False,0.0
SESS100091,CUST1160,2026-02-05 16:50:41.000000,2026-02-05 17:00:08.000000,567.0,11.0,mobile,category,paid_search,Fall Fashion Preview,False,0.0
SESS100092,CUST1487,2025-06-25 16:57:38.000000,2025-06-25 17:17:48.000000,1210.0,1.0,mobile,search,direct,,False,0.0
SESS100093,CUST1168,2025-12-01 03:22:08.000000,2025-12-01 03:39:51.000000,1063.0,18.0,mobile,search,social,Cyber Monday Deals,True,420.53
,CUST1305,2025-03-09 22:34:47.000000,2025-03-09 22:58:50.000000,1443.0,17.0,desktop,new_arrivals,organic_search,,False,0.0
SESS100095,CUST1367,2025-06-30 09:55:24.000000,2025-06-30 10:13:17.000000,1073.0,20.0,desktop,new_arrivals,paid_search,Fall Fashion Preview,False,0.0
SESS100096,CUST1421,2026-01-21 16:17:23.000000,2026-01-21 16:21:49.000000,,4.0,desktop,category,paid_search,Easter Weekend Sale,False,0.0
SESS100097,CUST1435,2025-11-15 17:10:08.000000,2025-11-15 17:33:56.000000,1428.0,14.0,,home,organic_search,,,0.0
SESS100098,CUST1114,2025-02-18 05:06:21.000000,2025-02-18 05:15:51.000000,570.0,5.0,,deals,paid_search,Valentine's Day Specials,True,430.75
SESS100099,CUST1368,2026-02-07 05:46:20.000000,2026-02-07 05:46:57.000000,37.0,19.0,mobile,product,direct,,False,0.0
SESS100100,CUST1103,2025-02-23 06:16:42.000000,,1344.0,14.0,tablet,new_arrivals,organic_search,,False,0.0
,cust1118,2025-11-26 09:30:46.000000,2025-11-26 09:39:15.000000,509.0,7.0, desktop ,category,social,Cyber Monday Deals,True,136.77
,CUST1044,2025-10-10 08:55:08.000000,2025-10-10 08:56:49.000000,101.0,12.0,desktop,deals,paid_search,Summer Blowout 2026,False,0.0
SESS100103,CUST1076,2025-12-03 12:35:30.000000,2025-12-03 12:45:27.000000,597.0,18.0,desktop,home,direct,,False,0.0
SESS100104,CUST1052,2025-03-28 21:32:09.000000,2025-03-28 21:50:51.000000,1122.0,20.0,mobile, home ,paid_search,Back to School Sale,False,0.0
SESS100105,CUST1289,,2025-09-29 13:38:13.000000,93.0,1.0,,deals,social,,True,61.45
SESS100106,CUST1349,2025-07-16 09:38:33.000000,2025-07-16 09:55:58.000000,1045.0,5.0,mobile,home,organic_search,,False,0.0
SESS100107,CUST1077,2026-01-01 10:02:50.000000,2026-01-01 10:11:01.000000,491.0,10.0,desktop,product,paid_search,Fall Fashion Preview,True,329.25
SESS100108,CUST1189,2025-06-17 15:31:40.000000,2025-06-17 15:35:23.000000,223.0,8.0,mobile,deals,social,Summer Blowout 2026,False,0.0
SESS100109,CUST1090,2025-12-24 19:05:17.000000,2025-12-24 19:20:27.000000,910.0,18.0, desktop ,search,email,Valentine's Day Specials,False,0.0
SESS100110,CUST1261,2025-06-08 05:41:04.000000,2025-06-08 06:02:43.000000,1299.0,19.0,mobile,home,social,Christmas Countdown,,210.78
SESS100111,CUST1119,2025-09-25 22:51:11.000000,2025-09-25 23:09:41.000000,1110.0,14.0,desktop,, social ,Back to School Sale,True,430.01
SESS100112,CUST1316,2025-03-30 04:44:15.000000,,1283.0,1.0,mobile,new_arrivals,direct,,False,0.0
,CUST1310,2025-11-03 11:10:59.000000,2025-11-03 11:29:38.000000,1119.0,19.0,tablet,deals, referral ,,False,0.0
SESS100114,CUST1147,2025-11-07 18:06:34.000000,2025-11-07 18:14:32.000000,478.0,8.0,desktop,home,organic_search,,,0.0
SESS100115,CUST1429,2026-01-10 06:40:09.000000,2026-01-10 07:03:20.000000,1391.0,1.0,mobile,category,paid_search,Labor Day Savings,,0.0
SESS100116,,2025-09-12 08:32:30.000000,2025-09-12 08:36:07.000000,,17.0,mobile,product,referral,,False,0.0
SESS100117,CUST1220,2025-06-16 00:04:16.000000,2025-06-16 00:10:13.000000,357.0,8.0,desktop,deals,organic_search,,True,57.29
SESS100118,CUST1470,2025-02-27 07:31:55.000000,2025-02-27 07:34:29.000000,154.0,15.0,tablet,product,paid_search,Cyber Monday Deals,,0.0
SESS100119,CUST1283,2025-11-19 19:21:36.000000,2025-11-19 19:34:52.000000,796.0,1.0,desktop,search,social,Holiday Gift Guide 2026,,0.0
SESS100120,CUST1178,2025-05-17 21:15:05.000000,2025-05-17 21:15:49.000000,44.0,12.0,desktop,search,referral,,False,0.0
SESS100121,CUST1096,2025-07-18 02:35:35.000000,2025-07-18 02:51:32.000000,957.0,1.0,tablet,deals,social,Labor Day Savings,False,0.0
SESS100122,CUST1084,2025-09-27 13:02:18.000000,2025-09-27 13:04:51.000000,153.0,7.0,desktop,home,organic_search,,False,0.0
SESS100123,,2025-03-20 17:47:10.000000,2025-03-20 17:59:08.000000,718.0,14.0,desktop,new_arrivals,referral,,False,0.0
SESS100124,CUST1132,2025-02-15 23:30:05.000000,2025-02-15 23:59:50.000000,1785.0,14.0,mobile,category,paid_search,Valentine's Day Specials,False,0.0
SESS100125,CUST1167,2025-05-02 03:32:08.000000,,1374.0,9.0,mobile,search,paid_search,Spring Clearance,False,0.0
,CUST1440,2025-10-02 23:57:09.000000,2025-10-03 00:18:54.000000,1305.0,20.0,mobile,home, organic_search ,,False,0.0
SESS100127,CUST1082,2025-12-07 08:55:45.000000,2025-12-07 09:08:21.000000,756.0,20.0,mobile,search,direct,,False,0.0
SESS100128,CUST1281,2025-11-04 12:44:12.000000,2025-11-04 13:13:16.000000,1744.0,15.0,tablet,search,organic_search,,False,0.0
SESS100129,CUST1337,2025-07-14 04:58:41.000000,,544.0,16.0,desktop,home,direct,,,179.34
,CUST1356,2026-01-18 03:31:34.000000,2026-01-18 03:42:04.000000,630.0,7.0,,product,social,Anniversary Special,True,414.76
SESS100131,CUST1195,,2025-11-12 16:46:19.000000,1563.0,5.0,mobile,category,organic_search,,False,0.0
SESS100132,CUST1369,2025-03-30 16:38:02.000000,2025-03-30 16:59:41.000000,1299.0,,,new_arrivals,paid_search,Back to School Sale,False,0.0
SESS100133,CUST1216,2025-11-18 20:51:02.000000,2025-11-18 21:18:38.000000,1656.0,8.0,mobile,search,direct,,False,0.0
SESS100134,CUST1131,2025-09-17 07:14:15.000000,2025-09-17 07:26:15.000000,720.0,11.0,tablet,home, paid_search ,Holiday Gift Guide 2026,,0.0
,CUST1155,2025-08-02 23:43:16.000000,2025-08-03 00:09:39.000000,1583.0,12.0,desktop,deals,social,Back to School Sale,True,
SESS100136,CUST1098,2026-01-26 02:58:45.000000,2026-01-26 03:14:20.000000,935.0,10.0,mobile,category,direct,,False,0.0
SESS100137,CUST1072,2025-02-18 23:52:07.000000,2025-02-19 00:07:49.000000,942.0,13.0,tablet,product,paid_search,Valentine's Day Specials,False,0.0
SESS100138,cust1274,2026-02-06 17:15:02.000000,2026-02-06 17:33:23.000000,1101.0,13.0,tablet,search,paid_search,Anniversary Special,True,177.29
SESS100139,CUST1220,2025-08-08 20:27:53.000000,2025-08-08 20:30:21.000000,148.0,16.0,tablet,new_arrivals,social,Back to School Sale,False,0.0
SESS100140,CUST1256,2025-03-27 02:42:31.000000,2025-03-27 02:46:38.000000,247.0,3.0,desktop,category,referral,,False,0.0
SESS100141,CUST1309,,2025-02-18 01:25:13.000000,454.0,19.0,mobile,product, organic_search ,,False,
SESS100142,CUST1115,2025-12-25 02:32:49.000000,2025-12-25 02:36:03.000000,194.0,13.0,mobile,deals,organic_search,,False,0.0
SESS100143,CUST1486,2025-09-18 14:54:16.000000,2025-09-18 14:54:56.000000,40.0,18.0,mobile,new_arrivals,organic_search,,False,0.0
SESS100144,CUST1045,2025-04-18 03:55:00.000000,2025-04-18 04:15:02.000000,1202.0,4.0,desktop,product,email,Cyber Monday Deals,False,0.0
SESS100145,CUST1000,2025-08-30 09:08:38.000000,2025-08-30 09:38:27.000000,1789.0,18.0,desktop,,organic_search,,False,0.0
SESS100146,CUST1160,2026-01-23 13:55:25.000000,2026-01-23 14:23:41.000000,1696.0,8.0,tablet,home,email,New Year New You 2026,False,0.0
SESS100147,CUST1180,2025-06-05 04:05:18.000000,2025-06-05 04:17:00.000000,702.0,2.0,mobile,deals, direct ,,False,0.0
SESS100148,CUST1343,2025-05-15 12:20:09.000000,2025-05-15 12:24:49.000000,280.0,5.0,desktop,category,organic_search,,True,296.2
SESS100149,CUST1007,2025-07-14 02:29:39.000000,2025-07-14 02:36:22.000000,403.0,20.0,desktop,search,organic_search,,False,0.0
SESS100150,,2025-10-17 11:52:50.000000,2025-10-17 12:06:56.000000,846.0,9.0,desktop,home,paid_search,Summer Blowout 2026,,316.09
SESS100151,CUST1112,2025-11-21 12:58:43.000000,2025-11-21 13:25:33.000000,1610.0,5.0,mobile,new_arrivals,referral,,True,130.31
sess100152,CUST1425,2025-11-04 07:14:20.000000,2025-11-04 07:25:48.000000,688.0,18.0,mobile,new_arrivals,paid_search,Anniversary Special,False,0.0
SESS100153,CUST1154,2025-08-02 06:33:53.000000,2025-08-02 06:43:46.000000,593.0,2.0,tablet,,referral,,False,0.0
SESS100154,CUST1089,2025-07-05 17:55:48.000000,,654.0,7.0,tablet,category,referral,,False,0.0
SESS100155,CUST1314,2025-12-07 08:10:42.000000,2025-12-07 08:19:47.000000,,,tablet,home,,,False,0.0
,CUST1440,2026-01-06 21:23:02.000000,2026-01-06 21:25:19.000000,137.0,19.0,desktop,deals,paid_search,Valentine's Day Specials,,
SESS100157,CUST1010,2026-02-11 20:40:19.000000,2026-02-11 20:58:52.000000,1113.0,5.0,desktop,,referral,,True,208.99
SESS100158,CUST1047,2025-08-06 16:50:17.000000,2025-08-06 17:18:58.000000,1721.0,14.0,tablet,product,paid_search,Labor Day Savings,True,491.77
SESS100159,CUST1351,2026-01-28 11:45:52.000000,2026-01-28 11:59:37.000000,825.0,17.0,desktop,deals, social ,Christmas Countdown,False,0.0
SESS100160,CUST1021,2026-01-23 14:44:41.000000,2026-01-23 14:50:56.000000,375.0,10.0,tablet,,social,New Year New You 2026,False,0.0
SESS100161,cust1224,2025-09-20 06:05:48.000000,2025-09-20 06:25:40.000000,1192.0,2.0,desktop,search,social,Labor Day Savings,,225.43
SESS100162,CUST1254,2025-09-10 05:47:49.000000,2025-09-10 05:50:58.000000,189.0,9.0,tablet,deals,organic_search,,False,0.0
SESS100163,CUST1136,2026-01-29 00:13:59.000000,2026-01-29 00:28:37.000000,878.0,15.0,mobile,search,social,Valentine's Day Specials,False,0.0
SESS100164,,2025-11-12 21:12:40.000000,2025-11-12 21:28:40.000000,960.0,18.0,,home,email,Spring Clearance,False,0.0
SESS100165,CUST1072,2025-04-27 02:01:22.000000,2025-04-27 02:26:57.000000,1535.0,6.0,desktop,DEALS,social,Back to School Sale,False,0.0
,cust1267,2025-12-05 13:51:40.000000,2025-12-05 14:08:36.000000,1016.0,13.0,mobile,search,email,,False,0.0
 sess100167 ,CUST1032,2025-12-08 03:21:22.000000,2025-12-08 03:24:14.000000,172.0,13.0,mobile,new_arrivals,referral,,False,0.0
SESS100168,CUST1124,2025-08-14 01:32:11.000000,2025-08-14 01:35:46.000000,215.0,15.0,tablet,home,direct,,False,0.0
SESS100169,CUST1368,2025-02-22 11:40:51.000000,2025-02-22 11:45:12.000000,261.0,10.0,desktop,new_arrivals,direct,,False,0.0
SESS100170,,2025-12-27 05:48:26.000000,2025-12-27 05:50:47.000000,141.0,5.0,tablet,search,referral,,True,366.47
SESS100171,CUST1134,,2026-01-23 17:47:51.000000,1611.0,19.0,tablet,,,Winter Warmup Deals,False,0.0
SESS100172,CUST1215,,2025-04-14 08:29:07.000000,1112.0,6.0,tablet,deals,direct,,True,437.01
,CUST1001,,2025-07-29 06:49:35.000000,1243.0,4.0,tablet,new_arrivals,social,Loyalty Rewards Week,True,244.04
SESS100174,CUST1341,2025-05-24 06:53:34.000000,2025-05-24 07:05:28.000000,714.0,17.0,tablet,deals,,,True,20.31
sess100175,CUST1241,2025-07-22 07:31:01.000000,2025-07-22 07:59:36.000000,,2.0,mobile,new_arrivals,social,Valentine's Day Specials,False,0.0
SESS100176,CUST1465,2025-07-20 09:16:30.000000,2025-07-20 09:45:13.000000,1723.0,9.0,tablet,NEW_ARRIVALS,paid_search,Back to School Sale,False,0.0
SESS100177,CUST1302,2025-12-29 03:13:55.000000,2025-12-29 03:30:57.000000,1022.0,6.0,mobile,search,organic_search,,False,0.0
SESS100178,CUST1473,2025-10-06 08:01:44.000000,2025-10-06 08:24:40.000000,1376.0,5.0,tablet,search, direct ,,False,0.0
SESS100179,CUST1461,2025-12-25 14:15:13.000000,,,20.0,mobile,home,email,Easter Weekend Sale,False,0.0
 SESS100180 ,CUST1346,2025-10-29 20:05:19.000000,2025-10-29 20:13:33.000000,,2.0,desktop,search,direct,,True,160.75
SESS100181,CUST1005,2025-06-22 23:13:24.000000,2025-06-22 23:35:05.000000,1301.0,5.0,mobile,new_arrivals,paid_search,Spring Clearance,,0.0
,CUST1198,2025-07-21 05:41:28.000000,2025-07-21 06:00:11.000000,1123.0,5.0,mobile,home,social,Valentine's Day Specials,False,0.0
SESS100183,CUST1377,2025-04-19 10:41:20.000000,2025-04-19 10:52:41.000000,681.0,8.0,mobile,search,paid_search,Winter Warmup Deals,False,0.0
SESS100184,CUST1037,2025-10-02 10:31:38.000000,2025-10-02 10:38:54.000000,,17.0,desktop,product,paid_search,Holiday Gift Guide 2026,True,159.66
SESS100185,CUST1250,2025-07-25 14:27:41.000000,2025-07-25 14:39:09.000000,688.0,3.0,tablet,home,social,Labor Day Savings,True,460.68
SESS100186,CUST1041,2025-11-25 02:01:28.000000,,1538.0,4.0,,deals,EMAIL,Holiday Gift Guide 2026,,0.0
SESS100187,CUST1322,2026-02-08 12:05:47.000000,2026-02-08 12:33:11.000000,,18.0,mobile,product,organic_search,,,0.0
SESS100188,CUST1287,2025-02-19 20:01:11.000000,2025-02-19 20:06:51.000000,340.0,13.0,desktop,product,direct,,,0.0
SESS100189,CUST1478,,2025-03-07 18:22:06.000000,1590.0,14.0,desktop,home,direct,,False,0.0
SESS100190,CUST1455,2026-02-03 14:10:54.000000,2026-02-03 14:16:21.000000,327.0,13.0,desktop,home,organic_search,,False,0.0
SESS100191,CUST1250,2025-11-05 08:32:30.000000,2025-11-05 08:33:14.000000,44.0,16.0,desktop,category,email,Anniversary Special,False,0.0
SESS100192,,2025-12-24 04:57:05.000000,2025-12-24 05:10:48.000000,823.0,,mobile,,paid_search,Easter Weekend Sale,False,0.0
SESS100193,CUST1212,2025-07-18 17:12:51.000000,2025-07-18 17:21:29.000000,,14.0, mobile ,category,,,True,272.49
