campaign_id,channel,campaign_type,campaign_name,start_date,end_date,ad_spend,impressions,clicks,conversions
CAMP3029,in_app,seasonal_sale,Summer Blowout 2026,2025-07-23,2025-08-09,4800.85,49364.0,1058.0,124.0
CAMP3030,google_ads,CLEARANCE,Valentine's Day Specials,2025-02-15,2025-04-18,896.15,75860.0,1303.0,137.0
CAMP3031,social,flash_sale,Back to School Sale,2025-09-24,2025-10-25,3787.07,47911.0,1839.0,268.0
CAMP3032,facebook,flash_sale,Diwali Festive Sale,2025-05-15,2025-08-06,3472.46,61773.0,3629.0,354.0
CAMP3033,social,loyalty,Fall Fashion Preview,2025-08-05,2025-08-30,2742.65,51784.0,2909.0,147.0
CAMP3034,,flash_sale,Spring Clearance,2025-10-15,2026-01-10,811.88,62208.0,,248.0
CAMP3035,facebook,clearance,Back to School Sale,2025-07-04,2025-09-05,2310.35,54930.0,2547.0,160.0
CAMP3036,google_ads,flash_sale,Easter Weekend Sale,2025-05-21,2025-06-21,1382.8,94591.0,3465.0,328.0
CAMP3037,in_app,seasonal_sale,Valentine's Day Specials,2025-06-28,2025-08-30,4733.02,26978.0,1576.0,66.0
CAMP3038,google_ads,flash_sale,Cyber Monday Deals,2026-01-11,2026-04-06,2464.45,47516.0,512.0,31.0
CAMP3039,facebook,new_arrival,End of Season Clearance,2025-12-20,2026-01-07,1572.52,16273.0,845.0,
CAMP3040,instagram,seasonal_sale,Black Friday Electronics,2025-10-14,2025-12-01,,24619.0,1104.0,114.0
CAMP3041,in_app,loyalty,Labor Day Savings,2025-09-19,2025-11-16,1687.92,57716.0,1046.0,39.0
CAMP3042,facebook,seasonal_sale,Anniversary Special,2025-11-26,2026-02-23,,60307.0,3511.0,433.0
CAMP3043,email, loyalty ,Holiday Gift Guide 2026,2025-10-24,2025-12-06,4392.99,14535.0,841.0,31.0
CAMP3044,instagram,,Valentine's Day Specials,2025-11-20,2026-02-04,4952.79,23883.0,835.0,109.0
CAMP3045,in_app,seasonal_sale,New Year New You 2026,2025-12-24,2026-01-29,3698.38,97742.0,3632.0,458.0
CAMP3046,google_ads,clearance,Black Friday Electronics,2025-06-28,2025-07-15,2617.47,,1365.0,110.0
CAMP3047,social,loyalty,Easter Weekend Sale,2025-12-29,2026-03-11,3661.3,55123.0,3030.0,278.0
CAMP3048,google_ads,clearance,Anniversary Special,2025-02-26,2025-04-22,2856.03,28827.0,536.0,50.0
CAMP3049,social,new_arrival,Holiday Gift Guide 2026,2025-09-27,2025-12-19,1370.55,31632.0,822.0,116.0
CAMP3050,google_ads,flash_sale,Winter Warmup Deals,2025-04-26,2025-07-06,2222.04,84116.0,4310.0,568.0
CAMP3051,social, new_arrival ,Spring Clearance,2025-05-20,2025-06-19,4861.82,24561.0,280.0,30.0
CAMP3052,email,clearance,Easter Weekend Sale,2025-11-11,2026-01-11,3205.26,92470.0,3302.0,145.0
CAMP3053,email,flash_sale,,2025-11-24,2026-02-19,2907.08,17264.0,192.0,7.0
CAMP3054,social,new_arrival,Winter Warmup Deals,2025-04-12,2025-06-15,622.02,11346.0,472.0,54.0
CAMP3055,in_app,clearance,Fall Fashion Preview,2025-08-07,2025-09-07,2669.32,99764.0,2708.0,315.0
CAMP3056,facebook,clearance,Easter Weekend Sale,2025-12-08,2026-01-27,3959.69,28086.0,421.0,23.0
CAMP3057,social,seasonal_sale,Mid-Year Mega Sale,2026-01-07,2026-01-29,3592.58,90872.0,914.0,128.0
CAMP3058,email,new_arrival,Summer Blowout 2026,2026-01-09,2026-01-26,3903.68,38994.0,2225.0,301.0
CAMP3059,google_ads,seasonal_sale,Holiday Gift Guide 2026,2025-07-25,2025-09-06,3267.97,22037.0,359.0,20.0
CAMP3060,facebook,new_arrival,Loyalty Rewards Week,2025-10-21,2025-12-31,,,1661.0,203.0
CAMP3061,instagram,loyalty,Labor Day Savings,2025-12-16,2026-03-05,4561.77,21074.0,,5.0
CAMP3062,google_ads,clearance,Holiday Gift Guide 2026,2025-06-28,2025-07-19,2072.5,,935.0,80.0
CAMP3063, in_app ,new_arrival,Flash Sale Weekend,2025-09-09,2025-11-29,2175.95,93652.0,2600.0,195.0
CAMP3064,instagram,,Back to School Sale,2025-03-11,2025-05-31,2401.27,36529.0,,208.0
CAMP3065,social,clearance,Mid-Year Mega Sale,,2025-08-24,386.33,35926.0,1336.0,190.0
CAMP3066,in_app,loyalty,Valentine's Day Specials,2025-12-31,2026-03-18,2489.48,56773.0,,247.0
CAMP3067,social,flash_sale,,2025-05-29,2025-07-13,2212.62,35578.0,1833.0,218.0
CAMP3068,google_ads,clearance,Winter Warmup Deals,2025-02-25,2025-04-07,4525.18,66245.0,831.0,66.0
CAMP3069,in_app,clearance,Fall Fashion Preview,2025-12-14,2026-03-12,463.33,63796.0,3511.0,479.0
CAMP3070,email,,Fall Fashion Preview,2025-08-09,2025-10-07,2876.88,73412.0,2617.0,367.0
CAMP3071,instagram,loyalty,Flash Sale Weekend,2025-03-22,2025-04-15,4094.85,,913.0,77.0
CAMP3072,facebook,flash_sale,Christmas Countdown,2025-05-26,2025-06-20,267.9,81149.0,2529.0,167.0
CAMP3073,social,seasonal_sale,Anniversary Special,2025-10-21,2025-11-09,1451.05,84265.0,4745.0,527.0
CAMP3074,facebook,,Mid-Year Mega Sale,2025-05-20,2025-07-25,2537.54,41073.0,1525.0,55.0
CAMP3075,google_ads,flash_sale,Mid-Year Mega Sale,2025-02-23,2025-03-17,4157.0,16689.0,,19.0
CAMP3076,facebook,clearance,,2025-05-22,2025-06-10,,38359.0,999.0,86.0
CAMP3077,email,seasonal_sale,Christmas Countdown,2025-12-05,2026-02-18,1330.52,13563.0,659.0,24.0
CAMP3078,google_ads,flash_sale,Anniversary Special,2025-10-14,2025-11-20,2752.28,56710.0,2343.0,335.0
CAMP3079,facebook,seasonal_sale,Back to School Sale,2025-03-06,2025-04-03,3413.64,21268.0,865.0,98.0
CAMP3080,,seasonal_sale,Mid-Year Mega Sale,2025-06-17,2025-08-01,545.04,58843.0,3459.0,360.0
,facebook,loyalty,Labor Day Savings,2025-06-01,2025-08-25,297.51,85398.0,2710.0,229.0
CAMP3082,social,clearance,Easter Weekend Sale,2025-02-26,2025-05-05,1327.54,22151.0,490.0,59.0
CAMP3083,instagram,seasonal_sale,Prime Day Rivals,2025-04-23,2025-05-26,2287.04,43549.0,829.0,98.0
CAMP3084,instagram,flash_sale,Holiday Gift Guide 2026,2025-09-03,2025-11-05,2707.41,,132.0,18.0
CAMP3085,email,loyalty,Spring Clearance,2025-11-20,2026-01-25,2153.69,39487.0,2078.0,214.0
CAMP3086,facebook, clearance ,Valentine's Day Specials,2025-05-28,2025-08-15,2809.59,27915.0,711.0,25.0
CAMP3087,email,loyalty,Prime Day Rivals,2025-05-01,2025-06-03,,98444.0,5831.0,333.0
CAMP3088,google_ads, new_arrival ,Black Friday Electronics,2025-04-21,2025-05-14,2737.36,67224.0,1860.0,40.0
CAMP3089,in_app,clearance,Easter Weekend Sale,2025-02-19,2025-03-09,2597.78,96751.0,4778.0,555.0
CAMP3090,social,clearance,Christmas Countdown,2025-11-09,2025-12-01,3537.66,67273.0,2700.0,130.0
CAMP3091,facebook,loyalty,Anniversary Special,2025-07-30,2025-10-27,4439.29,74165.0,2649.0,106.0
CAMP3092,google_ads,new_arrival,Valentine's Day Specials,2025-11-17,2026-01-02,4166.63,27941.0,653.0,89.0
CAMP3093,google_ads,seasonal_sale,Holiday Gift Guide 2026,,,880.53,98282.0,3823.0,535.0
CAMP3094,email,new_arrival,Cyber Monday Deals,2025-11-04,2026-01-18,463.88,98698.0,2893.0,62.0
CAMP3095, email ,seasonal_sale,,2025-12-09,2026-03-03,2072.91,89084.0,1506.0,91.0
CAMP3096,email,clearance,Easter Weekend Sale,2025-06-23,2025-07-09,4489.59,95312.0,1172.0,89.0
CAMP3097,google_ads,clearance,Summer Blowout 2026,2025-10-11,2026-01-08,2637.82,,1956.0,158.0
CAMP3098,email,new_arrival,Prime Day Rivals,,2025-12-07,4975.28,88267.0,3379.0,275.0
CAMP3099,,flash_sale,Winter Warmup Deals,2025-12-08,2026-02-05,2907.7,64579.0,3388.0,345.0
