order_id,payment_method,payment_status,transaction_fee,currency
ORD5076,bank_transfer,completed,8.02,INR
ORD5077,wallet,completed,14.95,GBP
ORD5078,bank_transfer,completed,15.76,EUR
ORD5079,paypal,completed,11.74,CAD
ORD5080,credit_card,completed,18.16,INR
ORD5081,BANK_TRANSFER,completed,23.75,USD
ord5082,debit_card,completed,7.39,JPY
ORD5083,credit_card,completed,22.15,GBP
ORD5084,credit_card,pending,12.92,INR
ORD5085,wallet,completed,24.41,GBP
ORD5086,bank_transfer,completed,4.22,EUR
ORD5087,debit_card,completed,5.53,JPY
ORD5088,credit_card,,8.46,AUD
,,pending,2.82,AUD
ORD5090,,completed,7.45,JPY
,paypal,pending,12.42,AUD
,paypal,completed,16.9,
,debit_card,completed,10.09,AUD
ORD5094,,completed,6.31,INR
ORD5095,credit_card,completed,14.11,AUD
ORD5096,debit_card,refunded,2.31,USD
ORD5097,paypal,completed,23.67,AUD
ORD5098,paypal,completed,9.78,BRL
ORD5099,debit_card,completed,1.15,BRL
ORD5100,debit_card,completed,20.02,GBP
ORD5101,credit_card,completed,19.37,BRL
ORD5102,wallet,completed,19.94,GBP
ORD5103, bank_transfer ,completed,24.95,JPY
ORD5104,wallet,completed,15.56,GBP
ORD5105,wallet,pending,4.97,EUR
ORD5106,credit_card,pending,24.6,JPY
ORD5107,paypal,completed,11.74,EUR
,wallet,completed,21.44,AUD
ORD5109,credit_card,completed,7.56,BRL
ORD5110,bank_transfer,completed,10.13,JPY
ORD5111,credit_card,refunded,4.24,CAD
ORD5112,wallet,completed,8.4,
ORD5113,paypal,refunded,8.27,BRL
ORD5114,paypal,pending,15.6,BRL
,wallet,completed,20.6,GBP
ORD5116,,completed,6.94,INR
ORD5117,debit_card,pending,0.86,USD
ORD5118,bank_transfer,completed,13.11,BRL
ORD5119,,completed,2.15,USD
,debit_card,completed,13.23,USD
ORD5121,paypal,completed,6.08,GBP
ORD5122,debit_card,completed,7.01,USD
ORD5123,debit_card,refunded,11.48,GBP
ORD5124,wallet,failed,7.62,BRL
ORD5125,debit_card,completed,12.97,BRL
ORD5126,wallet,failed,16.81,EUR
ORD5127,bank_transfer,refunded,16.56,EUR
ORD5128,wallet,refunded,15.08,USD
ORD5129,wallet,completed,1.58,BRL
ORD5130,debit_card,pending,23.8,BRL
ORD5131,wallet,pending,15.33, BRL 
,credit_card,pending,19.76,
ORD5133,,completed,6.44,AUD
ORD5134,bank_transfer,completed,15.93,JPY
ORD5135,wallet,completed,19.4,CAD
ORD5136,debit_card,refunded,11.17,BRL
ORD5137,debit_card,completed,9.58,AUD
ORD5138,credit_card,completed,0.5,USD
ORD5139,wallet,refunded,2.91,EUR
ORD5140,wallet,completed,7.68,AUD
,paypal,refunded,0.76,CAD
ORD5142,credit_card,completed,9.49,USD
ORD5143,credit_card,completed,2.68,USD
ORD5144,credit_card,completed,1.34,USD
ORD5145,bank_transfer,completed,20.1,CAD
ORD5146,bank_transfer,completed,19.43,EUR
ORD5147,bank_transfer,refunded,23.68,INR
ORD5148,debit_card,refunded,19.26,EUR
ORD5149,wallet,refunded,14.76,
ORD5150,debit_card,completed,6.38,EUR
ORD5151, paypal ,completed,16.72,AUD
ORD5152, wallet ,failed,3.47,USD
ORD5153,, completed ,18.96,GBP
ORD5154,credit_card,pending,2.79,AUD
ORD5155,paypal,completed,14.13,GBP
ORD5156,wallet,completed,11.56,AUD
ORD5157,wallet,completed,,CAD
ORD5158,credit_card,failed,2.73,GBP
ORD5159,credit_card,completed,14.37,INR
ORD5160,credit_card,,22.46,INR
ORD5161,credit_card,completed,3.22,USD
ORD5162,credit_card,completed,5.6,AUD
ORD5163,paypal,completed,0.96,BRL
ORD5164,bank_transfer,pending,18.33,INR
,wallet,completed,9.06,CAD
ORD5166,debit_card,refunded,15.15,CAD
ORD5167,paypal,failed,21.59,BRL
ORD5168,debit_card,pending,11.49,GBP
ORD5169,credit_card,completed,1.0,BRL
ORD5170,credit_card,refunded,2.96,JPY
ORD5171,bank_transfer,completed,6.6,EUR
ORD5172,bank_transfer,completed,4.41,AUD
,wallet,completed,11.47,USD
ORD5174,debit_card,completed,24.15,GBP
ORD5175,bank_transfer,completed,7.56,BRL
ORD5176,bank_transfer,completed,15.32,INR
ORD5177,credit_card,completed,11.14,INR
ORD5178,debit_card,completed,6.49,BRL
ORD5179,bank_transfer,pending,,INR
ORD5180,credit_card,completed,4.59,USD
ORD5181,debit_card,,24.17,BRL
,credit_card,refunded,19.91,
ORD5183,debit_card,completed,23.99,INR
ORD5184,paypal,completed,19.2,CAD
ORD5185,bank_transfer,completed,6.14,BRL
ORD5186,wallet,completed,7.74,AUD
ORD5187,paypal,completed,24.79,JPY
ORD5188,wallet,completed,17.59,AUD
ORD5189,credit_card,completed,2.73,USD
ORD5190,,pending,19.74,USD
ORD5191,wallet,,13.71,JPY
ORD5192,paypal,completed,4.5,USD
ORD5193,wallet,REFUNDED,17.42,AUD
ORD5194,debit_card,completed,23.56,USD
,debit_card,,4.1,CAD
ORD5196,bank_transfer,pending,2.06,INR
ORD5197,wallet,completed,10.34,AUD
ORD5198,paypal,failed,16.42,EUR
ORD5199,credit_card,completed,9.05,GBP
ord5200,credit_card,completed,20.27,CAD
ORD5201,credit_card,completed,14.36,CAD
ORD5202,debit_card,refunded,14.18,GBP
ORD5203,credit_card,completed,14.13,USD
ORD5204,credit_card,completed,20.24,INR
ORD5205,paypal,completed,6.11,BRL
ORD5206,debit_card,completed,17.89,EUR
ORD5207,paypal,completed,1.37,INR
ORD5208,bank_transfer,completed,8.84,GBP
ORD5209,paypal,completed,24.87,GBP
ORD5210,,refunded,17.14,JPY
,debit_card,completed,10.02,EUR
ORD5212,debit_card,completed,18.63,BRL
ORD5213,credit_card,completed,10.59,BRL
,wallet,completed,12.9,EUR
ORD5215,paypal,completed,3.32,JPY
ORD5216,wallet,completed,6.1,
ORD5217,paypal,completed,11.92,EUR
ORD5218,paypal,completed,10.74,JPY
ORD5219,debit_card,pending,24.18,JPY
ORD5220,paypal,completed,21.63,USD
ORD5221,debit_card,completed,5.97,BRL
ORD5222,bank_transfer,pending,8.61,JPY
ORD5223,wallet,pending,,USD
ORD5224,,completed,7.21,BRL
ORD5225,credit_card,refunded,20.29,BRL
ORD5226,credit_card, refunded ,,USD
ORD5227,paypal,completed,20.44,GBP
ORD5228,debit_card,completed,23.51,AUD
ORD5229,credit_card,completed,10.43,BRL
ORD5230,paypal,completed,,INR
ORD5231,credit_card,completed,4.58,EUR
ORD5232,paypal,refunded,3.4,
ORD5233,debit_card,completed,9.11,EUR
ORD5234,paypal,completed,5.53,GBP
ORD5235,bank_transfer,completed,7.0,BRL
ORD5236,paypal,completed,18.8,JPY
ORD5237,,completed,17.72,CAD
ORD5238,wallet,completed,22.08,CAD
,credit_card,completed,8.03, jpy 
ORD5240,debit_card,completed,5.69,CAD
ORD5241,,completed,21.94,
ORD5242,debit_card,completed,13.03,JPY
ORD5243,bank_transfer,completed,10.85,JPY
ORD5244, wallet ,completed,24.53,EUR
ORD5245,bank_transfer,completed,11.45,AUD
ORD5246,credit_card,completed,,EUR
ORD5247,wallet,pending,22.6,BRL
ORD5248,debit_card,completed,19.85,BRL
ord5249,wallet,completed,24.38,GBP
ORD5250,credit_card,completed,18.26,USD
ORD5251,debit_card,completed,5.09,EUR
ord5252,paypal,completed,24.86,BRL
ORD5253,WALLET,completed,13.78,JPY
ORD5254,debit_card,pending,14.3,BRL
,bank_transfer,completed,8.96,USD
ORD5256,bank_transfer,completed,7.23,USD
ORD5257,bank_transfer,completed,,AUD
ORD5258,debit_card,completed,18.07,AUD
ORD5259,credit_card,completed,1.45,JPY
ORD5260,debit_card,completed,9.07,INR
ORD5261,credit_card,completed,22.14,INR
ORD5262,paypal,completed,0.54,GBP
ORD5263,paypal,completed,3.01,CAD
ORD5264,debit_card,completed,,CAD
ORD5265,wallet,completed,15.24,CAD
ORD5266,debit_card,completed,19.89,BRL
ORD5267,wallet,completed,24.56,AUD
ORD5268, wallet , completed ,22.63,EUR
ORD5269,bank_transfer,completed,21.63,INR
ord5270,wallet,completed,18.75,USD
ORD5271,bank_transfer,refunded,14.38,INR
ORD5272,credit_card,completed,2.9,JPY
ORD5273,credit_card,completed,13.57,AUD
ORD5274,bank_transfer,refunded,23.78,CAD
ORD5275,credit_card,completed,0.77,INR
ORD5276,bank_transfer,completed,3.03,INR
ORD5277,debit_card,completed,24.31,USD
 ORD5278 ,paypal,completed,5.55,CAD
ORD5279,debit_card,completed,3.63,BRL
ORD5280,paypal,completed,22.9,USD
ORD5281,credit_card,completed,7.06,AUD
ORD5282,wallet,completed,6.53,JPY
ORD5283,wallet,completed,15.16,AUD
ORD5284,bank_transfer,completed,12.94,USD
,paypal,refunded,10.92,BRL
ORD5286,debit_card,completed,16.68,BRL
ORD5287,bank_transfer,completed,15.53,AUD
ORD5288,wallet, completed ,0.93,JPY
ORD5289,debit_card,,13.87,GBP
ORD5290, debit_card ,completed,16.78,BRL
ORD5291,credit_card,refunded,8.51,USD
ORD5292,paypal,completed,17.94,BRL
ORD5293,credit_card,completed,19.89,CAD
ORD5294,paypal,completed,19.05,BRL
ORD5295,credit_card,refunded,6.16,EUR
ORD5296,wallet,completed,18.01,USD
ORD5297,,completed,,JPY
ORD5298,credit_card,completed,14.4,
ORD5299,debit_card,completed,3.75,USD
ORD5300,bank_transfer,completed,18.73,GBP
ORD5301,wallet,completed,4.47,EUR
ORD5302,credit_card, completed ,3.81,JPY
ORD5303,debit_card,failed,14.29,AUD
ORD5304,paypal,completed,7.85, EUR 
ORD5305,paypal,completed,13.87,CAD
ORD5306,paypal,completed,14.33,GBP
ORD5307,credit_card,completed,1.57,GBP
ord5308,paypal,completed,20.1,EUR
ORD5309,credit_card,completed,24.8,CAD
ORD5310,wallet,completed,10.42,USD
ORD5311,WALLET,completed,12.12,AUD
ORD5312,paypal, completed ,1.06, eur 
ORD5313,bank_transfer,completed,7.73,BRL
ORD5314,wallet,pending,4.46,EUR
ORD5315,wallet,completed,20.03,EUR
,PAYPAL,completed,14.16,INR
ORD5317,credit_card,failed,7.02,AUD
ORD5318,paypal,completed,9.02,CAD
ORD5319,paypal,FAILED,20.61,AUD
ORD5320, bank_transfer ,completed,14.05,BRL
,wallet,pending,14.49,EUR
ORD5322,paypal,completed,9.46,CAD
ORD5323,debit_card,refunded,14.07,JPY
ORD5324,credit_card,completed,9.2,JPY
,debit_card,completed,7.14,EUR
ORD5326,,completed,23.34,USD
ORD5327,paypal,completed,2.43,
ORD5328,debit_card,completed,5.86,JPY
ORD5329,wallet,pending,14.96,USD
ORD5330,,completed,4.98,EUR
,bank_transfer,COMPLETED,,
ORD5332, credit_card ,refunded,13.45,INR
ORD5333,paypal,completed,8.2,INR
,paypal,completed,18.66,CAD
,credit_card,completed,14.68,USD
ORD5336,paypal,pending,4.73,USD
ORD5337,credit_card,completed,13.59,CAD
ORD5338,wallet,,18.7,AUD
,wallet,completed,19.33,AUD
ORD5340,,completed,19.77,BRL
ORD5341,credit_card,failed,22.44,GBP
ORD5342,wallet,completed,0.96,GBP
,wallet,completed,22.32,AUD
ORD5344,paypal,completed,11.5,JPY
ORD5345,paypal,completed,17.41,USD
ORD5346,credit_card,completed,19.58,USD
ORD5347,bank_transfer,completed,5.32,BRL
ORD5348,wallet,completed,5.72,CAD
ORD5349,paypal,completed,12.68,CAD
ORD5350,paypal,completed,13.3,JPY
ORD5351, debit_card ,completed,12.29,CAD
ORD5352,debit_card,completed,22.66, jpy 
ORD5353,wallet,completed,0.57,JPY
ORD5354,paypal,failed,19.83,GBP
ORD5355,wallet,completed,14.56,GBP
ORD5356,paypal,completed,3.41,
ORD5357,paypal,completed,10.32,GBP
ORD5358,bank_transfer,refunded,17.61,BRL
ORD5359,paypal,completed,14.92,GBP
ORD5360,debit_card,completed,,BRL
ORD5361,bank_transfer,completed,,CAD
ORD5362,wallet,completed,12.19,INR
ORD5363,credit_card,completed,13.13,INR
ORD5364,credit_card,pending,,USD
ORD5365,bank_transfer,completed,8.28,CAD
ORD5366,,completed,7.18,GBP
 ORD5367 ,paypal,completed,5.16,EUR
ORD5368,paypal,completed,16.56,BRL
ord5369,paypal,completed,22.07,BRL
,bank_transfer,completed,12.53,EUR
ORD5371,debit_card,completed,14.18,USD
ORD5372, paypal ,failed,,AUD
ORD5373,bank_transfer,refunded,2.85,JPY
ORD5374,credit_card,,19.59,GBP
ORD5375,,refunded,6.86,EUR
ORD5376,wallet,completed,3.52,AUD
ORD5377,bank_transfer,completed,17.52,INR
ORD5378,debit_card,pending,3.56,EUR
ORD5379,credit_card,COMPLETED,11.57,JPY
ORD5380,bank_transfer,completed,5.76,INR
ORD5381,debit_card,completed,2.25, usd 
ord5382,wallet,completed,14.14,AUD
ORD5383, bank_transfer ,completed,17.82,BRL
ORD5384,paypal,completed,9.22,JPY
 ord5385 ,bank_transfer,completed,15.21,AUD
ORD5386,credit_card,completed,24.03,aud
ORD5387,wallet,completed,22.53,USD
ORD5388,credit_card,completed,9.95,AUD
ORD5389,credit_card,completed,24.58,INR
ORD5390,debit_card,completed,7.97,USD
ORD5391,debit_card,completed,0.51,INR
ORD5392,paypal,completed,22.14,CAD
ORD5393,bank_transfer,completed,2.3,BRL
ORD5394,wallet,completed,4.54,BRL
ORD5395,wallet,,22.82,USD
, wallet ,completed,,CAD
ORD5397,debit_card,completed,12.62,BRL
ORD5398,bank_transfer,completed,6.42,USD
ORD5399,wallet,completed,4.88,BRL
ORD5400,paypal,,,GBP
ORD5401,paypal,completed,24.7,INR
ORD5402,wallet,pending,3.21,
ORD5403,bank_transfer,completed,7.4,GBP
ORD5404,paypal,completed,8.03,CAD
ORD5405,debit_card,completed,8.1,eur
ORD5406,paypal,completed,20.02,AUD
ORD5407,wallet,completed,7.82,GBP
,debit_card,completed,5.56,GBP
 ord5409 ,paypal,,6.59,USD
ORD5410,paypal,completed,,
ORD5411,wallet,pending,18.33,CAD
ORD5412,,completed,20.27,CAD
ORD5413,credit_card,completed,7.13,GBP
ORD5414,paypal,completed,10.76,USD
ORD5415,credit_card,completed,9.82,AUD
ORD5416,,pending,11.4,USD
ORD5417,credit_card,completed,2.98,GBP
ORD5418,,completed,10.02,AUD
ORD5419,bank_transfer,completed,15.53,JPY
ORD5420,paypal,completed,13.54,AUD
ORD5421,wallet,refunded,12.15,CAD
ORD5422,bank_transfer,pending,22.37,GBP
ORD5423,wallet,completed,12.72,EUR
ORD5424,bank_transfer,completed,17.83,GBP
,paypal,completed,3.77,USD
ORD5426,debit_card,completed,4.6,GBP
ORD5427,, refunded ,1.66,AUD
ORD5428,wallet,completed,4.18,USD
ORD5429,debit_card,completed,22.12,INR
ORD5430,paypal,completed,0.92,EUR
ORD5431,wallet,completed,18.39,BRL
ORD5432,debit_card,completed,4.43,EUR
ORD5433,bank_transfer,completed,5.86,EUR
ORD5434,wallet,completed,13.83,GBP
ORD5435,wallet,completed,12.44,INR
,debit_card,refunded,19.65,BRL
 ORD5437 ,wallet,completed,24.44, brl 
ORD5438,paypal,completed,5.52,JPY
ORD5439,debit_card,completed,18.68,GBP
ORD5440,paypal,,9.03,GBP
  ORD5441  ,debit_card,completed,22.72,INR
ORD5442,credit_card,pending,2.86,BRL
ORD5443,wallet,completed,12.75,
ORD5444,wallet,completed,9.85,CAD
ORD5445,bank_transfer,pending,21.4,AUD
ord5446,paypal,failed,7.47,GBP
,wallet,pending,20.02,EUR
ORD5448,bank_transfer,completed,3.62,AUD
,credit_card,completed,7.4,JPY
ORD5450,bank_transfer,completed,3.35,USD
ord5451,paypal,completed,0.97,BRL
ORD5452, debit_card ,completed,10.64,CAD
ORD5453,debit_card,REFUNDED,7.13,EUR
ORD5454,bank_transfer,refunded,8.97,BRL
ORD5455,wallet,completed,4.47,AUD
ORD5456,credit_card,completed,7.46,INR
ORD5457,wallet,,17.16,BRL
ORD5458,wallet,completed,11.72,JPY
ORD5459,bank_transfer,completed,19.02,JPY
,wallet,refunded,5.61, BRL 
ORD5461,bank_transfer, refunded ,11.62,GBP
ORD5462,bank_transfer,completed,1.64,USD
,credit_card,completed,14.8, BRL 
ORD5464,wallet,completed,23.17,GBP
ORD5465,wallet, completed ,16.72,USD
ORD5466,wallet,completed,22.18,INR
ORD5467,wallet,completed,3.12,INR
ORD5468,debit_card,,4.18,
ORD5469,wallet,completed,20.87,GBP
,credit_card,completed,5.3,AUD
ORD5471,bank_transfer,completed,15.59,BRL
ORD5472,,completed,6.34,EUR
ORD5473,paypal,completed,20.82,INR
ORD5474,bank_transfer,completed,10.03,BRL
ord5475,bank_transfer,failed,15.47,JPY
ORD5476,bank_transfer,completed,,BRL
ORD5477,bank_transfer,pending,20.75,USD
ORD5478,,completed,3.18,USD
ORD5479,credit_card,failed,14.74,EUR
ORD5480,wallet,completed,24.69,INR
ord5481,credit_card,failed,5.47,JPY
ORD5482,paypal,completed,17.05,INR
ORD5483,paypal,completed,,CAD
ORD5484,bank_transfer,failed,6.74,USD
ORD5485,paypal,pending,11.2,AUD
ORD5486,paypal,completed,12.78,USD
ORD5487,paypal,refunded,4.01,AUD
ORD5488,bank_transfer,completed,24.31,BRL
ORD5489, credit_card ,completed,13.22,BRL
ORD5490,bank_transfer,completed,10.08,CAD
ORD5491,credit_card,completed,13.96,
ORD5492,paypal,completed,2.74,
ORD5493,credit_card,completed,4.9,CAD
ORD5494,credit_card,completed,5.7,jpy
ORD5495,,completed,1.33,GBP
ORD5496,wallet,refunded,18.33,EUR
ORD5497,credit_card,,7.76,
,bank_transfer,completed,4.04,
ORD5499,paypal,completed,3.64,AUD
ORD5500,credit_card,completed,,GBP
ORD5501,credit_card,completed,14.03,GBP
ORD5502,bank_transfer,failed,21.95,CAD
,paypal,completed,5.15,GBP
ORD5504,wallet,completed,6.76,EUR
ORD5505,wallet, completed ,20.36,INR
ORD5506, wallet ,pending,24.68,BRL
ORD5507,credit_card,completed,21.83,CAD
ORD5508,bank_transfer,refunded,11.34,
ORD5509,debit_card,completed,11.99,AUD
ORD5510,debit_card,completed,16.72,INR
ORD5511,debit_card,completed,,JPY
ORD5512,credit_card,completed,23.33,GBP
ORD5513,credit_card,,24.42,GBP
ORD5514,credit_card,refunded,0.71, INR 
ORD5515,debit_card,completed,9.15,USD
 ORD5516 ,credit_card,completed,8.31,BRL
ORD5517,credit_card,completed,10.2,INR
,debit_card, completed ,8.67,USD
ORD5519,DEBIT_CARD,completed,5.28,JPY
,wallet,completed,13.02,EUR
ORD5521,paypal,completed,15.75,INR
ORD5522,paypal,pending,5.69,INR
,wallet,refunded,,USD
ORD5524,paypal, completed ,2.84,CAD
 ord5525 ,debit_card,refunded,15.52,EUR
ORD5526,wallet,completed,,JPY
ORD5527,wallet,completed,9.37,CAD
ORD5528,bank_transfer,completed,21.58,JPY
ORD5529,debit_card,completed,24.35,INR
ORD5530,paypal,completed,8.19,CAD
ORD5531,bank_transfer,refunded,12.19,USD
ORD5532,,completed,23.17,EUR
ORD5533,bank_transfer,pending,11.68,AUD
ORD5534,wallet,completed,4.78,USD
ORD5535,debit_card,completed,7.47,CAD
ORD5536,credit_card,refunded,7.77,
ORD5537,bank_transfer,failed,,AUD
ORD5538,debit_card,pending,20.06,EUR
ORD5539,wallet,refunded,7.75, JPY 
ORD5540,bank_transfer,pending,13.44,JPY
ORD5541,paypal,completed,,BRL
ORD5542,,,22.07,GBP
ORD5543,wallet,completed,24.76,JPY
ORD5544,bank_transfer,refunded,, cad 
ORD5545,credit_card,pending,10.57,CAD
ORD5546,credit_card,completed,2.72,USD
ORD5547,paypal,completed,19.06,JPY
ORD5548,wallet,completed,10.94,USD
ORD5549,,completed,,INR
ORD5550,wallet,completed,14.17,INR
ORD5551,paypal,failed,11.34,USD
 ORD5552 ,bank_transfer,completed,20.97,USD
ORD5553,wallet,completed,18.54,BRL
ORD5554,debit_card,pending,24.74,EUR
ORD5555,paypal,completed,,GBP
ORD5556,debit_card,completed,15.13,USD
ORD5557,bank_transfer,completed,21.16,USD
,bank_transfer,refunded,14.37,AUD
ORD5559,bank_transfer,completed,15.56,INR
,wallet,completed,18.37,
ORD5561,paypal,completed,0.66,AUD
, credit_card ,completed,17.73,USD
,wallet,completed,17.37,USD
ORD5564,credit_card,pending,,GBP
ORD5565,paypal,completed,20.18,INR
ORD5566,bank_transfer,completed,15.91,INR
ORD5567,credit_card,completed,19.0,CAD
ORD5568,bank_transfer,refunded,6.74,BRL
ORD5569,wallet,completed,24.69,BRL
ORD5570,credit_card,completed,5.8,USD
ORD5571,wallet,completed,,INR
ORD5572,credit_card,,7.5,JPY
ORD5573,paypal,refunded,14.57,BRL
ORD5574,wallet,completed,8.14,JPY
ORD5575,wallet,failed,2.04,BRL
ORD5576,,completed,21.02,AUD
ORD5577,wallet,,0.75,USD
ORD5578,bank_transfer,completed,,INR
ORD5579,WALLET,pending,14.18,INR
ORD5580,paypal,completed,17.85,BRL
ORD5581,debit_card,completed,,JPY
ORD5582,wallet,completed,,JPY
ORD5583,wallet,completed,6.05,GBP
ORD5584,,completed,1.0,AUD
ORD5585,debit_card,completed,19.49,EUR
,debit_card,completed,18.23,jpy
ORD5587,paypal,completed,6.8,BRL
,debit_card,,3.87,AUD
,bank_transfer,completed,24.76,AUD
ORD5590,debit_card,completed,14.17,AUD
,wallet,failed,19.56,EUR
,bank_transfer,completed,9.17,CAD
ORD5593,debit_card,completed,7.15,INR
ORD5594,credit_card,completed,3.29,CAD
ORD5595,paypal,completed,18.37,USD
ORD5596,credit_card,completed,21.43,CAD
ORD5597,wallet,,24.92,USD
ORD5598,credit_card,completed,13.95,USD
ORD5599, debit_card ,completed,19.58,JPY
ORD5600,bank_transfer,pending,12.09,CAD
ORD5601,debit_card,completed,16.01,BRL
,credit_card,completed,22.61,AUD
ORD5603,credit_card,refunded,17.97,USD
ORD5604,bank_transfer,completed,14.58,BRL
ORD5605,wallet,pending,24.56,AUD
ORD5606,credit_card,completed,9.54,GBP
ORD5607,bank_transfer,refunded,13.69,INR
ORD5608,paypal,,12.61,CAD
ORD5609,paypal,,22.5,CAD
ORD5610,paypal,completed,18.0,BRL
 ORD5611 ,wallet,completed,1.03,CAD
ORD5612,paypal,refunded,10.94,GBP
ORD5613,bank_transfer,completed,24.66,CAD
ORD5614,CREDIT_CARD,completed,3.9,
ORD5615,paypal,completed,6.04,EUR
ORD5616,debit_card,completed,3.05,BRL
ORD5617,paypal,,14.14,AUD
ORD5618,debit_card,completed,1.21,gbp
ORD5619,debit_card,completed,9.12,CAD
ORD5620,debit_card,completed,3.36,INR
ORD5621,paypal,pending,17.1, CAD 
ORD5622,debit_card,completed,24.91,CAD
ORD5623,debit_card,completed,9.19,AUD
ORD5624,debit_card,refunded,22.85,INR
ORD5625,paypal,,6.03,aud
ORD5626,bank_transfer,completed,16.05,GBP
ORD5627,bank_transfer,completed,24.73,AUD
ord5628,paypal,completed,20.99,AUD
ORD5629,paypal,completed,12.45,INR
 ord5630 ,wallet,,9.07,AUD
ORD5631,wallet,completed,4.02,GBP
ORD5632,wallet,refunded,,JPY
ORD5633,bank_transfer,completed,8.9,JPY
ORD5634,debit_card,completed,12.93,JPY
ORD5635,bank_transfer,completed,13.78,INR
ORD5636,credit_card,pending,5.65,EUR
ord5637,paypal,completed,14.41,AUD
ORD5638,debit_card,completed,,EUR
ORD5639,,completed,11.77,AUD
,credit_card,completed,16.51,INR
ORD5641,bank_transfer,refunded,22.72,USD
ORD5642,bank_transfer,completed,22.04,INR
ORD5643,credit_card,completed,18.54,GBP
ORD5644,bank_transfer,completed,6.66,BRL
ORD5645, wallet ,completed,2.27,USD
ORD5646,,completed,13.15,AUD
ORD5647,credit_card,completed,1.3,
 ORD5648 ,credit_card,completed,2.03,USD
ORD5649,wallet,completed,13.45,BRL
ORD5650,wallet,completed,23.95,EUR
ORD5651,debit_card,pending,4.79,GBP
,paypal,completed,2.2,EUR
ORD5653,wallet,pending,11.89,CAD
ORD5654,bank_transfer,completed,19.79,INR
ORD5655,bank_transfer,pending,23.12,BRL
ORD5656,debit_card,pending,15.62,BRL
ORD5657,bank_transfer,completed,,USD
ORD5658,debit_card,,1.65,USD
,paypal,completed,9.02,BRL
ORD5660,debit_card,completed,16.23,GBP
ORD5661,bank_transfer,completed,19.22,EUR
ORD5662,paypal,completed,6.17,BRL
ORD5663,wallet,completed,15.0,CAD
ORD5664,debit_card,refunded,0.53,JPY
ORD5665, wallet ,completed,11.95,INR
,debit_card,completed,18.88,AUD
ORD5667, debit_card ,,20.93,BRL
